branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;265729.9949;257054.73559999999;248403.8619;239777.33500000002;231174.796;222596.4539;213888.18899999995;205216.46889999995;196580.9827;187988.6159;179432.4859;171016.06060000003;162718.85749999998;154461.64370000002;146245.61049999998;138071.74099999998;129937.52229999998;121862.96780000003;113829.36189999999;105850.36439999999;101058.99650000001;99194.67700000001;99878.82749999998;101450.70620000003;108920.7583;120837.26240000002;145846.05250000002;178989.51280000003;216729.62399999998;262584.1854;311839.7668;362131.939;413083.9603;482155.68160000007;553677.9615999999;627758.3122999999;703988.5522999999;782336.6627999998;862845.9572999998;945409.9334000002;1030469.6710999999
01;01;01;02;3091525.332199999;2993815.8245000006;2896389.4332;2799237.435;2702351.3636;2605738.5848000003;2509388.7018999998;2411570.8171;2314163.8019999997;2217166.3385000005;2120570.3454;2024381.3124000004;1928494.3284000002;1832928.1693000004;1737760.6892000004;1642990.4012999998;1548736.7617999995;1455200.8106000002;1370880.7248000002;1289449.6903;1216260.8465;1147748.3418999997;1085469.9956000003;1031861.1205;990820.8939;952290.3030000001;921789.9097999999;894962.6968;870525.1296999998;849886.2607999997;832753.7775999999;819466.6950999998;811053.6939000003;806135.3711999999;902172.7227000003;1000085.3826;1099681.3961999998;1200736.4211000002;1304911.0359000007;1411941.6252000004;1520665.0652000003;1630100.7861999995
01;01;01;03;1317058.3889999997;1275308.4366;1233675.9926999998;1192160.8115;1150762.6339000005;1109481.2052999998;1068316.2781;1026525.9454000001;984912.1612999999;943473.361;902207.9971999999;861114.5793000001;820196.6274;779451.551;738878.8033999999;698477.8174999999;658248.0567;618188.965;578299.7661;538579.7165999999;499029.0258;459647.18880000006;420433.1567;381386.3841000001;342506.32970000006;303792.4618;265244.2376;226861.1342;188642.58739999996;150588.09559999997;112697.1183;74969.1315;37402.23989999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;04;3620653.1410000003;3769409.8864999996;3917722.2405000003;4065599.4094;4213050.3936;4360068.1806;4506663.543900001;4649472.7649;4791643.3374;4933177.8694;5074078.449399999;5214347.0649999995;5353986.783800001;5492998.284199999;5631383.6038999995;5769144.294799999;5906161.016400002;6042234.1029;6168841.6365;6292337.058500001;6407350.8802000005;6514319.462700001;6611937.416999999;6698150.7938;6770726.083199999;6834716.146700001;6886041.682599999;6920418.422300001;6944091.8403;6959183.425900002;6962462.092099999;6958301.965;6948005.634199998;6932873.0006;6749740.8160999995;6562331.3833;6371124.275900001;6176133.9685;5975933.752799999;5770760.1537999995;5561892.0112999985;5349865.4301
01;01;01;06;414923.1906;401770.37720000005;388654.5829000001;375575.7312;362533.73990000004;349528.52900000004;336560.0204999999;323394.78870000003;310284.8610999999;297230.06029999995;284230.2075;271285.1286;258394.6446;245558.58259999994;232776.76780000003;220049.0237;207375.17679999996;194755.05550000005;182186.56420000005;169673.50460000004;157212.88519999996;144803.38369999998;132447.80769999998;120140.3227;107885.1805;95685.0714;83539.8217;71438.919;59390.397;47398.477699999996;35463.6599;23581.6479;11753.7819;607.0268;1020.3217;1423.0302000000001;1419.9565;1629.0442;1848.3826;2061.6448;2259.5481;2445.3813
01;01;02;01;164852.8561;159627.12050000002;154416.093;149219.7432;144038.03839999996;138870.947;133718.4375;128487.76789999999;123279.07119999998;118092.2766;112930.4965;107812.25179999998;102748.39830000002;97743.20040000002;92760.44559999999;87815.6849;82893.3028;77994.26150000001;73127.56300000001;68279.7276;63452.848999999995;58646.723699999995;53862.2935;49096.6924;44349.062900000004;40968.82920000001;39115.8577;49601.903900000005;66265.3937;86445.89360000001;109390.05390000003;135100.01159999997;162628.42889999997;191028.44249999995;237215.62449999998;285223.019;335763.30950000003;388131.7663;442398.8052;498881.8869999999;557228.8158;617600.5001
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9447000003;2564167.4672999997;2516941.8622;2464262.9390000002;2389280.2708;2312842.0420000004;2236741.5732999993;2160992.4857000005;2089591.7271000005;2021729.0045000003;1953258.0457999995;1892814.0415000003;1830237.6313999998;1770387.9284999997;1714962.2166;1661893.8391999998;1610201.281;1560342.4259999997;1511061.0054999993;1465108.1814;1424938.0965000002;1384537.9803999998;1350209.5916;1319073.5371000003;1289669.2131000005;1262868.6023000004;1237914.8029000002;1215465.9325999997;1194967.3124999995;1176536.1117000002;1160380.5368000001;1146519.5648000005;1195033.2818999998;1237795.6877;1278331.9098999999;1325319.4922;1378840.9789999998;1453314.8578;1528144.6093;1603934.6171000001
01;01;02;03;998485.8363;966834.4409000002;935271.4897;903797.1432;872412.489;841116.3442999999;810740.6305999999;779477.1637;748065.8772000001;716736.2669;685532.2285;654452.7969000001;623429.4863999999;592537.1451999999;561774.3846999999;531142.7694000001;500639.87440000003;470267.3175000001;440022.65609999996;409907.4971;379919.4414999999;350060.03380000003;320327.8493000001;290721.5626;261242.67979999995;231888.86719999998;202660.77699999994;173558.90739999997;144580.8736;115728.32760000002;86999.7514;58393.786499999995;30072.587500000005;1932.1135;1927.9403;1923.7767;1919.6213;1915.4753;1911.3382;1129.6947;736.2304;604.2280000000001
01;01;02;04;2774366.8339999993;2862992.7992000002;2944036.5078;3021545.983300001;3104003.289199999;3191800.7309;3300954.123;3407739.6383;3514307.4063999997;3620416.4867999996;3722017.2328;3819911.2102;3918294.6853999994;4008460.9908;4100600.5122;4189842.209800001;4274504.696000001;4356652.405;4437261.254899999;4515881.2234000005;4593772.9712000005;4668180.915500001;4736656.680399999;4805209.398899999;4867541.4202000005;4925181.368500001;4979432.0173;5018607.913399999;5049635.036300001;5074506.791599998;5094524.582799998;5109566.3669;5120184.613100001;5127149.9313;5018485.2872;4913781.9072;4808801.905199999;4695572.407100002;4573940.390499999;4429471.399200001;4281773.721399999;4130657.1859999998
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2221;238565.9188;230007.8184;221473.8701;212810.4678;204183.45860000004;195592.7255;187038.1512;178519.6206;170037.0165;161590.22480000003;153179.13049999997;144803.6176;136463.57200000001;128158.88100000001;119889.16;111654.8524;103455.55859999999;95290.17360000002;87160.65080000002;79065.8028;71005.51860000001;62977.7906;54984.6227;47025.0999;39101.09289999998;31209.078;23350.169099999996;15526.6936;7736.1671;373.3267000000001;372.5204;371.71569999999997;370.91280000000006;370.1118;369.3122;844.4716999999998;1970.2658000000004;3298.2411
