branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388422.700999999;8376342.285;8364277.958;8352232.409;8340203.919;8322185.942;8304207.587;8286268.184;8268366.052999999;8250503.823;8232678.986;8214891.47;8197142.647;8179431.515000001;8161759.595;8144125.286;8126523.369;8108960.393;8091431.498;8073941.625;8056484.214;8039053.916;8021659.848999999;8004304.084;7986985.152;7969695.899999999;7952432.048;7935210.715;7918016.302;7900841.699;7883644.646;7866616.172;7849624.028;7832669.203;7815750.697;7798868.5200000005;7782022.663;7765214.114999999;7748441.896;7731705.995999999
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205297.8270000005;3067127.6089999997;2934913.283;2808398.165;2687336.9930000002;2569559.369;2456944.205;2349264.47;2246302.6180000002;2147853.7900000005;2053719.9119999998;1963711.1290000002;1877647.4610000001;1795355.4700000002;1716670.2210000001;1641433.1570000001;1569492.302;1500704.8459999997;1434931.477;1372041.0550000002;1311905.3159999999;1254402.677;1199420.1690000002;1146847.743;1096579.922;1048513.4870000001;1002552.355;958606.3130000001;916584.966;876403.851;837973.898;801248.274;766132.1540000001;732555.088;700449.647;669751.325;640398.3399;612331.8302;585495.3548;559834.9903999999
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.074070016E8;2.071082704E8;2.0681000170000002E8;2.065121575E8;2.062147547E8;2.057692571E8;2.0532478429999998E8;2.048812305E8;2.044385588E8;2.0399692939999998E8;2.035562199E8;2.031164536E8;2.026776296E8;2.022396981E8;2.018027063E8;2.013667299E8;2.0093150920000002E8;2.004972064E8;2.000637503E8;1.996313347E8;1.991996764E8;1.987687079E8;1.9833858610000002E8;1.9790940520000002E8;1.974812384E8;1.9705377789999998E8;1.9662693370000002E8;1.962011308E8;1.9577594729999998E8;1.9535127010000002E8;1.9492610120000002E8;1.945051085E8;1.9408491420000002E8;1.9366571820000002E8;1.932474294E8;1.92830029E8;1.924135367E8;1.919979418E8;1.915832452E8;1.911694458E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886668E8;3.289808469E8;3.3179687429999995E8;3.3463701820000005E8;3.375014417E8;3.401473357E8;3.428140518E8;3.455015847E8;3.48210177E8;3.5094007709999996E8;3.5369128509999996E8;3.564639518E8;3.592583939E8;3.62074706E8;3.649131969E8;3.677738628E8;3.706567295E8;3.735622408E8;3.764903782E8;3.7944149829999995E8;3.786210941E8;3.7780201640000004E8;3.7698453190000004E8;3.7616890520000005E8;3.753549557E8;3.745424328E8;3.737311143E8;3.729218542E8;3.7211371640000004E8;3.7130650509999996E8;3.704984122E8;3.696981246E8;3.688995124E8;3.681026655E8;3.67307614E8;3.665142069E8;3.65722475E8;3.649325284E8;3.641442363E8;3.6335770929999995E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.257908961E7;2.3150650779999997E7;2.3695352589999996E7;2.4214347549999997E7;2.4708748089999996E7;2.516182863E7;2.559173533E7;2.599948922E7;2.63860627E7;2.675240102E7;2.7099391630000003E7;2.742787894E7;2.7738699330000002E7;2.80326252E7;2.8310411270000003E7;2.8572769820000004E7;2.882036075E7;2.905386248E7;2.9273880439999998E7;2.9481027499999996E7;2.9675861269999996E7;2.985890512E7;3.003070294E7;3.019177273E7;3.034258756E7;3.048357151E7;3.0615141490000002E7;3.073779285E7;3.085184461E7;3.095767102E7;3.1055462900000002E7;3.114631164E7;3.123004289E7;3.1306972340000004E7;3.137740966E7;3.144164341E7;3.149995607E7;3.155260702E7;3.15998604E7;3.164195443E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627786.9157;5582163.582300001;5536909.7493;5492022.7441;5447499.828300001;5399414.8144;5351754.7188;5304514.727899999;5257691.326199999;5211281.3669;5165281.1554;5119685.1215;5074492.3641;5029698.0267;4985299.9324;4941293.4706;4897671.3478;4854435.230199999;4811578.7753;4769101.3308;4758788.9784;4748493.5463000005;4738219.0087;4727967.5018;4717738.0787;4707526.0818;4697329.106399999;4687157.2236;4677000.413900001;4666855.6137;4656698.5447;4646640.082;4636603.3411;4626588.2936;4616594.866900001;4606623.019900001;4596672.7277;4586743.9078;4576836.538600001;4566950.5687
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580235.699;4573639.143999999;4567052.63;4560475.1959999995;4553906.791999999;4544068.922;4534252.401;4524456.555000001;4514681.407;4504928.3549999995;4495196.409;4485483.801000001;4475792.924000001;4466122.672;4456473.8780000005;4446844.627;4437233.147;4427642.823;4418071.699;4408521.977;4398990.094;4389472.762;4379975.161;4370499.145;4361042.786;4351603.099;4342177.503;4332774.778;4323386.424000001;4314008.361;4304619.55;4295321.59;4286043.4;4276785.990999999;4267548.052;4258329.793;4249132.204;4239954.197000001;4230795.759;4221657.0
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.4556999999;668097.5281000001;639297.9874999999;611739.8966000001;585369.7377;559714.7540999999;535184.2105;511728.7168;489301.06680000003;467856.48840000003;447351.67600000004;427745.3886;408998.4677;391073.1592;373933.56179999997;357545.028;341874.5928;326890.8705;312563.78359999997;298864.7353;285765.81490000006;273240.65239999996;261264.4547;249813.1511;238863.7182;228394.00460000001;218382.83000000005;208810.70570000002;199657.7551;190905.60560000004;182535.74989999997;174535.8164;166886.5565;159572.42369999998;152578.8594;145891.8606;139497.8786;133384.1302;127538.32830000001;121948.76899999999
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.0267;474220.03219999996;473537.0928;472855.1002;472174.04939999996;471154.04339999997;470136.2341;469120.5909;468107.07240000006;467095.7682;466086.6572;465079.5406;464074.69710000005;463071.9838;462071.5139000001;461073.2013;460076.64729999995;459082.27590000007;458089.9273999999;457099.7217;456111.38959999994;455124.8500000001;454140.1878;453157.82359999995;452177.48689999996;451198.9841;450221.86209999997;449247.14;448273.9738;447301.9014;446329.23089999997;445365.15220000007;444403.25330000004;443443.3033;442485.49210000003;441529.7595;440576.0658;439624.42089999997;438674.8348;437727.2973
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594312919E7;1.0137624963999998E7;9700623.547;9282457.116;8882321.383;8493036.818;8120814.066;7764903.445;7424589.892;7099191.993;6788056.119;6490553.426999999;6206090.826;5934093.791999999;5674018.997;5425342.133000001;5187559.865;4960199.637;4742802.948;4534934.375999999;4336173.564;4146120.6229999997;3964395.6460000006;3790636.626;3624493.541;3465629.5359999994;3313722.7210000004;3168477.46;3029593.556;2896791.302;2769792.571;2648402.072;2532331.811;2421348.357;2315228.682;2213759.963;2116737.6369999996;2023968.536;1935264.565;1850448.011
01;01;02;01;Autre;Autre;1.0;6671831.356000001;6662224.328;6652629.777000001;6643048.693;6633481.6959999995;6623928.666000001;6614385.954;6600097.351;6585838.531;6571611.559;6557410.402;6543244.224;6529104.251;6514999.206;6500916.387;6486871.828999999;6472858.382999999;6458869.464;6444917.532000001;6430989.921;6417093.477999999;6403227.331;6389390.908999999;6375582.586;6361801.192000001;6348046.728000001;6334321.043;6320622.6850000005;6306956.825;6293316.194;6279694.24;6266085.986;6252459.898;6238954.398;6225477.597;6212030.5819999995;6198612.353999999;6185222.924000001;6171863.181;6158532.124;6145229.755;6131956.1729999995
01;01;02;01;Cuisson;Cuisson;1.0;2927728.991;2801523.8119999995;2680759.065;2565200.3570000003;2454623.236;2348812.273;2247561.511;2149058.3649999998;2054871.4810000001;1964812.851;1878698.335;1796360.905;1717630.3889999997;1642351.599;1570368.8520000002;1501543.5190000003;1435735.362;1372810.5180000002;1312644.1400000001;1255113.0659999999;1200103.8630000001;1147505.979;1097213.459;1049124.471;1003142.3189999999;959175.002;917134.844;876936.8269999999;838501.5285000001;801749.9114;766607.1996;733002.1152;700861.2218999999;670144.7945;640774.6716;612691.6986;585839.5354999999;560164.1573000001;535614.0539;512139.9277;489694.5962;468232.88620000007
01;01;02;02;Autre;Autre;2.58;1.6480664859999996E8;1.6456934929999998E8;1.643323371E8;1.6409564170000002E8;1.6385926839999998E8;1.6362332429999998E8;1.633876236E8;1.6303463329999998E8;1.626823933E8;1.623309236E8;1.6198011210000002E8;1.616301672E8;1.612809085E8;1.609325119E8;1.605846901E8;1.6023771170000002E8;1.5989154010000002E8;1.595459974E8;1.592013632E8;1.588572673E8;1.585139502E8;1.5817142570000002E8;1.5782966440000004E8;1.5748861029999998E8;1.571481644E8;1.568084268E8;1.564693789E8;1.561310289E8;1.5579349639999998E8;1.554565596E8;1.5512008020000002E8;1.54783933E8;1.544473659E8;1.541137592E8;1.53780877E8;1.5344870975E8;1.5311726713E8;1.5278652929999998E8;1.5245652612E8;1.5212721751000002E8;1.5179861365999997E8;1.5147073437E8
01;01;02;02;Bureautique;Electricité Spécifique;2.58;2.540769963E8;2.562519245E8;2.584453913E8;2.606576471E8;2.628888662E8;2.651391339E8;2.674085664E8;2.6950500029999995E8;2.716178538E8;2.737472705E8;2.758931347E8;2.78055991E8;2.802356531E8;2.824325805E8;2.846464309E8;2.868778909E8;2.891269924E8;2.91393439E8;2.936778983E8;2.959800186E8;2.983002406E8;3.006387084E8;2.999890255E8;2.993406543E8;2.986935589E8;2.9804777420000005E8;2.974033452E8;2.967602811E8;2.961186045E8;2.9547821879999995E8;2.9483869279999995E8;2.941997884E8;2.935600947E8;2.929259587E8;2.922932015E8;2.91661843E8;2.910318731E8;2.904032729E8;2.897759714E8;2.891500585E8;2.885255143E8;2.879022687E8
01;01;02;02;Cuisson;Cuisson;2.58;1.691636828E7;1.741472631E7;1.7889836E7;1.834269475E7;1.8774267479999997E7;1.918547489E7;1.9577193080000002E7;1.9936178389999997E7;2.027679873E7;2.059987144E7;2.090614522E7;2.1196406880000003E7;2.147132222E7;2.1731595919999998E7;2.197784452E7;2.2210728759999998E7;2.243083193E7;2.2638691419999998E7;2.283489119E7;2.30199059E7;2.319424595E7;2.3358390689999998E7;2.3512787580000002E7;2.365786558E7;2.37940395E7;2.3921693500000004E7;2.404121374E7;2.415297643E7;2.425732113E7;2.435456232E7;2.4444996909999996E7;2.452889718E7;2.460643651E7;2.467841735E7;2.4744760109999996E7;2.4805715580000002E7;2.4861531330000002E7;2.491242893E7;2.495863771E7;2.500035307E7;2.503779543E7;2.507114596E7
