branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6999061966800004E7;2.6113705471400004E7;2.52310679022E7;2.4350928245600004E7;2.34734805361E7;2.2598864406299993E7;2.17103676067E7;2.08258152201E7;1.99448529312E7;1.9068722345000003E7;1.8196751630400002E7;1.73103850996E7;1.6429550013899999E7;1.5554308740699999E7;1.46848830001E7;1.3821517184499998E7;1.2964142498300001E7;1.21179972048E7;1.12863941281E7;1.0465248990399998E7;9648898.7542;8831373.6173;8020201.705599999;7216164.568699999;6417887.022200001;5625474.170200001;4839162.286199999;4058834.9693;3284650.979;2516525.7224;1756201.9726000002;1003491.9246;253071.758;267175.226;280680.87399999995;293595.941;305913.931;315277.51399999997;325541.81700000004;335088.135;343908.279
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.6460999999;538483.9470999999;506969.4973;475455.3749;443947.5722;412434.25210000004;380926.7268;352809.0793;324696.3585;296585.02489999996;268481.66880000004;257252.2266;245752.92620000002;234258.21529999998;222764.15089999998;211272.75999999998;199784.9256;188973.61460000003;178167.53269999998;167484.4828;157469.3866;149304.83490000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1497870.8837000001;1448920.0864000001;1400109.5454;1351429.0226;1302899.1198000002;1254513.2808999997;1205389.0326000003;1156472.2398;1107759.9557000003;1059256.4526000002;1010940.8025000002;961810.4411;912990.8957999999;864481.0887000001;816279.5166000001;768384.9497;720791.9388999997;673502.1369999999;626514.7581000001;579832.2941;533428.0539999999;486929.7565;440805.75059999997;395043.21640000003;349649.7461000001;304738.0313;260305.5225;216169.82100000003;172424.88400000002;129222.0275;86520.67400000001;44275.84140000001;4264.063800000001;4810.1056;5388.4076;5998.3276;6642.2148;7134.502000000001;7743.7924;8396.073;9095.0544
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.38816877961E7;1.4413554491899995E7;1.49435524683E7;1.5471791972699998E7;1.5998318182100004E7;1.6523134275100002E7;1.70331172785E7;1.75407627295E7;1.8045154474000003E7;1.8547437189399995E7;1.9046717923200004E7;1.95249686389E7;1.9999988533499997E7;2.0471049553400006E7;2.0938883606599998E7;2.1402622092000004E7;2.18630146965E7;2.23194639255E7;2.27717796169E7;2.3220121975599997E7;2.3664474377299998E7;2.4080038983199995E7;2.44793310412E7;2.48713909232E7;2.5258503874E7;2.5636150465399995E7;2.6007712058900002E7;2.6363485025100004E7;2.67092705826E7;2.70460185448E7;2.7374860607500006E7;2.7692718778699994E7;2.79866276869E7;2.7752004373999994E7;2.74946027899E7;2.72167066778E7;2.6900212082299996E7;2.653186506239999E7;2.60994275435E7;2.561285157919999E7;2.5103919283100005E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.6474;5056185.308699999;4865480.9137;4672162.260299999;4479836.0905;4288665.378;4098452.6917000003;3909290.190699999;3718260.388099999;3528559.6086999997;3340182.0423999997;3153205.5118;2967547.2184;2783144.5897;2600008.4507;2418127.6240000003;2237496.5978999995;2058112.6375999998;1878715.6937999998;1700783.1717;1524304.3556000001;1349270.1035000002;1175675.1963;1003508.4891999998;832761.2009;663425.7781999998;495491.44840000005;328949.4161;164895.93370000002;2940.8208;2928.8585;2916.9447;2905.0802000000003;2945.1586000000007;3095.1505999999995;3235.8360999999995;3219.4838000000004;3240.2771
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1934000005;1548644.5014;1496407.4407;1444326.2167000002;1392400.5905999998;1340630.2458;1288084.7969000002;1235768.5937999997;1183672.1106;1131803.6236;1080162.2938;1027672.6016000002;975513.5399000002;923685.5430999999;872187.1711000002;821017.3734;770172.5894999999;719649.3840999999;669542.1207000001;619840.9438000002;570566.5305;522745.9245;478274.7725999999;434566.3825;391326.85109999997;348498.03339999996;306120.58239999984;265248.5794;225554.42560000002;186232.04970000006;147215.47040000002;108489.4978;70641.3692;78253.3221;86309.2249;93277.13729999999;99086.4602;104189.9498;106245.5998;104466.00720000001;100078.12550000001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7491999997;939906.9213;908138.5693000002;876460.2123999998;844878.7568000002;813399.1866000001;781420.1761;749583.1159;717875.2444;686341.1514999999;654956.6405;623053.9103999999;591350.5133000001;559848.2859;528555.3939000001;497480.49169999996;466621.1905;436202.22440000006;406335.0912000001;376840.4891;347518.7984;318154.65729999996;289019.2654;260140.18000000002;231468.65989999997;203004.94999999998;174756.7647;146723.522;118910.99730000002;91313.0778;63992.0055;36943.65700000001;9955.314;10509.9293;11041.21;11549.4233;12034.299500000001;12403.101200000001;12807.4135;13183.5785;13531.2186
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715454E8;1.236863808998E8;1.1956493361010002E8;1.154546080273E8;1.1135645596330002E8;1.0726918618429998E8;1.0311141862219998E8;9.89709371473E7;9.485029983320001E7;9.0742733137E7;8.66530414154E7;8.24930874593E7;7.835968560929999E7;7.42531922327E7;7.01739866913E7;6.612129226619999E7;6.2094934926999986E7;5.80910420844E7;5.410800641289999E7;5.01498435698E7;4.62220146364E7;4.23222317963E7;3.852220893220001E7;3.47595519653E7;3.10338494839E7;2.7406685788299996E7;2.3835525792700004E7;2.0386696959099997E7;1.7014396780800004E7;1.3697751652499998E7;1.04156390987E7;7166037.709699999;3954200.7065;4240135.0443;4515875.013200001;4641662.077700001;4768632.3655;4881504.867;4914691.850299999;4836939.5613;4697352.041200001
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.3505467341189998E8;1.3323040383520001E8;1.313196887109E8;1.2932132146280001E8;1.27234096364E8;1.262732290299E8;1.2537263795089999E8;1.245408996092E8;1.2377017024859999E8;1.23060989484E8;1.2241390429450001E8;1.218214900458E8;1.212774659623E8;1.207822055354E8;1.203360821211E8;1.199394759886E8;1.201736230163E8;1.2039955267159998E8;1.206171363007E8;1.2082624445650001E8;1.210337081766E8;1.2067236023799999E8;1.2030315110509999E8;1.1992309829580002E8;1.1953204996550001E8;1.1912985099200001E8;1.1932791134900002E8;1.19527369277E8;1.1972823698799999E8;1.19930528017E8;1.20134258082E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801740854000006E7;2.5655483424000002E7;2.5509226290999997E7;2.5362969358000003E7;2.4983178751E7;2.4669222877E7;2.4355267003E7;2.4041312129E7;2.3607482229999997E7;2.3173652331E7;2.2739822432E7;2.2539364076E7;2.23389126241E7;2.21384718597E7;2.1819111310300004E7;2.1499755632299997E7;2.14140277268E7;2.13180228222E7;2.12221038666E7;2.11261525112E7;2.1038265489400003E7;2.09503991104E7;2.08626514417E7;2.07511239593E7;2.05201626936E7;2.02892726298E7;2.01773272749E7;2.0065427684100002E7;1.99536162239E7;1.9831600779299997E7;1.9709692283299997E7;1.95896658339E7;1.94525210386E7;1.93086281239E7
01;01;01;02;Eclairage;Electricité Spécifique;2.58;1.8927689708E8;1.88373453427E8;1.87472258229E8;1.86573295252E8;1.856766124779E8;1.8478218884139997E8;1.8389005243580002E8;1.828677838299E8;1.8184922095169997E8;1.8083436729430002E8;1.7982327032140002E8;1.7881594221530002E8;1.778125207444E8;1.768130228022E8;1.7581765431E8;1.748534723972E8;1.739172913527E8;1.729844190906E8;1.720546621289E8;1.711282260988E8;1.7020501301849997E8;1.69285017356E8;1.6836765497619998E8;1.674534776719E8;1.665420364873E8;1.65634492861E8;1.647294398268E8;1.638278972884E8;1.629293394146E8;1.6203411752879998E8;1.611422193668E8;1.602753348379E8;1.594106508455E8;1.5855123746609998E8;1.576948183553E8;1.568411410208E8;1.559900960767E8;1.55141634568E8;1.542957218152E8;1.534396235241E8;1.524947069037E8;1.513450568707E8
