branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.23520000005;265729.9949;257054.73559999999;248403.86190000002;239777.33500000002;231174.79599999994;222596.46149999998;213888.20559999996;205216.72769999996;196581.69030000002;187982.8844;179420.35650000002;170893.9939;162403.41600000003;153948.78260000004;145529.98869999996;137146.924;128800.6468;120516.4098;112314.94579999999;104165.61169999998;96052.633;87972.962;79923.769;71912.5506;63932.71890000001;55982.65579999999;48057.21649999999;40165.4363;32307.28740000001;24486.472;16696.175199999998;8944.4936;1246.9624;1318.3892999999998;1387.175;1453.3369;1516.8246;1565.4850999999999;1619.2941;1669.7579999999998;1716.8094
01;01;01;02;3091525.332199999;2993815.8244999996;2896389.4332;2799237.435;2702351.3636;2605738.5849;2509388.7016999996;2411570.8167999997;2314163.0948;2217164.9491;2120574.5067999996;2024391.0377999998;1928613.2189999996;1833239.2872000006;1738268.7337999998;1643699.7172;1549530.6449000002;1455761.3868000002;1362359.9906;1269401.8603;1176913.6684000003;1084934.4761;995009.0111000002;908734.1812999999;823289.0887999999;738341.1874000002;654733.3711000001;571839.7573999999;491423.4127;412635.0242;334404.9354;256602.5774;178885.93430000002;102080.9397;112730.4252;123854.08619999999;133038.5459;142213.3415;152342.83980000002;161930.94910000003;170783.7096;180435.9827
01;01;01;03;1317058.3889999997;1275308.4366;1233675.9926999998;1192160.8115;1150762.6339000005;1109481.2053999999;1068316.2782;1026527.5265;984914.3561000001;943475.4778999998;902210.3025;861118.2002;820201.1481;779456.8422000001;738884.7269;698484.2458999999;658254.8452;618195.9797;578305.165;538583.8854999999;499032.65679999994;459650.7948;420436.7379;381389.02060000005;342507.15589999995;303792.64089999994;265243.8486;226860.3908;188642.52759999997;150588.716;112698.4187;74971.10680000001;37610.1846;549.9559000000002;548.7682;547.5830000000001;546.4006;566.1351000000001;630.5572;691.448;688.5005000000001;700.6768000000001
01;01;01;04;3620653.1410000003;3769409.8864999996;3917722.2405000003;4065599.4094;4213050.3936;4360068.180400002;4506663.5452000005;4649471.208300001;4791640.509400001;4933173.392000002;5074073.750099999;5214342.103999999;5353980.912300002;5492992.022900001;5631376.4973;5769137.358199999;5906277.670599998;6042798.483800001;6178700.862400001;6313894.7203;6448381.656099999;6582143.467500002;6713629.463699999;6841242.423999998;6967817.177799999;7093681.342900001;7217975.7667;7341328.5749;7461995.8767;7580813.361300002;7698841.630800002;7816184.719900001;7932969.837199999;8048050.960599999;8019652.9058;7990817.059800002;7963956.7462;7937121.1784999985;7909350.755199999;7882141.641000002;7855766.882600002;7828613.179399999
01;01;01;06;414923.1906;401770.3772;388654.5829000001;375575.7312;362533.73990000004;349528.529;336560.02019999997;323394.78859999997;310284.861;297230.05979999993;284230.20690000005;271285.1277;258394.64349999998;245558.58159999998;232776.7663;220049.02219999998;207375.17509999996;194754.0961;182185.6675;169671.68440000003;157211.9662;144803.3079;132446.7325;120143.1397;107894.33009999999;95696.06300000001;83561.004;71490.0537;59471.1591;47504.8019;35604.2963;23767.018200000002;11996.608800000002;830.1645;898.5492;971.2246;1048.1342;1129.5957;1199.1359;1284.8745000000004;1376.4082;1473.2039
01;01;02;01;164852.8561;159627.12050000002;154416.093;149219.74320000003;144038.03839999996;138870.947;133718.4375;128487.76759999999;123279.07099999998;118092.27649999999;112925.35440000001;107782.24339999998;102657.8796;97557.2519;92478.22899999999;87419.7503;82384.7606;77371.11510000001;72374.8877;67399.17519999998;62446.881199999996;57516.86409999999;52605.107599999996;47714.737100000006;42844.805799999995;37997.346000000005;33171.26720000001;28365.776100000003;23583.837100000004;18820.6797;14103.005500000001;9401.767599999997;4714.036499999999;56.8053;85.95649999999999;121.75410000000001;156.4807;183.1439;182.7484;206.7357;206.2891;205.8435
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9447000003;2564167.4672999997;2516941.8622;2464263.4732999997;2393623.6011000006;2307504.2248;2221770.4087;2136386.4697;2051349.4843;1966670.4437999995;1882350.2418999998;1798383.8184999996;1719940.7254000003;1645053.9712;1574018.5230999999;1504072.7434000003;1434792.1312;1365725.6761000005;1296909.7058000006;1228287.443;1160996.5554999998;1092392.7166000002;1024674.1142999999;956519.1910999999;888902.6868;820737.2291;752372.6393999999;683393.5950000002;613438.8429999999;542809.5039;471940.8907000001;401709.534;376067.0362;343252.26970000006;307141.5346;276812.0722;251694.97920000003;243858.0676;248423.54130000004;253109.36500000008
01;01;02;03;998485.8363;966834.4409000002;935271.4897;903797.1432;872412.489;841116.3442999999;810740.6056999998;803207.2753000002;794722.9376000002;782971.0368;769468.8071999999;749590.1691;726911.2459999997;703783.9356;680243.1947;656281.1562000001;629353.2021000001;602357.5903;574420.7379000001;546391.3372999999;516614.2960999999;486981.8982;457520.0337000001;430607.0935;403752.9551;378489.3566;353210.2896;327911.6796;302492.3248;277578.0047;253486.3688;229448.9084;205509.2247;181546.4793;187403.90459999998;192832.35110000003;198068.04200000002;203965.71779999998;209214.42919999998;212842.1174;194410.19509999998;177291.4599
01;01;02;04;2774366.8339999993;2862992.7992000002;2944036.5078;3021545.983300001;3104003.289199999;3191800.1965;3296610.8224999993;3389347.3498;3482622.1834;3578789.2269;3676331.259799999;3779864.6355000013;3885812.6303000003;3991831.2719000005;4092713.3889999986;4190436.1650999994;4287246.8822;4383009.473999999;4479025.990899998;4574896.560199999;4672238.9839;4769217.0304;4864668.789999999;4958858.573399998;5052078.414500001;5144119.892100001;5235611.345499999;5327643.507200002;5419971.4641;5512381.457699998;5604896.7256;5697992.480400001;5791110.1355;5883503.2588;5889262.3403;5902636.289600001;5919527.7531;5929994.884700001;5935755.820799998;5925993.154099999;5925635.0770999985;5923698.509400001
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2221;238565.9188;230007.8185;221473.8704;212810.46830000004;204183.45890000006;195592.726;187038.1513;178519.6211;170037.01710000003;161590.22540000002;153179.1311;144803.61849999998;136463.5727;128158.8815;119889.42980000001;111655.10350000001;103455.79039999998;95290.387;87160.84660000002;79065.98100000001;71005.67910000002;62976.94720000001;54984.86259999999;47026.2956;39103.93099999998;31211.181600000004;23356.226100000003;15531.0854;7779.4687;238.6023;266.6136;304.52250000000004;344.8229;404.3031;663.6092000000001;792.8841;1229.08;1840.0133
01;01;03;01;472847.2787000001;457858.3068;442911.1146000001;428006.0182;413142.94450000004;398321.8104000001;383542.51489999995;368539.05129999993;353598.6286;338721.0473;323906.1067;309153.6108;294463.3571;279835.1553;265301.3168;250829.5732;236642.9009;222571.87980000002;208727.2224;195009.8382;181353.6759;167758.01390000002;154223.0544;140747.52289999998;127329.7144;113943.81709999999;100587.0375;87268.82680000001;73988.59900000002;60732.62729999999;47515.074199999995;34344.759900000005;21190.2376;8261.2633;8578.7794;8882.5848;9173.062300000001;9449.954099999999;9711.2328;9958.3921;10190.5407;10404.839899999999
