branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.23520000005;265729.9949;257054.73559999999;248403.86190000002;239777.33500000002;231174.79599999994;222596.46149999998;213888.20539999995;205216.9368;196582.49259999997;187983.64059999998;179421.81800000003;170895.3492;162405.10369999998;153951.36640000003;145532.6395;137150.38499999998;128833.15680000001;120565.73630000002;112334.6405;104134.068;96039.8723;87978.63429999998;79949.52719999998;71957.26430000001;63996.137599999995;56060.867399999996;48143.05729999999;40281.866599999994;32457.872200000005;24673.2663;16914.8167;9383.796500000002;2269.3586999999998;2355.1155;2439.7793;2523.4188999999997;2606.191;2671.7956000000004;2745.7027000000003;2817.9994;2883.484
01;01;01;02;3091525.332199999;2993815.8244999996;2896389.4332;2799237.435;2702351.3636;2605738.5849;2509388.7016999996;2411570.8171;2314163.802;2217166.3385000005;2127196.4401;2037619.2429999998;1948433.3878999997;1859637.6185;1771230.6682999998;1683211.2663000003;1595578.1461999998;1508300.8067000003;1421408.6386;1334899.0285;1251744.5702999998;1170260.3763000004;1089747.5733;1010932.8661000001;934238.5711000001;855674.9188000001;778516.9097000001;701448.4349000001;629064.045;559067.3211000001;490134.37249999994;421834.7873;355875.84829999995;291239.68880000006;302615.02150000003;312997.1346;318626.7148;326355.2015000001;333968.55309999996;340997.1339;347385.70470000006;353479.67
01;01;01;03;1317058.3889999997;1275308.4366;1233675.9926999998;1192160.8115;1150762.6339000005;1109481.2053999996;1068316.2782;1026525.9634;984911.5539;943472.1791000001;902206.8878000001;861115.5441;820198.1420999999;779453.5282000001;738881.1442999999;698480.4333999999;658250.8393;618191.8166000001;578302.813;538583.2763999999;499032.57130000007;459650.2582;420435.79669999995;381388.778;342508.4794000001;303794.3692;265245.90160000004;226862.55779999998;188643.7712;150589.0405;112697.8267;74969.6038;37403.8342;345.20799999999997;344.4623;343.71819999999997;342.97580000000005;342.2348999999999;341.49569999999994;340.75800000000004;340.0219;339.28729999999996
01;01;01;04;3620653.1410000003;3769409.8864999996;3917722.2405000003;4065599.4094;4213050.3936;4360068.180400002;4506663.5452000005;4649472.7712;4791643.357099999;4933177.894599999;5067458.7896;5201122.131;5334170.0561999995;5466604.545100001;5598424.032600001;5729627.035400001;5860219.7386;5990198.3028;6119548.403999999;6248288.9991999995;6373452.597499999;6496658.123799999;6618675.709500001;6738768.066800001;6856509.850300001;6975901.922800001;7093668.6174;7211135.7655;7323690.3476;7433635.082000003;7542288.039699998;7650105.4465;7755127.3778;7857946.5857;7829157.439299998;7801390.786499999;7778406.919499999;7753354.867900001;7728472.4279000005;7704193.8194;7680570.8332;7657273.947499999
01;01;01;06;414923.1906;401770.3772;388654.5829000001;375575.7312;362533.73990000004;349528.529;336560.02019999997;323394.78870000003;310284.8612;297230.06039999996;284230.2075000001;271285.12799999997;258394.6439;245558.5817;232776.7665;220049.02260000003;207375.17560000002;194755.05439999996;182186.5631;169673.50330000004;157213.6513;144804.86100000003;132450.09279999998;120147.1578;107896.96989999998;95696.45100000002;83551.62280000001;71454.5115;59408.565599999994;47418.9023;35475.744399999996;23604.932200000003;11777.948599999998;238.27299999999997;284.9024;333.5146;383.9373;436.3114;480.59430000000003;532.6203;586.6394000000001;638.5349
01;01;02;01;164852.8561;159627.12050000002;154416.093;149219.74320000003;144038.03839999996;138870.947;133718.4375;128487.7677;123279.07109999997;118092.27659999998;112926.3395;107783.18329999998;102659.7551;97558.04939999999;92478.0042;87421.50129999999;82386.41010000001;77371.6781;72376.3632;67400.5079;62448.137;57547.383099999985;52664.727599999984;47802.306899999996;42960.259900000005;38138.69990000001;33361.0933;28601.376400000005;23866.562800000003;19151.4895;14456.835499999996;9790.647599999998;5113.8429;565.2612;618.159;670.9612999999999;723.6671;776.4116;817.9263000000001;854.0788;890.2409;926.1584
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9447000003;2564167.4672999997;2516941.8622;2464263.4732999997;2393623.6011000006;2321528.2038;2255589.0573999994;2201471.2494999995;2144195.6855000006;2086157.1139;2025987.2088000001;1964567.0577999994;1899789.0044000002;1839599.7599000002;1779552.7552000005;1719732.8718000003;1660735.9950000003;1603948.7339000006;1548055.8954999999;1495386.213;1442595.5946;1389556.7740999998;1336399.0683;1284537.265;1232476.7072999997;1180084.5326999999;1127355.7084000004;1074412.7981999998;1021291.9783;967928.8718;915781.7502;863537.8187000001;852178.2754000002;834217.7276000001;813262.8853;793941.1937000001;773952.3540000002;770944.346;767435.9127999998;758157.4011
01;01;02;03;998485.8363;966834.4409000002;935271.4897;903797.1432;872412.489;841116.3442999999;810740.6056999998;779477.0837000001;747953.2919;716539.3113000001;685253.2845;654098.5476999999;623075.0789;592182.5843999999;561420.6575;530789.8909;500287.8783;469915.2029;439672.4234;409557.1034000001;379570.89619999996;349712.3162;319980.0082;290374.60189999995;260896.63159999996;231544.65480000002;202318.25890000002;173404.75489999994;144943.87399999998;116637.74530000002;88446.7747;60647.6192;33056.23359999999;5702.1719;6466.253999999999;7156.721;7717.8935;8330.8803;9133.5753;8885.912199999999;8868.0807;9184.877199999999
01;01;02;04;2774366.8339999993;2862992.7992000002;2944036.5078;3021545.983300001;3104003.289199999;3191800.1965;3296610.8224999993;3399053.5622999994;3495572.5218000007;3580134.9035;3667698.5538000003;3755866.908599999;3846008.2211;3937244.8540999996;4031682.092400001;4121376.6917;4210772.7749;4299786.232599999;4387825.5242;4473499.480899999;4558126.587;4639347.535499998;4720537.7031000005;4801823.4242;4883075.727299999;4962882.2151;5042714.242500001;5122539.1017;5202221.7808;5281935.9709;5361671.7228;5441223.9898;5519324.077499999;5597072.1265;5593646.240799998;5596925.241300001;5603358.0348;5608135.863000001;5613432.336300001;5602833.6143;5592535.3195;5587702.5034
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2221;238565.9188;230007.8185;221473.8704;212810.46830000004;204183.45910000007;195592.72599999997;187038.1516;178519.6211;170037.0171;161590.22530000002;153179.1311;144803.3443;136463.0446;128158.12789999999;119888.4741;111654.21350000001;103454.9663;95289.6281;87160.1533;79065.35200000001;71005.1142;62976.445900000006;54984.4251;47024.96499999999;39100.0874;31207.338200000006;23345.431299999997;15520.510199999999;7730.9506;130.507;130.2251;129.9438;129.6631;129.3831;129.10360000000003;128.8247;128.5464;128.2688
