COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.447999984
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.43469998
01;2010;01;02;30025422.640399974
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.01930001
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.5343999995
01;2010;04;02;1804326.0339000002
01;2011;01;01;22200979.49580001
01;2011;01;02;29773009.666700013
01;2011;02;01;17371273.4654
01;2011;02;02;21783203.578399982
01;2011;03;01;43568886.87259999
01;2011;03;02;68347153.59490004
01;2011;04;01;3123946.400100001
01;2011;04;02;3617656.2456000014
01;2012;01;01;22377642.839499995
01;2012;01;02;29521492.211699992
01;2012;02;01;17505527.614700004
01;2012;02;02;21592552.239099998
01;2012;03;01;43919277.014800034
01;2012;03;02;67835566.78600003
01;2012;04;01;4748116.0852000015
01;2012;04;02;5440348.280800004
01;2013;01;01;22553516.869399995
01;2013;01;02;29270868.405199997
01;2013;02;01;17639258.93279999
01;2013;02;02;21402502.924200002
01;2013;03;01;44268369.60589997
01;2013;03;02;67325507.45550002
01;2013;04;01;6414390.257900002
01;2013;04;02;7272763.931499995
01;2014;01;01;22728611.616000004
01;2014;01;02;29021129.274000004
01;2014;02;01;17772472.741000015
01;2014;02;02;21213052.51259999
01;2014;03;01;44616154.76720002
01;2014;03;02;66816985.000100024
01;2014;04;01;8123261.638499999
01;2014;04;02;9115268.9115
01;2015;01;01;22902931.369699992
01;2015;01;02;28772276.46449999
01;2015;02;01;17905046.1953
01;2015;02;02;21024321.366300005
01;2015;03;01;44963007.368400015
01;2015;03;02;66309627.93229999
01;2015;04;01;9875233.1304
01;2015;04;02;10968232.903700002
01;2016;01;01;23059841.574
01;2016;01;02;28503733.07229999
01;2016;02;01;18024104.917000014
01;2016;02;02;20821162.06350001
01;2016;03;01;45275245.69719999
01;2016;03;02;65757000.324400015
01;2016;04;01;9984915.459299987
01;2016;04;02;10858550.576399997
01;2016;05;01;1137431.6722999997
01;2016;05;02;1063510.7996
01;2017;01;01;23215746.96999999
01;2017;01;02;28236429.544299997
01;2017;02;01;18142466.5045
01;2017;02;02;20618874.8614
01;2017;03;01;45586166.90189999
01;2017;03;02;65206199.67529999
01;2017;04;01;10093500.965000005
01;2017;04;02;10749965.0722
01;2017;05;01;2294511.3710000003
01;2017;05;02;2124813.6674000006
01;2018;01;01;23370649.11259999
01;2018;01;02;27970370.693400003
01;2018;02;01;18260050.0034
01;2018;02;02;20417548.02440001
01;2018;03;01;45895742.24300001
01;2018;03;02;64657267.92700002
01;2018;04;01;10201000.618500005
01;2018;04;02;10642465.420700008
01;2018;05;01;3471310.833299999
01;2018;05;02;3184018.3966999985
01;2019;01;01;23524559.30020001
01;2019;01;02;27705537.63020001
01;2019;02;01;18376954.8597
01;2019;02;02;20217074.4411
01;2019;03;01;46203788.187999986
01;2019;03;02;64110379.140399985
01;2019;04;01;10307425.273300009
01;2019;04;02;10536040.768599998
01;2019;05;01;4667903.839399999
01;2019;05;02;4241234.578499998
01;2020;01;01;23677483.178599995
01;2020;01;02;27441929.9662
01;2020;02;01;18493140.696200006
01;2020;02;02;20017503.1466
01;2020;03;01;46510369.61569997
01;2020;03;02;63565458.99339998
01;2020;04;01;10412785.682799997
01;2020;04;02;10430680.361800004
01;2020;05;01;5884366.131900002
01;2020;05;02;5296571.511700002
01;2021;01;01;23727875.763300005
01;2021;01;02;27281086.55800001
01;2021;02;01;18530874.188099995
01;2021;02;02;19896561.881399997
01;2021;03;01;46612650.51940002
01;2021;03;02;63225361.35529999
01;2021;04;01;10464939.084300002
01;2021;04;02;10378526.961199997
01;2021;05;01;5910848.990700001
01;2021;05;02;5270088.654199997
01;2021;06;01;1279223.2758999998
01;2021;06;02;1009773.7550000007
01;2022;01;01;23778343.517199997
01;2022;01;02;27120410.09270001
01;2022;02;01;18568686.78199999
01;2022;02;02;19775714.169499997
01;2022;03;01;46715153.9099
01;2022;03;02;62885548.54130001
01;2022;04;01;10516831.720400004
01;2022;04;02;10326634.32650001
01;2022;05;01;5937199.432700002
01;2022;05;02;5243738.212699999
01;2022;06;01;2573749.5465000016
01;2022;06;02;2022592.8869000003
01;2023;01;01;23828880.52920002
01;2023;01;02;26959896.373100016
01;2023;02;01;18606598.02800001
01;2023;02;02;19654952.61210001
01;2023;03;01;46817923.06390003
01;2023;03;02;62545983.12270004
01;2023;04;01;10568464.894200003
01;2023;04;02;10275001.154300002
01;2023;05;01;5963418.124299997
01;2023;05;02;5217519.522099999
01;2023;06;01;3883700.3987000007
01;2023;06;02;3038526.1234999965
01;2024;01;01;23879484.407900024
01;2024;01;02;26799552.062600005
01;2024;02;01;18644598.774699997
01;2024;02;02;19534281.94149999
01;2024;03;01;46920976.51679999
01;2024;03;02;62206634.2017
01;2024;04;01;10619839.902099999
01;2024;04;02;10223626.148099996
01;2024;05;01;5989505.719900002
01;2024;05;02;5191431.927600001
01;2024;06;01;5209198.9082
01;2024;06;02;4057642.7590000015
01;2025;01;01;23930151.866300013
01;2025;01;02;26639381.084
01;2025;02;01;18682682.9682
01;2025;02;02;19413700.415499996
01;2025;03;01;47024338.510800004
01;2025;03;02;61867481.25250006
01;2025;04;01;10670958.031500004
01;2025;04;02;10172508.019400004
01;2025;05;01;6015462.882099994
01;2025;05;02;5165474.765899998
01;2025;06;01;6550369.405000003
01;2025;06;02;5080012.452199999
01;2026;01;01;23980875.35379999
01;2026;01;02;26479380.0706
01;2026;02;01;18720855.2663
01;2026;02;02;19293210.383699995
01;2026;03;01;47127960.947199956
01;2026;03;02;61528560.97550002
01;2026;04;01;10721820.574699998
01;2026;04;02;10121645.477700002
01;2026;05;01;6041290.256500003
01;2026;05;02;5139647.3923999965
01;2026;06;01;7907337.671199999
01;2026;06;02;6105705.387099994
01;2027;01;01;24031655.57050002
01;2027;01;02;26319554.715199996
01;2027;02;01;18759108.82640001
01;2027;02;02;19172821.316899993
01;2027;03;01;47231802.45019998
01;2027;03;02;61189930.41139999
01;2027;04;01;10772428.803800002
01;2027;04;02;10071037.249399997
01;2027;05;01;6066988.495999999
01;2027;05;02;5113949.1538
01;2027;06;01;9280230.882000001
01;2027;06;02;7134792.214999998
01;2028;01;01;24082482.836099993
01;2028;01;02;26159902.649699993
01;2028;02;01;18797439.090600006
01;2028;02;02;19052524.989300005
01;2028;03;01;47335906.12729997
01;2028;03;02;60851534.53880002
01;2028;04;01;10822783.990799999
01;2028;04;02;10020682.063399995
01;2028;05;01;6092558.2429
01;2028;05;02;5088379.4077
01;2028;06;01;10669177.690999996
01;2028;06;02;8167344.131799998
01;2029;01;01;24133356.21419999
01;2029;01;02;26000441.3422
01;2029;02;01;18835845.7861
01;2029;02;02;18932329.3451
01;2029;03;01;47440298.47120001
01;2029;03;02;60513359.43950004
01;2029;04;01;10872887.402799994
01;2029;04;02;9970578.652300006
01;2029;05;01;6118000.138999996
01;2029;05;02;5062937.512299998
01;2029;06;01;12074308.124900002
01;2029;06;02;9203432.77199999
01;2030;01;01;24184265.3937
01;2030;01;02;25841172.15829999
01;2030;02;01;18874319.9749
01;2030;02;02;18812231.552799996
01;2030;03;01;47545059.6393
01;2030;03;02;60175292.13579999
01;2030;04;01;10922740.298700007
01;2030;04;02;9920725.757399987
01;2030;05;01;6143314.829100004
01;2030;05;02;5037622.822900001
01;2030;06;01;13495753.794799995
01;2030;06;02;10243130.380699998
01;2031;01;01;24173284.159900002
01;2031;01;02;25744021.176899992
01;2031;02;01;18865273.231800005
01;2031;02;02;18739829.46700001
01;2031;03;01;47525449.958900034
01;2031;03;02;59962095.78499999
01;2031;04;01;10942581.7507
01;2031;04;02;9900884.305499995
01;2031;05;01;6153390.074599998
01;2031;05;02;5027547.577899997
01;2031;06;01;13516240.056200001
01;2031;06;02;10222644.120199999
01;2031;07;01;1008563.8354
01;2031;07;02;727671.0299999996
01;2032;01;01;24162502.479900017
01;2032;01;02;25646888.713499986
01;2032;02;01;18856392.811200015
01;2032;02;02;18667430.471300002
01;2032;03;01;47506356.06860006
01;2032;03;02;59748847.64549998
01;2032;04;01;10962383.518299995
01;2032;04;02;9881082.53859999
01;2032;05;01;6163445.1677
01;2032;05;02;5017492.485200002
01;2032;06;01;13536685.34670001
01;2032;06;02;10202198.830500005
01;2032;07;01;2023858.1797
01;2032;07;02;1457692.7102000003
01;2033;01;01;24151925.067699984
01;2033;01;02;25549785.27789999
01;2033;02;01;18847679.33709999
01;2033;02;02;18595030.804100003
01;2033;03;01;47487759.95219998
01;2033;03;02;59535574.246100016
01;2033;04;01;10982145.684799984
01;2033;04;02;9861320.372399999
01;2033;05;01;6173480.154400004
01;2033;05;02;5007457.499000003
01;2033;06;01;13557089.746500004
01;2033;06;02;10181794.431500006
01;2033;07;01;3045927.633500001
01;2033;07;02;2190089.1279000007
01;2034;01;01;24141551.661500007
01;2034;01;02;25452701.223399997
01;2034;02;01;18839133.355499998
01;2034;02;02;18522626.157999996
01;2034;03;01;47469669.6563
01;2034;03;02;59322296.124800004
01;2034;04;01;11001868.3272
01;2034;04;02;9841597.7307
01;2034;05;01;6183495.068699999
01;2034;05;02;4997442.585400004
01;2034;06;01;13577453.335599994
01;2034;06;02;10161430.842800003
01;2034;07;01;4074817.161400002
01;2034;07;02;2924884.544999998
01;2035;01;01;24131373.886299994
01;2035;01;02;25355640.0354
01;2035;02;01;18830757.56410001
01;2035;02;02;18450230.37170001
01;2035;03;01;47452092.254800044
01;2035;03;02;59108969.26029996
01;2035;04;01;11021551.522799999
01;2035;04;02;9821914.535400005
01;2035;05;01;6193489.951499997
01;2035;05;02;4987447.703199998
01;2035;06;01;13597776.198200006
01;2035;06;02;10141107.981100008
01;2035;07;01;5110572.072500007
01;2035;07;02;3662103.393199998
01;2036;01;01;24121387.449299976
01;2036;01;02;25258573.947700012
01;2036;02;01;18822550.9737
01;2036;02;02;18377832.1644
01;2036;03;01;47435020.50409998
01;2036;03;02;58895631.2825
01;2036;04;01;11041195.354200002
01;2036;04;02;9802270.704500007
01;2036;05;01;6203464.849000005
01;2036;05;02;4977472.805799997
01;2036;06;01;13618058.416299978
01;2036;06;02;10120825.764000012
01;2036;07;01;6153238.0737
01;2036;07;02;4401770.308299999
01;2037;01;01;24111599.462
01;2037;01;02;25161538.880699977
01;2037;02;01;18814495.347999997
01;2037;02;02;18305445.579500005
01;2037;03;01;47418372.915300034
01;2037;03;02;58682270.4015
01;2037;04;01;11060799.898200013
01;2037;04;02;9782666.160800003
01;2037;05;01;6213419.795300003
01;2037;05;02;4967517.859900004
01;2037;06;01;13638300.06460001
01;2037;06;02;10100584.116800003
01;2037;07;01;7202861.0882
01;2037;07;02;5143909.994000005
01;2038;01;01;24101995.02970002
01;2038;01;02;25064540.48760001
01;2038;02;01;18806600.504599996
01;2038;02;02;18233044.643899996
01;2038;03;01;47402181.21610001
01;2038;03;02;58468872.599200025
01;2038;04;01;11080365.230899995
01;2038;04;02;9763100.828400005
01;2038;05;01;6223354.8308999995
01;2038;05;02;4957582.824899998
01;2038;06;01;13658501.237299994
01;2038;06;02;10080382.945099998
01;2038;07;01;8259486.982300007
01;2038;07;02;5888547.026400002
01;2039;01;01;24092570.1696
01;2039;01;02;24967551.152800012
01;2039;02;01;18798860.418899994
01;2039;02;02;18160632.84420001
01;2039;03;01;47386392.25190001
01;2039;03;02;58255427.3708
01;2039;04;01;11099891.432699997
01;2039;04;02;9743574.627399998
01;2039;05;01;6233269.9973
01;2039;05;02;4947667.6587999975
01;2039;06;01;13678662.004099984
01;2039;06;02;10060222.1786
01;2039;07;01;9323162.123400008
01;2039;07;02;6635706.262299998
01;2040;01;01;24083307.009199996
01;2040;01;02;24870592.278300002
01;2040;02;01;18791265.434900012
01;2040;02;02;18088207.691900015
01;2040;03;01;47370952.35269996
01;2040;03;02;58041910.48900002
01;2040;04;01;11119378.582500005
01;2040;04;02;9724087.478600003
01;2040;05;01;6243165.333000001
01;2040;05;02;4937772.323699996
01;2040;06;01;13698782.44659998
01;2040;06;02;10040101.7371
01;2040;07;01;10393932.712999996
01;2040;07;02;7385412.349600003
01;2041;01;01;24074135.875000007
01;2041;01;02;24773650.670999993
01;2041;02;01;18783803.104700003
01;2041;02;02;18015773.5961
01;2041;03;01;47355732.77509998
01;2041;03;02;57828053.033000015
01;2041;04;01;11138826.7582
01;2041;04;02;9704639.303800002
01;2041;05;01;6253040.877500001
01;2041;05;02;4927896.779500001
01;2041;06;01;13718862.650800006
01;2041;06;02;10020021.533300005
01;2041;07;01;10408703.533599997
01;2041;07;02;7370641.529500006
01;2041;08;01;1063141.4298999999
01;2041;08;02;767048.3443999998
01;2042;01;01;24065341.3716
01;2042;01;02;24676933.99019999
01;2042;02;01;18776597.548700005
01;2042;02;02;17943492.078300003
01;2042;03;01;47341636.83610002
01;2042;03;02;57614952.111600004
01;2042;04;01;11158236.035400013
01;2042;04;02;9685230.0276
01;2042;05;01;6262896.6704999935
01;2042;05;02;4918040.986999997
01;2042;06;01;13738902.6937
01;2042;06;02;9999981.490999999
01;2042;07;01;10423444.813000003
01;2042;07;02;7355900.250800002
01;2042;08;01;2133498.664200001
01;2042;08;02;1536661.9015999995
01;2043;01;01;24056729.39009999
01;2043;01;02;24580262.659299992
01;2043;02;01;18769548.1029
01;2043;02;02;17871226.1505
01;2043;03;01;47328018.106600024
01;2043;03;02;57401864.786699936
01;2043;04;01;11177606.499599997
01;2043;04;02;9665859.569600003
01;2043;05;01;6272732.750299998
01;2043;05;02;4908204.9073
01;2043;06;01;13758902.656899994
01;2043;06;02;9979981.528100012
01;2043;07;01;10438156.612900002
01;2043;07;02;7341188.451700004
01;2043;08;01;3211127.7416000026
01;2043;08;02;2308872.2679999997
01;2044;01;01;24047952.611799985
01;2044;01;02;24483983.557299994
01;2044;02;01;18762200.390200004
01;2044;02;02;17799429.800899994
01;2044;03;01;47313975.253400035
01;2044;03;02;57189691.25970002
01;2044;04;01;11196938.220500002
01;2044;04;02;9646527.853300005
01;2044;05;01;6282549.162300005
01;2044;05;02;4898388.495500003
01;2044;06;01;13778862.620899992
01;2044;06;02;9960021.565000001
01;2044;07;01;10452838.990600003
01;2044;07;02;7326506.075100001
01;2044;08;01;4296076.9822999975
01;2044;08;02;3083705.3695000005
01;2045;01;01;24039010.694799997
01;2045;01;02;24388096.5096
01;2045;02;01;18754721.769299988
01;2045;02;02;17727935.313500002
01;2045;03;01;47299509.372600034
01;2045;03;02;56978429.46449994
01;2045;04;01;11216231.275700003
01;2045;04;02;9627234.797999997
01;2045;05;01;6292345.940500002
01;2045;05;02;4888591.717599995
01;2045;06;01;13798782.665299995
01;2045;06;02;9940101.521100003
01;2045;07;01;10467492.004400004
01;2045;07;02;7311853.061900002
01;2045;08;01;5388395.143599997
01;2045;08;02;3861187.3526000013
01;2046;01;01;24029906.524800006
01;2046;01;02;24292598.141099993
01;2046;02;01;18747118.2267
01;2046;02;02;17656736.342999995
01;2046;03;01;47284606.599400006
01;2046;03;02;56768092.09459999
01;2046;04;01;11235485.744699998
01;2046;04;02;9607980.326899987
01;2046;05;01;6302123.122200004
01;2046;05;02;4878814.536300003
01;2046;06;01;13818662.867999999
01;2046;06;02;9920221.318899998
01;2046;07;01;10482115.711199993
01;2046;07;02;7297229.355600004
01;2046;08;01;6488131.416
01;2046;08;02;4641344.5813000025
01;2047;01;01;24020640.297100008
01;2047;01;02;24197487.776100002
01;2047;02;01;18739387.3207
01;2047;02;02;17585834.945000004
01;2047;03;01;47269265.28220003
01;2047;03;02;56558679.73689999
01;2047;04;01;11254701.697899995
01;2047;04;02;9588764.361900005
01;2047;05;01;6311880.753499998
01;2047;05;02;4869056.905600005
01;2047;06;01;13838503.30700001
01;2047;06;02;9900380.88049999
01;2047;07;01;10496710.1667
01;2047;07;02;7282634.901199999
01;2047;08;01;7595335.139900004
01;2047;08;02;5424203.451600001
01;2048;01;01;24011213.417900007
01;2048;01;02;24102763.50400001
01;2048;02;01;18731394.657200005
01;2048;02;02;17515365.157800004
01;2048;03;01;47253496.65930004
01;2048;03;02;56350180.106599994
01;2048;04;01;11273879.233299999
01;2048;04;02;9569586.837099997
01;2048;05;01;6321618.865400004
01;2048;05;02;4859318.7941000005
01;2048;06;01;13858304.066100001
01;2048;06;02;9880580.121799996
01;2048;07;01;10511275.4348
01;2048;07;02;7268069.633500005
01;2048;08;01;8710056.015100004
01;2048;08;02;6209790.5235
01;2049;01;01;24001627.459400002
01;2049;01;02;24008423.293100003
01;2049;02;01;18723282.165400002
