COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.6033
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.82629999
01;2009;02;Froid_alimentaire;02;25667148.369800005
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.202199999
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.092
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;49882785.06449999
01;2010;01;Autre;02;1237643843.16
01;2010;01;Autre;04;3006678.5299999993
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15936384.499199998
01;2010;01;Cuisson;02;130967434.15799999
01;2010;01;Cuisson;03;4347698.0901
01;2010;01;Cuisson;04;69994596.3704
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;37573388.29330001
01;2010;02;Autre;02;932006829.3000001
01;2010;02;Autre;04;2254986.4077
01;2010;02;Bureautique;02;1451233146.7399998
01;2010;02;Cuisson;01;12214842.6671
01;2010;02;Cuisson;02;98624954.13
01;2010;02;Cuisson;03;3274031.4853000003
01;2010;02;Cuisson;04;52495423.70780001
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;107675408.34400001
01;2010;03;Autre;02;2663650963.8
01;2010;03;Autre;04;6153026.24
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;41699607.306099996
01;2010;03;Cuisson;02;281867492.53200006
01;2010;03;Cuisson;03;9357096.358700002
01;2010;03;Cuisson;04;143240648.48000002
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917612.0141999996
01;2010;04;Autre;02;72267636.93270001
01;2010;04;Autre;04;170672.7911
01;2010;04;Bureautique;02;123791809.02709998
01;2010;04;Cuisson;01;618169.6902999998
01;2010;04;Cuisson;02;4207289.7166
01;2010;04;Cuisson;04;2351681.8733
01;2010;04;Froid_alimentaire;02;1545724.7508
01;2010;04;Process;02;1595910.6186999998
01;2011;01;Autre;01;49810948.7126
01;2011;01;Autre;02;1235861521.6299999
01;2011;01;Autre;04;3002348.5116
01;2011;01;Bureautique;02;1943638153.7199998
01;2011;01;Cuisson;01;15249415.857600002
01;2011;01;Cuisson;02;134540420.82399997
01;2011;01;Cuisson;03;4160282.6818
01;2011;01;Cuisson;04;66977360.56329999
01;2011;01;Froid_alimentaire;02;33533899.4645
01;2011;01;Process;02;27291935.988900002
01;2011;02;Autre;01;37519272.3435
01;2011;02;Autre;02;930664434.7599999
01;2011;02;Autre;04;2251738.6699000006
01;2011;02;Bureautique;02;1463655343.1000001
01;2011;02;Cuisson;01;11688297.3889
01;2011;02;Cuisson;02;101315583.43200001
01;2011;02;Cuisson;03;3132897.8457
01;2011;02;Cuisson;04;50232505.9901
01;2011;02;Froid_alimentaire;02;25252679.094299994
01;2011;02;Process;02;20552172.823
01;2011;03;Autre;01;107520318.541
01;2011;03;Autre;02;2659814543.29
01;2011;03;Autre;04;6144164.392000001
01;2011;03;Bureautique;02;4183087517.99
01;2011;03;Cuisson;01;39902059.952199996
01;2011;03;Cuisson;02;289557227.0210001
01;2011;03;Cuisson;03;8953740.826100001
01;2011;03;Cuisson;04;137065968.084
01;2011;03;Froid_alimentaire;02;72171491.37299998
01;2011;03;Process;02;58737567.0362
01;2011;04;Autre;01;5878960.050299997
01;2011;04;Autre;02;145618629.67699996
01;2011;04;Autre;04;343904.04530000006
01;2011;04;Bureautique;02;250677219.93300003
01;2011;04;Cuisson;01;1219849.2032000006
01;2011;04;Cuisson;02;8601389.8021
01;2011;04;Cuisson;04;4640630.354600001
01;2011;04;Froid_alimentaire;02;3104315.5900999997
01;2011;04;Process;02;3215744.381499999
01;2012;01;Autre;01;49739211.37229999
01;2012;01;Autre;02;1234081535.7499998
01;2012;01;Autre;04;2998024.4755
01;2012;01;Bureautique;02;1960275441.96
01;2012;01;Cuisson;01;14592059.466499997
01;2012;01;Cuisson;02;137946119.65499997
01;2012;01;Cuisson;03;3980945.8119999995
01;2012;01;Cuisson;04;64090175.1977
01;2012;01;Froid_alimentaire;02;33262043.006899998
01;2012;01;Process;02;27252629.012699995
01;2012;02;Autre;01;37465230.364800006
01;2012;02;Autre;02;929323973.33
01;2012;02;Autre;04;2248495.3304999997
01;2012;02;Bureautique;02;1476183763.3600001
01;2012;02;Cuisson;01;11184450.519399997
01;2012;02;Cuisson;02;103880217.27400002
01;2012;02;Cuisson;03;2997847.918499999
01;2012;02;Cuisson;04;48067134.9728
01;2012;02;Froid_alimentaire;02;25047954.4624
01;2012;02;Process;02;20522570.2587
01;2012;03;Autre;01;107365440.00300002
01;2012;03;Autre;02;2655983368.7999997
01;2012;03;Autre;04;6135314.4001
01;2012;03;Bureautique;02;4218893153.19
01;2012;03;Cuisson;01;38181996.24340001
01;2012;03;Cuisson;02;296886913.422
01;2012;03;Cuisson;03;8567771.7418
01;2012;03;Cuisson;04;131157472.09700003
01;2012;03;Froid_alimentaire;02;71586397.06959999
01;2012;03;Process;02;58652969.48959999
01;2012;04;Autre;01;8884767.994799998
01;2012;04;Autre;02;220070832.735
01;2012;04;Autre;04;519736.05619999993
01;2012;04;Bureautique;02;381350820.6319999
01;2012;04;Cuisson;01;1792709.3934999995
01;2012;04;Cuisson;02;13243313.236900002
01;2012;04;Cuisson;04;6819942.3478000015
01;2012;04;Froid_alimentaire;02;4670802.026800001
01;2012;04;Process;02;4859896.9794000015
01;2013;01;Autre;01;49667569.624
01;2013;01;Autre;02;1232304130.5299997
01;2013;01;Autre;04;2993706.5126
01;2013;01;Bureautique;02;1977054770.0899997
01;2013;01;Cuisson;01;13963039.5665
01;2013;01;Cuisson;02;141191753.982
01;2013;01;Cuisson;03;3809339.4091
01;2013;01;Cuisson;04;61327437.39989999
01;2013;01;Froid_alimentaire;02;32992388.490999993
01;2013;01;Process;02;27213376.182
01;2013;02;Autre;01;37411264.72590001
01;2013;02;Autre;02;927985304.4999999
01;2013;02;Autre;04;2245256.7087000003
01;2013;02;Bureautique;02;1488819236.5899997
01;2013;02;Cuisson;01;10702322.2104
01;2013;02;Cuisson;02;106324306.886
01;2013;02;Cuisson;03;2868619.3741000006
01;2013;02;Cuisson;04;45995094.49000001
01;2013;02;Froid_alimentaire;02;24844888.1909
01;2013;02;Process;02;20493009.269399997
01;2013;03;Autre;01;107210790.581
01;2013;03;Autre;02;2652157798.86
01;2013;03;Autre;04;6126477.4167
01;2013;03;Bureautique;02;4255005401.310001
01;2013;03;Cuisson;01;36536079.29949999
01;2013;03;Cuisson;02;303872068.526
01;2013;03;Cuisson;03;8198440.3707
01;2013;03;Cuisson;04;125503676.625
01;2013;03;Froid_alimentaire;02;71006044.0343
01;2013;03;Process;02;58568482.104999974
01;2013;04;Autre;01;11935772.342900004
01;2013;04;Autre;02;295642540.527
01;2013;04;Autre;04;698211.9208999999
01;2013;04;Bureautique;02;516119146.881
01;2013;04;Cuisson;01;2333624.397
01;2013;04;Cuisson;02;18149888.5698
01;2013;04;Cuisson;04;8877727.262999998
01;2013;04;Froid_alimentaire;02;6243603.0221000025
01;2013;04;Process;02;6528772.349699999
01;2014;01;Autre;01;49596028.661
01;2014;01;Autre;02;1230529178.2699997
01;2014;01;Autre;04;2989394.7257
01;2014;01;Bureautique;02;1993977804.4299998
01;2014;01;Cuisson;01;13361132.571699997
01;2014;01;Cuisson;02;144284224.59199998
01;2014;01;Cuisson;03;3645130.1377000003
01;2014;01;Cuisson;04;58683798.506500006
01;2014;01;Froid_alimentaire;02;32724919.614400003
01;2014;01;Process;02;27174178.890699994
01;2014;02;Autre;01;37357376.859200016
01;2014;02;Autre;02;926648753.28
01;2014;02;Autre;04;2242022.4871000005
01;2014;02;Bureautique;02;1501562751.3700001
01;2014;02;Cuisson;01;10240977.243000003
