branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Autre;Autre;1.0;8412635.699;8400521.026;8388422.700999999;8376342.285;8364277.958;8352232.409;8340203.92;8322185.973;8304207.718;8286266.886;8268364.727;8250501.9860000005;8232676.673;8214891.779;8197144.324;8179435.802;8161765.711;8144134.414;8126537.541999999;8108978.505000001;8091453.965999999;8073965.7469999995;8056509.635;8039081.785;8021691.347;8004325.06;7986990.374;7969692.675000001;7952436.107;7935220.134;7918046.901000001;7900925.027999999;7883763.675;7866735.050999999;7849742.746;7832787.761;7815869.103999999;7798987.768;7782142.751;7765334.052;7748561.663;7731825.603
01;01;01;01;Cuisson;Cuisson;1.0;3500591.331;3349692.671;3205297.8270000005;3067127.6089999997;2934913.283;2808398.165;2687336.9950000006;2569559.383;2456944.2439999995;2349264.1990000005;2246302.281;2147853.29;2053719.2780000004;1963710.948;1877647.475;1795355.865;1716670.841;1641434.312;1569494.1249999998;1500707.4819999998;1434934.521;1372043.4570000002;1311907.564;1254405.109;1199423.259;1146848.5250000001;1096577.284;1048509.027;1002548.4020000001;958603.429;916585.7810000001;876412.229;837984.684;801258.61;766142.253;732564.8589999999;700459.0;669760.1699999999;640406.7873000001;612339.8874;585503.0299;559842.3911
01;01;01;02;Autre;Autre;2.58;2.08005643E8;2.077061604E8;2.074070016E8;2.071082704E8;2.068100018E8;2.0651215770000002E8;2.062147549E8;2.057692585E8;2.05324789E8;2.048812E8;2.044385276E8;2.039968859E8;2.035561652E8;2.0311646439999998E8;2.026776745E8;2.022398082E8;2.018028621E8;2.0136695610000002E8;2.009318603E8;2.00497681E8;2.000643385E8;1.996319487E8;1.992003424E8;1.987694247E8;1.9833940220000002E8;1.9790995310000002E8;1.974813931E8;1.970537475E8;1.966270806E8;1.962014219E8;1.957767714E8;1.953533654E8;1.949290016E8;1.94507895E8;1.940877868E8;1.9366859589999998E8;1.932502833E8;1.92832889E8;1.924163919E8;1.920007931E8;1.915860926E8;1.911722894E8
01;01;01;02;Bureautique;Electricité Spécifique;2.58;3.206753307E8;3.2342025529999995E8;3.261886668E8;3.289808469E8;3.3179687429999995E8;3.3463701820000005E8;3.375014428E8;3.401473381E8;3.428140579E8;3.455015319E8;3.482101421E8;3.5094001990000004E8;3.536912179E8;3.564639968E8;3.5925849890000004E8;3.6207492740000004E8;3.649135022E8;3.67774302E8;3.706574113E8;3.735631433E8;3.764914967E8;3.794426746E8;3.786223508E8;3.7780342359999996E8;3.769861186E8;3.761699695E8;3.7535528470000005E8;3.745423865E8;3.737314318E8;3.7292241990000004E8;3.7211530440000004E8;3.713106224E8;3.705040538E8;3.697037585E8;3.6890522859999996E8;3.68108384E8;3.6731320379999995E8;3.6651979890000004E8;3.657281594E8;3.649381951E8;3.641498962E8;3.633633616E8
01;01;01;02;Cuisson;Cuisson;2.58;2.135047235E7;2.1979454970000003E7;2.257908961E7;2.3150650779999997E7;2.3695352589999996E7;2.4214347549999997E7;2.4708748089999996E7;2.516182875E7;2.5591735709999997E7;2.599948518E7;2.6386058560000002E7;2.6752395240000002E7;2.7099384209999997E7;2.742788014E7;2.773870522E7;2.803264004E7;2.8310432599999998E7;2.857280145E7;2.8820410509999998E7;2.905393027E7;2.9273965120000005E7;2.9481116869999997E7;2.9675957939999998E7;2.9859014270000003E7;3.0030827660000004E7;3.019185582E7;3.034261257E7;3.048356613E7;3.0615163950000003E7;3.073783734E7;3.085197422E7;3.095800585E7;3.1055933979999997E7;3.114678566E7;3.123051875E7;3.130744894E7;3.1377887919999998E7;3.1442122419999998E7;3.150043674E7;3.1553087250000004E7;3.160034021E7;3.164242572E7
01;01;01;02;Froid_alimentaire;Electricité Spécifique;2.58;5720154.539;5673783.2659;5627786.9157;5582163.5824;5536909.7496;5492022.744200001;5447499.8338;5399414.8396000005;5351754.805999999;5304513.8883;5257690.471700001;5211280.1902;5165279.692799999;5119685.327799999;5074493.4292;5029700.7144;4985303.7372;4941299.0646;4897679.9907;4854446.727299999;4811592.8327;4769115.9551;4758804.6705;4748510.9336;4738238.7563;4727980.6294;4717741.9634;4707525.3303000005;4697332.7391;4687164.0754;4677020.228999999;4666906.292599999;4656769.5686;4646710.955099999;4636674.0698;4626658.8562;4616665.2757;4606693.2824;4596742.8314000005;4586813.868500001;4576906.3547;4567020.2399
01;01;01;02;Process;Electricité Spécifique;2.58;4593456.563;4586841.209000001;4580235.699;4573639.143999999;4567052.63;4560475.1959999995;4553906.803;4544068.955;4534252.483;4524455.852;4514680.691;4504927.353;4495195.148999999;4485483.977999999;4475793.8440000005;4466125.024999999;4456477.243;4446849.601;4437240.88;4427653.1729999995;4418084.497;4408535.441;4399004.453000001;4389488.745;4379993.214;4370511.049000001;4361046.349;4351602.194;4342180.869;4332780.988;4323404.717;4314055.388;4304685.640000001;4295387.582;4286109.304;4276850.698;4267612.672000001;4258394.3270000005;4249196.652;4240018.4459999995;4230859.922;4221721.067999999
01;01;01;03;Cuisson;Cuisson;1.0;762516.7215;729647.1199999999;698194.4556999999;668097.5281000001;639297.9874999999;611739.8966000001;585369.7376000001;559714.7564000001;535184.2198000001;511728.6328;489301.08509999997;467856.46929999994;447351.64499999996;427745.5074;408998.65770000004;391073.47729999997;373933.95879999996;357545.5447999999;341875.3167;326891.7747;312564.83619999996;298865.69230000005;285766.8065;273241.7029;261265.59519999998;249813.87509999998;238863.92299999998;228393.97259999998;218383.0167;208811.0251;199658.637;190907.73789999998;182538.5654;174538.5319;166889.15480000002;159574.92930000002;152581.26510000002;145894.14919999999;139500.07299999997;133386.2238;127540.33340000002;121950.6781
01;01;01;04;Autre;Autre;1.0;476274.74689999997;475588.87630000006;474904.0267;474220.03229999996;473537.0929;472855.10029999993;472174.05059999996;471154.0458;470136.2424;469120.5108;468106.9947;467095.6634;466086.52830000006;465079.5784;464074.8236;463072.2755;462071.922;461073.787;460077.5466;459083.45050000004;458091.3866;457101.2927;456113.105;455126.74669999996;454142.31070000003;453159.37299999996;452178.2629;451199.424;450222.8021;449248.4762;448276.3983;447307.0431;446336.4349;445372.3563999999;444410.32670000003;443450.3559;442492.54390000005;441536.7905999999;440583.0872;439631.43149999995;438681.83460000006;437734.27650000004
01;01;01;04;Cuisson;Cuisson;1.0;1.157032846E7;1.1071569767E7;1.0594312919E7;1.0137624964999998E7;9700623.548;9282457.116999999;8882321.394;8493036.849000001;8120814.2069999995;7764902.067;7424588.63;7099190.353;6788054.187;6490553.989000001;6206092.602;5934097.717999999;5674024.265999999;5425349.25;5187570.4969999995;4960212.941;4742818.876;4534950.894;4336190.784;4146138.7159999995;3964414.949;3790650.132;3624500.2249999996;3465633.119;3313730.1139999996;3168486.7249999996;3029610.022;2896825.4670000006;2769839.014;2648445.7899999996;2532373.751;2421388.5779999997;2315266.542;2213796.4110000003;2116772.723;2024002.2049999998;1935296.9570000002;1850479.1750000003
