branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.7886868709999997E7;2.69990619668E7;2.6113705471400004E7;2.52310679022E7;2.4350928245600004E7;2.34734805361E7;2.2598864406299993E7;2.1711205518400002E7;2.0827518527999997E7;1.9947792810999997E7;1.9072020971899997E7;1.82001862411E7;1.73147242274E7;1.6434943709700001E7;1.5560786717899997E7;1.46922703724E7;1.3829426268600002E7;1.2978358903700002E7;1.2136540429699996E7;1.1309433103000002E7;1.04881757727E7;9671847.275999999;8854197.7622;8043288.078600001;7238872.694899999;6440946.5321;5649484.311499999;4864234.7819;4085433.2199999997;3313755.7859;2548805.5327000003;1790090.9033;1085514.2159;455268.6230000001;472284.66399999993;489001.50099999993;505435.3140000001;521620.093;534331.264;548559.5519999999;562396.0029999999;574777.903
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.1553;538482.2057999999;506965.7919;475449.37799999997;443932.967;412416.5409;380900.12700000004;352775.768;324651.409;296527.05;268402.691;257152.97849999997;245631.97470000002;234110.95969999998;222590.0121;211069.06399999998;199548.1798;188703.15290000004;177858.38569999998;167014.69300000003;156170.9056;145327.90490000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1497870.8837000001;1448920.0864000001;1400109.5454;1351429.0226;1302899.1198000002;1254513.2808999997;1205395.8313000002;1156477.2673000002;1107767.8112;1059266.8155;1010973.7036000001;961864.1567;913063.8581999999;864571.7671;816386.4230000001;768506.4746000001;720926.3343999999;673649.407;626670.7154000001;579996.6873000001;533618.1658999999;487128.0900999999;441009.8673;395262.1752;349885.26149999996;304870.0671;260225.06590000002;215937.2933;172006.8188;128454.88110000001;85348.72839999999;42625.011099999996;2788.4848;3162.8956;3552.0816999999997;3954.5484000000006;4371.3677;4724.3795;5135.3093;5560.8019;5967.5073
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.3881687796100002E7;1.4413554491899995E7;1.49435524683E7;1.5471791972699998E7;1.5998318182100004E7;1.6523134275100002E7;1.70338336032E7;1.7541874580600005E7;1.8047370319900002E7;1.8550366930699997E7;1.9050880959500004E7;1.9530508464299995E7;2.0006640239299994E7;2.04792427234E7;2.09485245625E7;2.14142069952E7;2.1876483298099995E7;2.2335144545699995E7;2.27903450484E7;2.32289336315E7;2.3659144025600005E7;2.4064795916899998E7;2.44610503913E7;2.4836595903299995E7;2.5205849987800002E7;2.55679688522E7;2.5927332129399996E7;2.6282859864100005E7;2.6628281579499997E7;2.6964983286999993E7;2.72946637388E7;2.7615813623400006E7;2.7927330733799998E7;2.7754196685900003E7;2.75861015608E7;2.743926502019999E7;2.728364266779999E7;2.71285810588E7;2.6976754845900003E7;2.68267341703E7;2.6678809451199997E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.6474;5056185.308699999;4865480.9137;4672195.139699998;4480072.0776;4289002.1105;4098971.5209000004;3909979.117799999;3719099.937699999;3529522.4538999996;3341239.1837;3154242.5198;2968524.9296999997;2784062.917800001;2600867.3953;2418931.0236000004;2238246.4645;2058805.9174;1879347.3215;1701353.4921;1524816.5321000002;1349726.1785;1176073.4186;1003849.1242999999;833044.2649000001;663649.9025999999;495657.1197;329057.10880000005;164962.294;4893.6052;4873.5960000000005;4853.6692;4833.8245;4814.0611;4794.3783;4774.7757;4755.2538;4735.812
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1934000005;1548644.5014;1496407.4407;1444326.2167000002;1392400.5905999998;1340630.2458;1288084.9953;1235769.0724;1183681.6335000002;1131821.8054;1080188.7625;1027710.8422;975565.1386;923750.0321000001;872263.945;821105.2744000001;770267.9913;719755.5473;669566.3512;619785.1418;570338.6409;520917.5841000001;473424.0314;429204.5388999999;385695.02939999994;342675.20480000007;300046.5438;257899.4783;217886.8626;178158.47420000006;138548.2972;100512.8122;63116.4471;70153.0305;76759.62580000001;83230.68200000002;89585.04819999999;95850.1616;102134.2632;108253.01750000002;114190.2331
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7492;939906.9213;908138.5693000002;876460.2123999998;844878.7568000002;813399.1866000001;781450.1293;749644.0133999999;717980.4334000001;686459.1516000001;655079.5314;623209.2764999999;591543.5054;560080.2238;528819.8773;497763.69130000006;467167.12380000006;436898.74220000004;407189.27560000005;377690.566;348369.48890000005;319000.726;289874.5408999999;260981.80029999997;232322.68970000002;203896.1592;175693.31810000003;147722.58110000004;120008.35970000002;92535.9681;65284.7509;39985.3476;17613.2098;18283.561899999997;18942.3668;19590.249599999996;20228.540800000006;20730.4014;21292.0587;21838.471;22327.695200000002
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715454E8;1.236863808998E8;1.1956493361010002E8;1.154546080273E8;1.1135645596330002E8;1.0726918618429998E8;1.031188664114E8;9.89861620811E7;9.486846744300002E7;9.076831015319999E7;8.66857026993E7;8.253263713090001E7;7.840635979179999E7;7.43063374041E7;7.023306412629999E7;6.61858739054E7;6.21596231931E7;5.815801864080001E7;5.417533947630001E7;5.044691374199999E7;4.68324936878E7;4.32508415152E7;3.9725498364300005E7;3.63918104779E7;3.31201690808E7;2.99353904128E7;2.676430132720001E7;2.36124788609E7;2.0512677795700002E7;1.7529984843799993E7;1.4653482431700004E7;1.1781933246000001E7;8897578.2741;9467299.0917;9979973.9632;1.0118596460600005E7;1.0431670015200002E7;1.0749369260599999E7;1.1017310954599995E7;1.1265577124700002E7;1.1497164615199998E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.3505467341189998E8;1.3323040383520001E8;1.313196887109E8;1.2932132146280001E8;1.27234096364E8;1.262732290299E8;1.2537263795089999E8;1.245408996092E8;1.2377017024859999E8;1.23060989484E8;1.2241390429450001E8;1.218214900458E8;1.212774659623E8;1.207822055354E8;1.203360821211E8;1.199394759886E8;1.201736230163E8;1.2039955267159998E8;1.206171363007E8;1.2082624445650001E8;1.210337081766E8;1.2067236023799999E8;1.2030315110509999E8;1.1992309829580002E8;1.1953204996550001E8;1.1912985099200001E8;1.1932791134900002E8;1.19527369277E8;1.1972823698799999E8;1.19930528017E8;1.20134258082E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801740854000006E7;2.5655483424000002E7;2.5509226290999997E7;2.5362969358000003E7;2.4983178751E7;2.4669222877E7;2.4355267003E7;2.4041312129E7;2.3607482229999997E7;2.3173652331E7;2.2739822432E7;2.2539364076E7;2.2338905721E7;2.2138447365000002E7;2.1819057589E7;2.1499667813E7;2.1413811812E7;2.1317760687999997E7;2.1221709464E7;2.1125658238999996E7;2.1037598035E7;2.0949537831E7;2.0861477627E7;2.07496485078E7;2.0518362211799998E7;2.0287075449E7;2.0174721286300004E7;2.00623668387E7;1.9950013336600002E7;1.9827463534799997E7;1.97049176977E7;1.95823878403E7;1.94678481166E7;1.9353319879199997E7
