branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.6999061966600005E7;2.6113705471100003E7;2.52310679016E7;2.4350928244600005E7;2.3473480535399996E7;2.2598864405899994E7;2.1711205518399995E7;2.0827508129300002E7;1.99477643682E7;1.90734698888E7;1.8235490317999996E7;1.7381872810500003E7;1.65592646321E7;1.5742083703699999E7;1.4930182439299999E7;1.4123979818300003E7;1.33227662029E7;1.2526584780600002E7;1.1729842254700001E7;1.09386163801E7;1.01476686328E7;9359641.0388;8578858.942400001;7808004.3844;7043256.013499999;6284576.8617;5532200.939799999;4785603.212799999;4122425.1381000006;3651770.7169000003;3492924.3703000005;3355151.185400001;3231284.6637000004;3753411.106;4231348.4997000005;4371569.392899999;4708876.4993;5093731.889000001;5477103.411599999;5850568.259199999;6271042.4168
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;1951195.9708999998;1869016.2602000001;1786836.5473999996;1704656.8317;1622477.8158;1540298.4960000003;1453879.6065;1367460.8088999998;1281042.3094999997;1194623.6140999997;1108204.7778;1018394.188;928583.4162;838772.6643999999;748961.9334000001;713881.9757;678802.018;643722.0623000001;608642.1078;573562.1553;538482.2057999999;506965.7919;475449.37799999997;443932.967;412418.17470000003;380903.5811;352781.8612;324661.0968;296541.4183;268421.5877;257176.0139;245661.4198;234147.092;222632.46099999998;211118.57189999998;199608.6993;188774.43260000003;177942.88989999998;167112.13890000002;156282.47710000002;145456.6147
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.7470000002;1497882.6372;1448935.0936000003;1400124.2069999997;1351453.4063;1302938.8291;1254563.8978999995;1205445.9234000002;1156536.6873000003;1107835.3998999998;1059341.8741;1011055.5028000001;961942.5663000001;913138.517;864641.3051000001;816450.4447000001;768564.6181999999;720979.1039999999;673697.2977;626717.9071000001;580039.6250000001;533661.1111;487176.0681999999;441057.44269999996;395301.31450000004;349913.54770000005;304892.60529999994;260240.80399999995;215954.936;172016.8486;128556.66750000001;85573.75490000001;42975.89840000001;5672.347299999999;6036.5281;6414.779200000001;8245.3059;10069.7228;15060.5753;22100.301799999997;29272.943199999998;36638.153
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.3881687746399999E7;1.4413554788999999E7;1.4943553234199997E7;1.5471793204499997E7;1.59983202635E7;1.6523137768900003E7;1.7033839004299995E7;1.7541881689600006E7;1.80473746776E7;1.85503739838E7;1.90508477489E7;1.9530440324300006E7;2.0006632675299995E7;2.04792094091E7;2.0948414138399996E7;2.1413958790000003E7;2.1876096364400003E7;2.2334625579300005E7;2.2789628217999995E7;2.3241197408600003E7;2.36890464503E7;2.4114773836300004E7;2.4536492575400002E7;2.4946206263099995E7;2.53499749239E7;2.57430474608E7;2.613223869220001E7;2.6516881498000003E7;2.6890760190300006E7;2.7246063042899996E7;2.7582833784899995E7;2.78985351625E7;2.8193869650700003E7;2.8005238132999994E7;2.7814845070800003E7;2.7639291057699997E7;2.74494385238E7;2.7249310224999998E7;2.70404500913E7;2.6828447969999995E7;2.65886966678E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.924500001;5439785.489100002;5247584.647;5056185.308699999;4865480.9138;4672195.140399999;4479969.6687;4288903.9777999995;4098879.5559000005;3909891.0356;3719015.6056;3529441.7119999994;3341159.9094999996;3154166.7234000005;2968452.5359000005;2783993.9354;2600801.8894;2418869.0847;2238188.2549;2058752.0541000003;1879297.8239000002;1701308.7210000001;1524776.4116;1349690.6723000002;1176022.062;1003745.6235;832906.1751;663485.6068;500162.87130000006;343987.2001;203170.98409999997;66841.47619999999;86252.2531;104674.9048;114531.5601;130012.38739999999;146480.0655;163706.3828;181037.86239999998;228964.5159
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601038.1935000003;1548644.5014;1496407.4407999997;1444326.2167000002;1392400.5905999998;1340630.2456999999;1288084.9951;1235768.9689;1183681.3251000002;1131821.2235;1080187.8158999998;1027709.4759999999;975563.3073;923747.4568;872260.5888;821100.9066;770262.7174000002;719749.4503;669558.9066000001;619687.6878000001;570216.0107;520689.61740000005;471572.2528;424687.32629999996;378664.50380000006;334626.73610000004;290996.362;247735.80860000002;205872.95309999998;165135.31860000003;124235.87599999999;84990.4856;47665.38519999999;55190.89259999999;63887.31459999999;73478.5169;83609.8682;94786.2187;107573.2934;121061.92250000002;135181.64370000002
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971772.7491999997;939906.9213;908138.5693000002;876460.2126;844878.7569000002;813399.1867000001;781450.1302;749643.6488;717979.3873;686520.4953999999;656417.1851;625813.6370000001;596403.2161;567187.4869;538161.0823;509338.9022;480695.6159;452232.7580000001;423731.9976;395429.11850000004;367123.5088;338937.55290000007;311013.4456999999;283457.1999;256119.5135;228998.5578;202087.98720000003;175384.32809999998;151687.4159;135399.20160000003;131127.5862;127654.9026;124751.94080000001;144814.1616;163195.87540000002;168596.866;181587.28619999997;196409.3687;211183.63600000006;225581.937;241660.4857
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278168715457E8;1.236863808698E8;1.1956493354310001E8;1.154552787166E8;1.113571255899E8;1.0726985474009998E8;1.031195333945E8;9.898667529309998E7;9.487122523910001E7;9.0772060028E7;8.666825801570001E7;8.24911136415E7;7.832213140639998E7;7.417952141330002E7;7.00634355335E7;6.597358109900001E7;6.1909741907000005E7;5.787228990990001E7;5.38649393441E7;4.98837554468E7;4.5933647447299995E7;4.1972453146E7;3.8043811757E7;3.41895305089E7;3.0379028581299998E7;2.6637547345200006E7;2.2928870830999997E7;1.9252944378299996E7;1.56291687893E7;1.2051110255800003E7;8490132.179100003;4992472.1662;1602516.1885;1738066.2538;1898637.2149999996;2078809.4676000003;2271534.7141;2487460.0094000003;2742896.3878;3014850.3608999997;3301715.3538
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.3505467341189998E8;1.3323040383520001E8;1.313196887109E8;1.2932132146280001E8;1.27234096364E8;1.262732290299E8;1.2537263795089999E8;1.245408996092E8;1.2377017024859999E8;1.23060989484E8;1.2241390429450001E8;1.218214900458E8;1.212774659623E8;1.207822055354E8;1.203360821211E8;1.199394759886E8;1.201736230163E8;1.2039955267159998E8;1.206171363007E8;1.2082624445650001E8;1.210337081766E8;1.2067236023799999E8;1.2030315110509999E8;1.1992309829580002E8;1.1953204996550001E8;1.1912985099200001E8;1.1932791134900002E8;1.19527369277E8;1.1972823698799999E8;1.19930528017E8;1.20134258082E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.5658690344E7;2.5745799258E7;2.5832918083000004E7;2.5920027007999998E7;2.6007142033E7;2.6094255727999993E7;2.5947998402E7;2.5801740854000006E7;2.5655483424000002E7;2.5509226290999997E7;2.5362969358000003E7;2.4983178751E7;2.4669222877E7;2.4355267003E7;2.4041312129E7;2.3607482229999997E7;2.3173652331E7;2.2739822432E7;2.2539364076E7;2.2338905721E7;2.2138447365000002E7;2.1819057589E7;2.1499667813E7;2.1413811812E7;2.13177849997E7;2.1221760861500002E7;2.11257489066E7;2.1037742193E7;2.09497516375E7;2.08617588198E7;2.07499912879E7;2.0518800370899998E7;2.02876131182E7;2.0175352950200003E7;2.0063103545E7;1.9950913901E7;1.98285311446E7;1.97061898966E7;1.95838647256E7;1.94695660932E7;1.9355331112699997E7
01;01;01;02;Eclairage;Electricité Spécifique;2.58;1.8927689708E8;1.88373453427E8;1.87472258229E8;1.86573295252E8;1.856766124779E8;1.8478218884139997E8;1.8389005243580002E8;1.828677838299E8;1.81849250573E8;1.808344221293E8;1.798233411882E8;1.78816052293E8;1.7781261939709997E8;1.768131024082E8;1.758178021973E8;1.748536264381E8;1.739174801773E8;1.7298460797859997E8;1.720548984272E8;1.711283740406E8;1.702051571603E8;1.6928518869280002E8;1.6836799436360002E8;1.674540796021E8;1.6654356379039997E8;1.65636058416E8;1.647316784802E8;1.6383037883130002E8;1.6293252265290004E8;1.6203798901049998E8;1.611479032711E8;1.6028331432230002E8;1.5942089951000002E8;1.5856354726369998E8;1.577092556539E8;1.56857912526E8;1.560091589193E8;1.5516309115E8;1.5431981635270002E8;1.534795501531E8;1.5264218169640002E8;1.5180755058540002E8
