COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.00119999
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.448
01;2009;03;02;69373982.77640006
01;2010;01;01;22023525.43469999
01;2010;01;02;30025422.64039998
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.785299998
01;2010;03;01;43217455.01930001
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.5233999998
01;2010;04;02;1804326.0203000002
01;2011;01;01;22200979.747000005
01;2011;01;02;29773010.047800023
01;2011;02;01;17371273.4678
01;2011;02;02;21783203.442099992
01;2011;03;01;43568885.93480001
01;2011;03;02;68347153.03420003
01;2011;04;01;3123946.380999999
01;2011;04;02;3617656.2226000023
01;2012;01;01;22377643.2929
01;2012;01;02;29521493.57969999
01;2012;02;01;17505527.80370001
01;2012;02;02;21592552.347000007
01;2012;03;01;43919281.45670001
01;2012;03;02;67835561.38480002
01;2012;04;01;4748116.023499997
01;2012;04;02;5440348.207300002
01;2013;01;01;22553517.5871
01;2013;01;02;29270870.0301
01;2013;02;01;17639259.11829999
01;2013;02;02;21402502.965699993
01;2013;03;01;44268384.060600005
01;2013;03;02;67325490.93029998
01;2013;04;01;6414390.215299996
01;2013;04;02;7272763.878700008
01;2014;01;01;22728612.591399997
01;2014;01;02;29021133.349899996
01;2014;02;01;17772472.91830001
01;2014;02;02;21213053.456700005
01;2014;03;01;44616195.69309998
01;2014;03;02;66816942.4592
01;2014;04;01;8123261.593099999
01;2014;04;02;9115268.854400007
01;2015;01;01;22902932.640999995
01;2015;01;02;28772282.2544
01;2015;02;01;17905046.342000004
01;2015;02;02;21024322.364499997
01;2015;03;01;44963076.5964
01;2015;03;02;66309560.94240001
01;2015;04;01;9875233.117300004
01;2015;04;02;10968232.882399984
01;2016;01;01;23059842.820099972
01;2016;01;02;28503738.605099984
01;2016;02;01;18024104.9994
01;2016;02;02;20821162.247000005
01;2016;03;01;45275342.0029
01;2016;03;02;65756908.64220001
01;2016;04;01;9984915.447199997
01;2016;04;02;10858550.5538
01;2016;05;01;1137431.7959000005
01;2016;05;02;1063510.9125000003
01;2017;01;01;23215748.735700008
01;2017;01;02;28236434.291599993
01;2017;02;01;18142466.693899997
01;2017;02;02;20618877.416999992
01;2017;03;01;45586288.13140004
01;2017;03;02;65206084.32699996
01;2017;04;01;10093500.953499997
01;2017;04;02;10749965.048400003
01;2017;05;01;2294511.6028
01;2017;05;02;2124813.880700001
01;2018;01;01;23370650.25939999
01;2018;01;02;27970377.61910001
01;2018;02;01;18260048.521300003
01;2018;02;02;20417551.392899994
01;2018;03;01;45895889.12670002
01;2018;03;02;64657135.278
01;2018;04;01;10201000.605800005
01;2018;04;02;10642465.3983
01;2018;05;01;3471311.185699998
01;2018;05;02;3184018.718700002
01;2019;01;01;23524559.6535
01;2019;01;02;27705547.675600007
01;2019;02;01;18376684.608400006
01;2019;02;02;20217344.893099997
01;2019;03;01;46203696.010100015
01;2019;03;02;64110490.12829999
01;2019;04;01;10307425.261100003
01;2019;04;02;10536040.744900007
01;2019;05;01;4667904.274500002
01;2019;05;02;4241234.9711000025
01;2020;01;01;23677480.1659
01;2020;01;02;27441945.947500017
01;2020;02;01;18492479.43900001
01;2020;02;02;20018163.09959999
01;2020;03;01;46510018.0665
01;2020;03;02;63565833.54339998
01;2020;04;01;10412785.670100002
01;2020;04;02;10430680.3374
01;2020;05;01;5884366.693800002
01;2020;05;02;5296572.015
01;2021;01;01;23727873.785899997
01;2021;01;02;27281106.274200022
01;2021;02;01;18530010.864400014
01;2021;02;02;19897419.398199987
01;2021;03;01;46612080.83279997
01;2021;03;02;63225952.77580001
01;2021;04;01;10464939.0724
01;2021;04;02;10378526.936100006
01;2021;05;01;5910849.553500003
01;2021;05;02;5270089.156599998
01;2021;06;01;1279223.4639
01;2021;06;02;1009773.9027000003
01;2022;01;01;23778338.7551
01;2022;01;02;27120429.94960001
01;2022;02;01;18567613.68799999
01;2022;02;02;19776783.969799995
01;2022;03;01;46714393.9834
01;2022;03;02;62886329.33190001
01;2022;04;01;10516831.707200004
01;2022;04;02;10326634.302299995
01;2022;05;01;5937199.998399998
01;2022;05;02;5243738.7128000045
01;2022;06;01;2573750.0307999984
01;2022;06;02;2022593.2654999981
01;2023;01;01;23828876.413399987
01;2023;01;02;26959921.029200006
01;2023;02;01;18605315.074900012
01;2023;02;02;19656233.7448
01;2023;03;01;46816834.719099976
01;2023;03;02;62547100.78930001
01;2023;04;01;10568464.878099998
01;2023;04;02;10275001.132499995
01;2023;05;01;5963418.690500002
01;2023;05;02;5217520.021300001
01;2023;06;01;3883701.1603000006
01;2023;06;02;3038526.719499999
01;2024;01;01;23879476.360699996
01;2024;01;02;26799577.423499987
01;2024;02;01;18643104.606500003
01;2024;02;02;19535769.119199995
01;2024;03;01;46919562.658
01;2024;03;02;62208086.73159995
01;2024;04;01;10619839.883400002
01;2024;04;02;10223626.128299996
01;2024;05;01;5989506.287600002
01;2024;05;02;5191432.425
01;2024;06;01;5209199.8888
01;2024;06;02;4057643.5219000014
01;2025;01;01;23930138.6411
01;2025;01;02;26639410.95120001
01;2025;02;01;18680982.730800003
01;2025;02;02;19415397.08820001
01;2025;03;01;47022505.80749995
01;2025;03;02;61869372.60529999
01;2025;04;01;10670958.0163
01;2025;04;02;10172507.995999992
01;2025;05;01;6015463.4508000035
01;2025;05;02;5165475.262500002
01;2025;06;01;6550370.6182
01;2025;06;02;5080013.384900002
01;2026;01;01;23980857.0287
01;2026;01;02;26479418.084500007
01;2026;02;01;18718948.403599992
01;2026;02;02;19295113.859600004
01;2026;03;01;47125865.97509999
01;2026;03;02;61530729.01930004
01;2026;04;01;10721820.558900006
01;2026;04;02;10121645.454900008
01;2026;05;01;6041290.826000002
01;2026;05;02;5139647.8877
01;2026;06;01;7907339.306300003
01;2026;06;02;6105706.6427000025
01;2027;01;01;24031626.464499995
