branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;265729.9949;257054.73559999999;248403.86200000002;239777.33500000002;231174.79599999994;222596.4618;213888.20599999995;205216.4989;196581.02180000008;187988.6565;179574.1487;171195.0602;162976.79230000003;154795.33709999998;146647.6586;138535.2187;130457.90299999999;122412.86640000003;114374.07810000001;106368.84909999998;98374.51879999999;90439.5815;82539.62569999999;74694.7153;66881.0631;59095.0458;51334.95289999999;43612.50349999999;36554.971;31269.402099999996;29304.054100000005;27542.505599999997;25971.0888;31013.073700000008;35569.18099999999;36992.2659;40226.0245;43990.43780000001;47782.177200000006;51489.24570000001;55783.91139999999
01;01;01;02;3091525.332199999;2993815.8244999996;2896389.433099999;2799237.435;2702351.3636999996;2605738.584800001;2509388.7018;2411570.8172;2314163.8019999997;2217166.3377;2120570.3438999997;2024239.6919000002;1928315.3772;1832670.5750999998;1737428.7508000003;1642589.4048000006;1548151.6512999998;1454114.2101;1360475.8264;1267262.2338;1174444.9256000002;1082124.6369;990236.6236;898760.5319;809634.7873999999;721414.7272;635377.0534999998;549764.7966999998;464541.2004;380817.6339000001;298341.6212;215646.29049999997;134803.75430000003;56857.630600000004;65320.795;75108.76769999998;85978.9443;97529.6161;110413.5748;125231.13769999999;140933.1169;157437.06740000003
01;01;01;03;1317058.3889999997;1275308.4366;1233675.9926999998;1192160.8114000002;1150762.6339000002;1109481.2053999999;1068316.2783;1026525.9633000002;984912.1784;943472.3873000001;902207.0605;861115.6467000002;820197.5829;779451.3373000001;738878.3722999998;698477.1317;658247.0695000001;618187.6437;578298.3105999999;538578.5532;499027.8263;459645.5723;420431.2435;381384.64770000003;342504.77100000007;303791.0796;265243.02979999996;226860.1009;188641.7286;150587.4098;113546.8566;77804.07890000001;45476.084800000004;13959.872;18027.7025;21873.8385;24190.579199999996;27548.757999999998;31127.1933;34892.5631;38698.22800000001;49288.3835
01;01;01;04;3620653.1410000003;3769409.8865999994;3917722.2405999997;4065599.4095999994;4213050.393500001;4360068.180499999;4506663.5449;4649472.7713;4791643.354799999;4933177.8918;5074078.433700001;5214347.102900001;5353985.992799999;5492997.138200001;5631383.5504;5769144.992899999;5906285.840900001;6042805.7722;6178705.0334;6313986.060100001;6448655.466999999;6582633.938399999;6715936.1656;6848604.806799999;6978691.618199999;7107655.724299999;7234219.263500002;7360146.249800001;7485474.337500001;7608449.4989;7727365.4029;7841837.755400001;7950781.528999999;8054567.0286;8019338.8668;7983529.573100002;7950928.9118;7914822.641799999;7875846.2245000005;7834267.3094999995;7791847.821499999;7741237.414000001
01;01;01;06;414923.1906;401770.37710000004;388654.5828000001;375575.73089999997;362533.7396000001;349528.5288;336560.01989999996;323394.7882;310284.86069999996;297230.0592999999;284230.2065000001;271285.1272;258394.64320000002;245558.58109999998;232776.7662;220049.0226;207375.1758;194755.05490000005;182188.48500000004;169675.2935;157215.30989999996;144808.36090000003;132451.3587;120147.3565;107897.14909999998;95696.701;83548.2275;71450.8072;59401.9223;47403.5125;35476.792400000006;23618.4982;11823.0391;1423.1885;1468.371;1515.4895999999999;1972.139;2439.6794999999997;3730.9516;5514.5671;7336.3434;9212.5153
01;01;02;01;164852.8561;159627.1204;154416.093;149219.74310000002;144038.03819999998;138870.9468;133718.43730000002;128487.7675;123279.07089999996;118092.2764;112930.5085;107864.09079999999;102817.027;97845.7285;92896.46939999999;87967.151;83060.5908;78173.7715;73306.797;68458.66979999999;63630.514899999995;58824.16109999999;54039.5932;49273.79120000001;44524.9641;39800.2532;35096.5365;30410.192900000005;25748.4574;21104.7049;16481.6611;12444.634499999998;9162.7901;6176.313700000001;8256.9517;10427.4936;12776.8454;15266.526800000001;17732.131299999997;19514.643200000002;22164.583700000003;25282.477300000002
01;01;02;02;2704966.9641;2651914.7327999994;2606330.9623000002;2564167.5194;2516941.9623000002;2464263.6404999997;2393623.7680000006;2321528.3703;2249788.2487999997;2175823.4798;2090774.1887999997;2005999.9138999996;1921581.0498999998;1837475.9591;1753739.7596999996;1670336.7534;1587221.4438000002;1506003.7448000002;1429113.6117000002;1355269.4651;1283504.3108999997;1212691.1221999999;1140640.9115;1067320.0391000002;992779.0527;917571.6207;841540.1569;764809.2358000001;688005.4576999999;611834.4748000002;536673.2439;461448.91240000003;388102.4557;316393.60690000013;289367.62309999997;256342.57699999996;220614.56950000004;191043.58690000002;166662.81369999997;159064.86610000004;151689.7862;148450.1217
01;01;02;03;998485.8363;966834.4409000002;935271.4897;903797.1432;872412.4889;841116.3441999998;810740.6805999998;779477.2225;748044.2211000001;716714.6328000001;685512.4621;657429.0579000001;629245.9190000001;598341.6974999999;567569.4017000002;536926.6670000001;506415.0931;476032.2679;445778.4302;415649.8758999999;385650.4622;355777.7636999999;326032.3921;296913.2081;270166.94010000007;243644.002;218164.83239999996;193878.27789999996;170309.20309999998;148014.29740000004;127933.02350000001;108307.5785;90533.33410000001;73484.9305;84848.59300000002;96821.6188;108970.59760000001;121582.4317;134445.7395;146717.8948;159931.47120000003;178331.20530000006
01;01;02;04;2774366.8339999993;2862992.7993;2944036.4902;3021545.9317;3104003.189899999;3191800.0299000004;3296610.581099999;3399053.2575;3501282.3900000006;3605607.3345;3720857.619400001;3832613.3844999997;3944085.9519999996;4057889.6312;4171168.33;4283956.461699999;4396301.8737;4506595.276299998;4612411.408500001;4715028.627299999;4815415.995100001;4914698.1163;5015064.8432;5116051.6274999995;5215862.1983;5316090.134000001;5416073.5457999995;5515539.343799999;5614334.781000001;5711197.463400001;5804800.494300001;5897406.034600001;5985123.2009;6069919.365899998;6068679.446500001;6072695.935099999;6078727.6269000005;6078086.349499998;6072186.899699999;6051396.480999998;6028566.877400001;5995977.7622
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.2219;238565.9184;230007.81819999998;221473.87;212810.4676;204183.45820000005;195592.7248;187038.1503;178519.6196;170037.0156;161590.2239;153179.12989999997;144803.61730000004;136463.5721;128158.88030000002;119889.25809999999;111654.9436;103455.6429;95291.24140000003;87160.6521;79065.80500000002;71005.52100000001;62976.7551;54984.64739999999;47025.0746;39101.08599999999;31208.991;23349.291900000004;15522.464399999999;8092.591100000001;1041.1622;1894.0206;2820.4376;4109.9547;5342.276900000001;6445.139900000002;6960.305200000001;7512.7837;8065.037100000001
