COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.395999998
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640003
01;2010;01;01;22023525.434699982
01;2010;01;02;30025422.640399974
01;2010;02;01;17236486.12889999
01;2010;02;02;21974465.785299994
01;2010;03;01;43217455.0193
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.4894999994
01;2010;04;02;1804325.9787999997
01;2011;01;01;22200979.495800007
01;2011;01;02;29773009.666700013
01;2011;02;01;17371273.4654
01;2011;02;02;21783203.578399982
01;2011;03;01;43568886.87259999
01;2011;03;02;68347153.59490004
01;2011;04;01;3123946.319099997
01;2011;04;02;3617656.1515999986
01;2012;01;01;22377642.839499995
01;2012;01;02;29521492.211699996
01;2012;02;01;17505527.6147
01;2012;02;02;21592552.239099998
01;2012;03;01;43919277.01480004
01;2012;03;02;67835566.78600003
01;2012;04;01;4748115.9473
01;2012;04;02;5440348.1222
01;2013;01;01;22553516.869399995
01;2013;01;02;29270868.405200005
01;2013;02;01;17639258.93279999
01;2013;02;02;21402502.924200002
01;2013;03;01;44268369.605899975
01;2013;03;02;67325507.45550002
01;2013;04;01;6414390.161399998
01;2013;04;02;7272763.826099998
01;2014;01;01;22728611.616000004
01;2014;01;02;29021129.274000004
01;2014;02;01;17772472.741000015
01;2014;02;02;21213052.51259999
01;2014;03;01;44616154.76720002
01;2014;03;02;66816985.000100024
01;2014;04;01;8123261.564400006
01;2014;04;02;9115268.829399986
01;2015;01;01;22902931.369699992
01;2015;01;02;28772276.46449999
01;2015;02;01;17905046.1953
01;2015;02;02;21024321.366300005
01;2015;03;01;44963007.36840002
01;2015;03;02;66309627.93229999
01;2015;04;01;9875233.031299993
01;2015;04;02;10968232.791000012
01;2016;01;01;23059841.574
01;2016;01;02;28503733.07229999
01;2016;02;01;18024104.91700001
01;2016;02;02;20821162.063500006
01;2016;03;01;45275245.6972
01;2016;03;02;65757000.324400015
01;2016;04;01;9984915.359700002
01;2016;04;02;10858550.465
01;2016;05;01;1137431.7286999999
01;2016;05;02;1063510.8510999996
01;2017;01;01;23215746.96999999
01;2017;01;02;28236429.544299997
01;2017;02;01;18142466.5045
01;2017;02;02;20618874.86140001
01;2017;03;01;45586166.9019
01;2017;03;02;65206199.67529999
01;2017;04;01;10093500.868199999
01;2017;04;02;10749964.959199995
01;2017;05;01;2294511.4707
01;2017;05;02;2124813.7581999996
01;2018;01;01;23370649.112599984
01;2018;01;02;27970370.69340001
01;2018;02;01;18260050.0034
01;2018;02;02;20417548.024400007
01;2018;03;01;45895742.242999956
01;2018;03;02;64657267.92700001
01;2018;04;01;10201000.519599998
01;2018;04;02;10642465.310100002
01;2018;05;01;3471310.8995000045
01;2018;05;02;3184018.4588000015
01;2019;01;01;23524559.232499994
01;2019;01;02;27705536.78620001
01;2019;02;01;18376954.793600004
01;2019;02;02;20217074.21510001
01;2019;03;01;46203472.90009999
01;2019;03;02;64110696.227
01;2019;04;01;10307425.173399998
01;2019;04;02;10536040.657799995
01;2019;05;01;4667903.9314
01;2019;05;02;4241234.663799998
01;2020;01;01;23677483.685700007
01;2020;01;02;27441930.099900004
01;2020;02;01;18493143.084800012
01;2020;02;02;20017500.16140001
01;2020;03;01;46509786.50569998
01;2020;03;02;63566046.82230001
01;2020;04;01;10412785.582100006
01;2020;04;02;10430680.251699999
01;2020;05;01;5884366.247800004
01;2020;05;02;5296571.615199995
01;2021;01;01;23727877.350999996
01;2021;01;02;27281085.66600002
01;2021;02;01;18530879.77319999
01;2021;02;02;19896554.540000003
01;2021;03;01;46611790.50010003
01;2021;03;02;63226224.9806
01;2021;04;01;10464938.985799998
01;2021;04;02;10378526.849099997
01;2021;05;01;5910849.107400002
01;2021;05;02;5270088.756700001
01;2021;06;01;1279223.327000001
01;2021;06;02;1009773.7949000004
01;2022;01;01;23778344.625699993
01;2022;01;02;27120408.706899997
01;2022;02;01;18568692.197899994
01;2022;02;02;19775708.135499977
01;2022;03;01;46714010.37350002
01;2022;03;02;62886691.831599995
01;2022;04;01;10516831.620299991
01;2022;04;02;10326634.215899998
01;2022;05;01;5937199.5518
01;2022;05;02;5243738.313699995
01;2022;06;01;2573749.694599998
01;2022;06;02;2022593.0011999998
01;2023;01;01;23828882.285300005
01;2023;01;02;26959894.698799998
01;2023;02;01;18606602.40670001
01;2023;02;02;19654946.762200013
01;2023;03;01;46816531.56119999
01;2023;03;02;62547369.22149998
01;2023;04;01;10568464.790399998
01;2023;04;02;10275001.046300001
01;2023;05;01;5963418.242999998
01;2023;05;02;5217519.623100001
01;2023;06;01;3883700.6403000024
01;2023;06;02;3038526.3131999974
01;2024;01;01;23879486.54049999
01;2024;01;02;26799550.645099994
01;2024;02;01;18644604.388299998
01;2024;02;02;19534276.926700007
01;2024;03;01;46919385.956799954
01;2024;03;02;62208218.68879996
01;2024;04;01;10619839.795200003
01;2024;04;02;10223626.0431
01;2024;05;01;5989505.841700002
01;2024;05;02;5191432.025399991
01;2024;06;01;5209199.0774
01;2024;06;02;4057642.8926999993
01;2025;01;01;23930154.52160003
01;2025;01;02;26639379.7347
01;2025;02;01;18682690.778099984
01;2025;02;02;19413695.383999996
01;2025;03;01;47022549.456300005
01;2025;03;02;61869264.54190002
01;2025;04;01;10670957.923799992
01;2025;04;02;10172507.9156
01;2025;05;01;6015463.002900007
01;2025;05;02;5165474.865099999
01;2025;06;01;6550369.700600001
01;2025;06;02;5080012.679900002
01;2026;01;01;23980878.838800006
01;2026;01;02;26479379.8028
01;2026;02;01;18720864.629499998
01;2026;02;02;19293205.01000001
01;2026;03;01;47126124.401199974
01;2026;03;02;61530403.22030002
01;2026;04;01;10721820.465599993
01;2026;04;02;10121645.375000006
01;2026;05;01;6041290.376300005
01;2026;05;02;5139647.4925000025
01;2026;06;01;7907337.983000005
01;2026;06;02;6105705.627500006
01;2027;01;01;24031653.949699994
01;2027;01;02;26319554.069599997
01;2027;02;01;18759116.55029999
01;2027;02;02;19172813.813099984
01;2027;03;01;47230088.79419999
01;2027;03;02;61191644.18780003
01;2027;04;01;10772428.689700004
01;2027;04;02;10071037.15199999
01;2027;05;01;6066988.613700001
01;2027;05;02;5113949.255700001
01;2027;06;01;9280231.224100001
01;2027;06;02;7134792.478599994
01;2028;01;01;24082483.0133
01;2028;01;02;26159904.639799986
01;2028;02;01;18797449.672900014
01;2028;02;02;19052510.848100014
01;2028;03;01;47334293.27050003
01;2028;03;02;60853138.00009995
01;2028;04;01;10822783.875700004
01;2028;04;02;10020681.96720001
01;2028;05;01;6092558.361099999
01;2028;05;02;5088379.509200004
01;2028;06;01;10669177.998200001
01;2028;06;02;8167344.365799995
01;2029;01;01;24133355.55069998
01;2029;01;02;26000442.20039999
01;2029;02;01;18835859.169
01;2029;02;02;18932310.859400004
01;2029;03;01;47438687.56030001
01;2029;03;02;60514957.59829998
01;2029;04;01;10872887.286899986
01;2029;04;02;9970578.557200003
01;2029;05;01;6118000.260700004
01;2029;05;02;5062937.610999999
01;2029;06;01;12074308.388200006
01;2029;06;02;9203432.972699998
01;2030;01;01;24184273.7625
01;2030;01;02;25841164.237399995
01;2030;02;01;18874335.9514
01;2030;02;02;18812210.475
01;2030;03;01;47543346.13299998
01;2030;03;02;60176991.15910003
01;2030;04;01;10922740.181900004
01;2030;04;02;9920725.663399993
01;2030;05;01;6143314.9486000035
01;2030;05;02;5037622.923999995
01;2030;06;01;13495753.896300001
01;2030;06;02;10243130.447499996
01;2031;01;01;24173296.10710002
01;2031;01;02;25744009.719899986
01;2031;02;01;18865288.36459999
01;2031;02;02;18739807.33210001
01;2031;03;01;47523682.11340002
01;2031;03;02;59963831.16680005
01;2031;04;01;10942581.634300007
01;2031;04;02;9900884.211599994
01;2031;05;01;6153390.194499998
01;2031;05;02;5027547.678500006
01;2031;06;01;13516240.157800011
01;2031;06;02;10222644.187000005
01;2031;07;01;1008563.8018999994
01;2031;07;02;727671.0059000005
01;2032;01;01;24162523.13830001
01;2032;01;02;25646865.435599986
01;2032;02;01;18856408.889000017
01;2032;02;02;18667411.401300002
01;2032;03;01;47504519.215999946
01;2032;03;02;59750649.770600006
01;2032;04;01;10962383.401800003
01;2032;04;02;9881082.444699999
01;2032;05;01;6163445.287999999
01;2032;05;02;5017492.585299996
01;2032;06;01;13536685.44699999
01;2032;06;02;10202198.89880001
01;2032;07;01;2023858.0343000009
01;2032;07;02;1457692.6055
01;2033;01;01;24151951.797699995
01;2033;01;02;25549763.33700001
01;2033;02;01;18847697.394900005
01;2033;02;02;18595011.647299994
01;2033;03;01;47485857.793
01;2033;03;02;59537445.520399995
01;2033;04;01;10982145.569
01;2033;04;02;9861320.278099984
01;2033;05;01;6173480.274199999
01;2033;05;02;5007457.599399995
01;2033;06;01;13557089.844199995
01;2033;06;02;10181794.502300007
01;2033;07;01;3045927.3581999997
01;2033;07;02;2190088.9302000036
01;2034;01;01;24141583.61590002
01;2034;01;02;25452676.660399996
01;2034;02;01;18839151.582500003
01;2034;02;02;18522604.944200005
01;2034;03;01;47467686.54709993
01;2034;03;02;59324215.080799945
01;2034;04;01;11001868.211699998
01;2034;04;02;9841597.636700002
01;2034;05;01;6183495.189200004
01;2034;05;02;4997442.685000001
01;2034;06;01;13577453.4347
01;2034;06;02;10161430.912600001
01;2034;07;01;4074816.7822999973
01;2034;07;02;2924884.272300001
01;2035;01;01;24131406.327900004
01;2035;01;02;25355599.15930001
01;2035;02;01;18830778.781899992
01;2035;02;02;18450207.947000004
01;2035;03;01;47450024.35159999
01;2035;03;02;59110952.95629998
01;2035;04;01;11021551.406999985
01;2035;04;02;9821914.441700006
01;2035;05;01;6193490.075700001
01;2035;05;02;4987447.798999996
01;2035;06;01;13597776.298399998
01;2035;06;02;10141108.05
01;2035;07;01;5110571.54
01;2035;07;02;3662103.0105000013
01;2036;01;01;24121426.758500002
01;2036;01;02;25258538.411600012
01;2036;02;01;18822571.53600001
01;2036;02;02;18377809.522000015
01;2036;03;01;47432827.307300024
01;2036;03;02;58897668.72820002
01;2036;04;01;11041195.235100001
01;2036;04;02;9802270.614400016
01;2036;05;01;6203464.971399998
01;2036;05;02;4977472.9038
01;2036;06;01;13618058.515000004
01;2036;06;02;10120825.8342
01;2036;07;01;6153237.183999999
01;2036;07;02;4401769.671299998
01;2037;01;01;24111642.69809999
01;2037;01;02;25161507.2966
01;2037;02;01;18814518.405899983
01;2037;02;02;18305419.469399996
01;2037;03;01;47416104.99909999
01;2037;03;02;58684377.10099999
01;2037;04;01;11060799.773899999
01;2037;04;02;9782666.076300006
01;2037;05;01;6213419.917299994
01;2037;05;02;4967517.958299997
01;2037;06;01;13638300.166000023
01;2037;06;02;10100584.183499996
01;2037;07;01;7202859.604900003
01;2037;07;02;5143908.927699999
01;2038;01;01;24102040.47140001
01;2038;01;02;25064500.379399985
01;2038;02;01;18806625.79089999
01;2038;02;02;18233017.176999994
01;2038;03;01;47399857.28880003
01;2038;03;02;58471050.64690001
01;2038;04;01;11080365.107000008
01;2038;04;02;9763100.743600003
01;2038;05;01;6223354.953100005
01;2038;05;02;4957582.922800003
01;2038;06;01;13658501.334599987
01;2038;06;02;10080383.0158
01;2038;07;01;8259484.895800003
01;2038;07;02;5888545.5309999995
01;2039;01;01;24092625.68880001
01;2039;01;02;24967521.662099995
01;2039;02;01;18798885.9193
01;2039;02;02;18160601.718200002
01;2039;03;01;47384018.56450001
01;2039;03;02;58257681.12720001
01;2039;04;01;11099891.306099998
01;2039;04;02;9743574.545100002
01;2039;05;01;6233270.116800008
01;2039;05;02;4947667.7595999995
01;2039;06;01;13678662.104099996
01;2039;06;02;10060222.247100003
01;2039;07;01;9323159.381199999
01;2039;07;02;6635704.298900001
01;2040;01;01;24083358.57499999
01;2040;01;02;24870565.014700003
01;2040;02;01;18791294.534099977
01;2040;02;02;18088174.005200017
01;2040;03;01;47368473.05849996
01;2040;03;02;58044185.285000004
01;2040;04;01;11119378.454000011
01;2040;04;02;9724087.3979
01;2040;05;01;6243165.455799998
01;2040;05;02;4937772.421099997
01;2040;06;01;13698782.549400002
01;2040;06;02;10040101.802799998
01;2040;07;01;10393929.498600008
01;2040;07;02;7385410.058600002
01;2041;01;01;24074191.709900003
01;2041;01;02;24773619.1551
01;2041;02;01;18783833.992500007
01;2041;02;02;18015740.28330001
01;2041;03;01;47353124.91299998
01;2041;03;02;57830446.95209996
01;2041;04;01;11138826.628100002
01;2041;04;02;9704639.224399991
01;2041;05;01;6253041.000300002
01;2041;05;02;4927896.877200005
01;2041;06;01;13718862.751900015
01;2041;06;02;10020021.601199992
01;2041;07;01;10408700.318799986
01;2041;07;02;7370639.239399995
01;2041;08;01;1063140.6509000012
01;2041;08;02;767047.7821000004
01;2042;01;01;24065402.140300002
01;2042;01;02;24676897.465
01;2042;02;01;18776629.760000005
01;2042;02;02;17943457.438199993
01;2042;03;01;47338943.54120003
01;2042;03;02;57617431.944800004
01;2042;04;01;11158235.906700013
01;2042;04;02;9685229.946899991
01;2042;05;01;6262896.793700004
01;2042;05;02;4918041.0845
01;2042;06;01;13738902.799400007
01;2042;06;02;9999981.554099996
01;2042;07;01;10423441.597600004
01;2042;07;02;7355897.961200007
01;2042;08;01;2133497.0382999987
01;2042;08;02;1536660.7292999988
01;2043;01;01;24056796.201099996
01;2043;01;02;24580220.0501
01;2043;02;01;18769580.571200006
01;2043;02;02;17871191.25259999
01;2043;03;01;47325219.81970002
01;2043;03;02;57404450.0444
01;2043;04;01;11177606.368599998
01;2043;04;02;9665859.493200008
01;2043;05;01;6272732.876399993
01;2043;05;02;4908205.0019000005
01;2043;06;01;13758902.760900006
01;2043;06;02;9979981.593400005
01;2043;07;01;10438153.391799986
01;2043;07;02;7341186.1681
01;2043;08;01;3211125.278500001
01;2043;08;02;2308870.4969999995
01;2044;01;01;24048024.6698
01;2044;01;02;24483935.640599992
01;2044;02;01;18762241.890100006
01;2044;02;02;17799385.892099995
01;2044;03;01;47311091.230299994
01;2044;03;02;57192362.68689996
01;2044;04;01;11196938.0754
01;2044;04;02;9646527.772700012
01;2044;05;01;6282549.289300005
01;2044;05;02;4898388.589799996
01;2044;06;01;13778862.724500002
01;2044;06;02;9960021.6305
01;2044;07;01;10452835.763600005
01;2044;07;02;7326503.796999999
01;2044;08;01;4296073.680899998
01;2044;08;02;3083702.998500001
01;2045;01;01;24039088.2415
01;2045;01;02;24388043.029899996
01;2045;02;01;18754780.264500003
01;2045;02;02;17727874.4194
01;2045;03;01;47296565.94080001
01;2045;03;02;56981160.661199994
01;2045;04;01;11216231.121600002
01;2045;04;02;9627234.714899994
01;2045;05;01;6292346.069800004
01;2045;05;02;4888591.810500002
01;2045;06;01;13798782.769100007
01;2045;06;02;9940101.586500008
01;2045;07;01;10467488.771900004
01;2045;07;02;7311850.7899
01;2045;08;01;5388391.103000007
01;2045;08;02;3861184.4556999994
01;2046;01;01;24029989.354300015
01;2046;01;02;24292539.29899999
01;2046;02;01;18747193.923099995
01;2046;02;02;17656658.237999998
01;2046;03;01;47281621.083699994
01;2046;03;02;56770865.82830001
01;2046;04;01;11235485.590999994
01;2046;04;02;9607980.250699993
01;2046;05;01;6302123.252099998
01;2046;05;02;4878814.6289
01;2046;06;01;13818662.972800002
01;2046;06;02;9920221.383399999
01;2046;07;01;10482112.473099988
01;2046;07;02;7297227.089099998
01;2046;08;01;6488126.494499998
01;2046;08;02;4641341.060699999
01;2047;01;01;24020728.6381
01;2047;01;02;24197423.3676
01;2047;02;01;18739480.499899995
01;2047;02;02;17585739.3325
01;2047;03;01;47266248.387600005
01;2047;03;02;56561485.29809998
01;2047;04;01;11254701.547600007
01;2047;04;02;9588764.2905
01;2047;05;01;6311880.881499996
01;2047;05;02;4869057.0002
01;2047;06;01;13838503.411699995
01;2047;06;02;9900380.945699997
01;2047;07;01;10496706.928399995
01;2047;07;02;7282632.634800002
01;2047;08;01;7595329.398000001
01;2047;08;02;5424199.351400001
01;2048;01;01;24011307.3287
01;2048;01;02;24102693.4737
01;2048;02;01;18731513.7714
01;2048;02;02;17515243.610300012
01;2048;03;01;47250468.8168
01;2048;03;02;56352997.1399
01;2048;04;01;11273879.073399995
01;2048;04;02;9569586.7664
01;2048;05;01;6321618.998100006
01;2048;05;02;4859318.884200005
01;2048;06;01;13858304.174000012
01;2048;06;02;9880580.1845
01;2048;07;01;10511272.194499997
01;2048;07;02;7268067.369699997
01;2048;08;01;8710049.5514
01;2048;08;02;6209785.906899998
01;2049;01;01;24001725.804999985
01;2049;01;02;24008348.7734
01;2049;02;01;18723428.374399994
