COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.47999996;90565331.04
01;2009;01;Chauffage;01;06;498869709.25000006;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8200002;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.73
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.29800004;473747327.4900001
01;2009;02;Chauffage;01;01;71553032.59799999;47577082.479
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.52999994
01;2009;02;Chauffage;03;03;417804386.959;231002354.58899996
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;05;02;19466536.158000004;48368502.415
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.8500001
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.7800002
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;250214205.51000005;621707241.5699999
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;134529436.20380002;89423168.54140005
01;2010;01;Chauffage;01;06;483017847.5213999;327531568.97160006
01;2010;01;Chauffage;03;03;788407654.38;435676984.1171002
01;2010;01;Chauffage;04;04;2336603862.3352003;1703143802.4479
01;2010;01;Chauffage;05;02;38099867.0699;94666714.04609999
01;2010;01;Chauffage;06;02;738582420.8403001;679495796.7029
01;2010;01;Chauffage;09;02;154030044.361;458701478.7914
01;2010;01;Chauffage;21;01;12180.739;9381.6044
01;2010;01;Chauffage;24;04;53137605.335799985;50864401.291300006
01;2010;01;Chauffage;26;02;13395441.27;13395443.124799998
01;2010;02;Chauffage;01;01;70080688.5105;46600246.2291
01;2010;02;Chauffage;01;06;237347917.45989993;161031564.43779996
01;2010;02;Chauffage;03;03;404341842.03859997;223558788.69749996
01;2010;02;Chauffage;04;04;1271600197.6270998;927944216.5676998
01;2010;02;Chauffage;05;02;18843685.3387;46820905.2829
01;2010;02;Chauffage;06;02;339943514.28599995;312748036.79710007
01;2010;02;Chauffage;09;02;112380286.41600002;334668496.39009994
01;2010;02;Chauffage;21;01;16714.92;12873.83
01;2010;02;Chauffage;24;04;23231304.726699997;22283304.631199993
01;2010;02;Chauffage;26;02;5087288.718;5087288.709199999
01;2010;03;Chauffage;01;01;618381872.6009;410879567.0325
01;2010;03;Chauffage;01;06;2256340458.2621;1529097733.9906
01;2010;03;Chauffage;03;03;3945100669.9433002;2179813629.0481005
01;2010;03;Chauffage;04;04;9922627225.448301;7229677487.528701
01;2010;03;Chauffage;05;02;242195127.86830002;601782233.2620001
01;2010;03;Chauffage;06;02;3933240522.2033;3618581071.1545005
01;2010;03;Chauffage;09;02;644052884.1842002;1917989578.2413006
01;2010;03;Chauffage;21;01;2016726.69;1553282.654
01;2010;03;Chauffage;24;04;492626751.076;471126412.9397999
01;2010;03;Chauffage;26;02;18753735.85;18753738.385
01;2010;04;Chauffage;01;01;9656481.463399999;6441374.457900001
01;2010;04;Chauffage;01;06;9351563.682299998;6333787.568899999
01;2010;04;Chauffage;03;03;372120.252;206229.0299
01;2010;04;Chauffage;04;04;42063793.4447;30698867.491399996
01;2010;04;Chauffage;05;02;159907.15899999999;397321.3147
01;2010;04;Chauffage;06;02;3138261.7714;2887200.6427000007
01;2010;04;Chauffage;09;02;1913840.3273000002;5699416.5550999995
01;2010;04;Chauffage;21;01;9747535.042399995;7504732.625499999
01;2010;04;Chauffage;21;06;10418256.294;8144629.233200001
01;2010;04;Chauffage;23;03;1034780.4116000001;746899.9579
01;2010;04;Chauffage;24;04;52571146.48879999;50355793.84790002
01;2010;04;Chauffage;25;02;25998.3276;83753.6136
01;2010;04;Chauffage;26;02;3385544.0489000003;3385544.683500001
01;2010;04;Chauffage;29;02;824811.9813;2841642.1325000003
01;2011;01;Chauffage;01;01;145934605.2501;97048458.5823
01;2011;01;Chauffage;01;06;467208448.9901;316811327.56189996
01;2011;01;Chauffage;03;03;762325326.03;421263398.516
01;2011;01;Chauffage;04;04;2325841031.4792995;1695398097.0660996
01;2011;01;Chauffage;05;02;36847020.1851;91553788.89260003
01;2011;01;Chauffage;06;02;714464759.4915;657307600.7329001
01;2011;01;Chauffage;09;02;148992611.315;443700023.2817999
01;2011;01;Chauffage;21;01;139772.2321;107652.57620000001
01;2011;01;Chauffage;24;04;110146073.88359998;105432684.19349998
01;2011;01;Chauffage;26;02;17898662.988500003;17898667.0039
01;2011;02;Chauffage;01;01;73545813.61660002;48919152.1816
01;2011;02;Chauffage;01;06;229568207.19660005;155753337.29370004
01;2011;02;Chauffage;03;03;390925339.80050004;216140719.7026
01;2011;02;Chauffage;04;04;1277757821.5158;932460225.7263004
01;2011;02;Chauffage;05;02;18222989.950099997;45278662.388
01;2011;02;Chauffage;06;02;328845169.27699995;302537566.9594
01;2011;02;Chauffage;09;02;108708201.27199997;323733024.1744
01;2011;02;Chauffage;21;01;61029.6961;47005.0778
01;2011;02;Chauffage;24;04;47430032.41340003;45495228.30890001
01;2011;02;Chauffage;26;02;6846086.444600001;6846087.251000001
01;2011;03;Chauffage;01;01;696165825.5709002;462873430.86710006
01;2011;03;Chauffage;01;06;2173662642.4891;1473073823.4905002
01;2011;03;Chauffage;03;03;3808049433.5375996;2104075939.2983994
01;2011;03;Chauffage;04;04;9565007824.7206;6969025511.1872015
01;2011;03;Chauffage;05;02;234194438.02989995;581902915.5295001
01;2011;03;Chauffage;06;02;3784603344.2044992;3481835110.4907994
01;2011;03;Chauffage;09;02;627506284.6164998;1868713741.2021008
01;2011;03;Chauffage;21;01;4564744.7508000005;3515766.8535
01;2011;03;Chauffage;24;04;973144320.6521002;930636941.3569003
01;2011;03;Chauffage;26;02;18761369.4581;18761366.4277
01;2011;04;Chauffage;01;01;21846053.58900001;14572241.482800003
01;2011;04;Chauffage;01;06;15749767.939700002;10666692.044599997
01;2011;04;Chauffage;03;03;372120.252;206229.02990000002
01;2011;04;Chauffage;04;04;80254139.76249997;58567713.4043
01;2011;04;Chauffage;05;02;384597.1907;955608.6139
01;2011;04;Chauffage;06;02;6900522.3454;6348480.972500001
01;2011;04;Chauffage;09;02;4824981.1756;14368794.1046
