COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700001
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.826500001
01;2009;02;Cuisson;04;54860269.826299995
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;49882785.0645
01;2010;01;Autre;02;1237643843.16
01;2010;01;Autre;04;3006678.5299999993
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15936384.4992
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;03;4347698.0901
01;2010;01;Cuisson;04;69994596.3704
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;37573388.29330001
01;2010;02;Autre;02;932006829.3000001
01;2010;02;Autre;04;2254986.4077000003
01;2010;02;Bureautique;02;1451233146.7399998
01;2010;02;Cuisson;01;12214842.6671
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;03;3274031.4853000003
01;2010;02;Cuisson;04;52495423.7078
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;107675408.34400001
01;2010;03;Autre;02;2663650963.8
01;2010;03;Autre;04;6153026.24
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;41699607.306099996
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;03;9357096.358700002
01;2010;03;Cuisson;04;143240648.48000002
01;2010;03;Froid_alimentaire;02;72761369.98249999
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9802999995
01;2010;04;Autre;02;72267636.08649997
01;2010;04;Autre;04;170672.789
01;2010;04;Bureautique;02;123791807.57670002
01;2010;04;Cuisson;01;618169.6833999999
01;2010;04;Cuisson;02;4207289.667300001
01;2010;04;Cuisson;04;2351681.8459
01;2010;04;Froid_alimentaire;02;1545724.7325
01;2010;04;Process;02;1595910.6004999995
01;2011;01;Autre;01;49810948.0736
01;2011;01;Autre;02;1235861507.1299999
01;2011;01;Autre;04;3002348.4837999996
01;2011;01;Bureautique;02;1943638129.22
01;2011;01;Cuisson;01;15249415.532600002
01;2011;01;Cuisson;02;135354562.586
01;2011;01;Cuisson;03;4160282.6274
01;2011;01;Cuisson;04;66977359.951299995
01;2011;01;Froid_alimentaire;02;33533899.031299993
01;2011;01;Process;02;27291935.649899997
01;2011;02;Autre;01;37519275.38349999
01;2011;02;Autre;02;930664514.5599998
01;2011;02;Autre;04;2251738.856
01;2011;02;Bureautique;02;1463655473.6000001
01;2011;02;Cuisson;01;11688297.6139
01;2011;02;Cuisson;02;101939616.50400002
01;2011;02;Cuisson;03;3132898.1307000006
01;2011;02;Cuisson;04;50232510.2201
01;2011;02;Froid_alimentaire;02;25252681.239999995
01;2011;02;Process;02;20552174.573000006
01;2011;03;Autre;01;107520316.25199997
01;2011;03;Autre;02;2659814487.55
01;2011;03;Autre;04;6144164.2782000005
01;2011;03;Bureautique;02;4183087433.3399997
01;2011;03;Cuisson;01;39902058.93
01;2011;03;Cuisson;02;291687548.1760001
01;2011;03;Cuisson;03;8953740.657300001
01;2011;03;Cuisson;04;137065966.237
01;2011;03;Froid_alimentaire;02;72171489.87810002
01;2011;03;Process;02;58737565.99320001
01;2011;04;Autre;01;5878960.2491999995
01;2011;04;Autre;02;145618630.89499995
01;2011;04;Autre;04;343904.04530000006
01;2011;04;Bureautique;02;250677230.083
01;2011;04;Cuisson;01;1219849.2263000004
01;2011;04;Cuisson;02;8616843.852999996
01;2011;04;Cuisson;04;4640630.5479000015
01;2011;04;Froid_alimentaire;02;3104315.6723
01;2011;04;Process;02;3215744.492499999
01;2012;01;Autre;01;49739212.7353
01;2012;01;Autre;02;1234081571.05
01;2012;01;Autre;04;2998024.5596
01;2012;01;Bureautique;02;1960275490.16
01;2012;01;Cuisson;01;14592059.8245
01;2012;01;Cuisson;02;139140337.23100004
01;2012;01;Cuisson;03;3980945.920899999
01;2012;01;Cuisson;04;64090177.022700004
01;2012;01;Froid_alimentaire;02;33262043.8605
01;2012;01;Process;02;27252629.584699996
01;2012;02;Autre;01;37465235.2448
01;2012;02;Autre;02;929324103.0300002
01;2012;02;Autre;04;2248495.6306000003
01;2012;02;Bureautique;02;1476183988.37
01;2012;02;Cuisson;01;11184451.359399999
01;2012;02;Cuisson;02;104795577.33500001
01;2012;02;Cuisson;03;2997848.435499999
01;2012;02;Cuisson;04;48067142.3928
01;2012;02;Froid_alimentaire;02;25047957.940700006
01;2012;02;Process;02;20522573.118699998
01;2012;03;Autre;01;107365436.80699998
01;2012;03;Autre;02;2655983291.46
01;2012;03;Autre;04;6135314.201900001
01;2012;03;Bureautique;02;4218893038.3899994
01;2012;03;Cuisson;01;38181995.87460001
01;2012;03;Cuisson;02;300011689.00100005
01;2012;03;Cuisson;03;8567771.5041
01;2012;03;Cuisson;04;131157468.239
01;2012;03;Froid_alimentaire;02;71586394.96350001
01;2012;03;Process;02;58652967.91759998
01;2012;04;Autre;01;8884768.309499996
01;2012;04;Autre;02;220070844.67199996
01;2012;04;Autre;04;519736.0667
01;2012;04;Bureautique;02;381350834.04300004
01;2012;04;Cuisson;01;1792709.4028
01;2012;04;Cuisson;02;13297165.3508
01;2012;04;Cuisson;04;6819942.140399999
01;2012;04;Froid_alimentaire;02;4670802.107200001
01;2012;04;Process;02;4859897.200499999
01;2013;01;Autre;01;49667573.4367
01;2013;01;Autre;02;1232304220.22
01;2013;01;Autre;04;2993706.7414
01;2013;01;Bureautique;02;1977054920.4799998
01;2013;01;Cuisson;01;13963040.8754
01;2013;01;Cuisson;02;142749041.685
01;2013;01;Cuisson;03;3809339.7163000004
01;2013;01;Cuisson;04;61327441.957399994
01;2013;01;Froid_alimentaire;02;32992390.946299996
01;2013;01;Process;02;27213378.2439
01;2013;02;Autre;01;37411272.3849
01;2013;02;Autre;02;927985500.9
01;2013;02;Autre;04;2245257.2054000003
01;2013;02;Bureautique;02;1488819565.59
01;2013;02;Cuisson;01;10702323.5574
01;2013;02;Cuisson;02;107517971.474
01;2013;02;Cuisson;03;2868620.205000001
01;2013;02;Cuisson;04;45995105.433
01;2013;02;Froid_alimentaire;02;24844893.655200012
01;2013;02;Process;02;20493013.8684
01;2013;03;Autre;01;107210787.16100001
01;2013;03;Autre;02;2652157718.63
01;2013;03;Autre;04;6126477.179200001
01;2013;03;Bureautique;02;4255005268.3500004
01;2013;03;Cuisson;01;36536079.52510001
01;2013;03;Cuisson;02;307946922.98100007
01;2013;03;Cuisson;03;8198439.935799997
01;2013;03;Cuisson;04;125503662.48099999
01;2013;03;Froid_alimentaire;02;71006041.3398
01;2013;03;Process;02;58568480.46599998
01;2013;04;Autre;01;11935772.513
01;2013;04;Autre;02;295642553.86399996
01;2013;04;Autre;04;698211.9458999999
01;2013;04;Bureautique;02;516119175.587
01;2013;04;Cuisson;01;2333624.4246000005
01;2013;04;Cuisson;02;18267051.7327
01;2013;04;Cuisson;04;8877727.1968
01;2013;04;Froid_alimentaire;02;6243603.146500001
01;2013;04;Process;02;6528772.4757
01;2014;01;Autre;01;49596034.62369999
01;2014;01;Autre;02;1230529328.05
01;2014;01;Autre;04;2989395.064399999
01;2014;01;Bureautique;02;1993978042.32
01;2014;01;Cuisson;01;13361134.691699998
01;2014;01;Cuisson;02;146188341.133
01;2014;01;Cuisson;03;3645130.588199999
01;2014;01;Cuisson;04;58683805.8191
01;2014;01;Froid_alimentaire;02;32724923.469299998
01;2014;01;Process;02;27174182.237600002
01;2014;02;Autre;01;37357387.148600005
01;2014;02;Autre;02;926649015.88
01;2014;02;Autre;04;2242023.187400001
01;2014;02;Bureautique;02;1501563211.79
01;2014;02;Cuisson;01;10240978.070899999
