COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.00119999
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.7148
01;2009;03;01;42865112.447999984
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.43469999
01;2010;01;02;30025422.64039999
01;2010;02;01;17236486.128900003
01;2010;02;02;21974465.785299987
01;2010;03;01;43217455.0193
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.517199999
01;2010;04;02;1804326.0118999984
01;2011;01;01;22200978.817099996
01;2011;01;02;29773009.67940002
01;2011;02;01;17371287.669699993
01;2011;02;02;21783192.667399984
01;2011;03;01;43568889.38200003
01;2011;03;02;68347148.79180002
01;2011;04;01;3123946.482300002
01;2011;04;02;3617656.340299999
01;2012;01;01;22377643.295399994
01;2012;01;02;29521493.078000005
01;2012;02;01;17505568.639800005
01;2012;02;02;21592516.6135
01;2012;03;01;43919319.59149999
01;2012;03;02;67835520.91000003
01;2012;04;01;4748116.1661
01;2012;04;02;5440348.371499999
01;2013;01;01;22553522.85780001
01;2013;01;02;29270866.273899984
01;2013;02;01;17639334.789699987
01;2013;02;02;21402435.6125
01;2013;03;01;44268565.64769999
01;2013;03;02;67325307.16549996
01;2013;04;01;6414390.385799994
01;2013;04;02;7272764.0714
01;2014;01;01;22728623.98769998
01;2014;01;02;29021122.991599992
01;2014;02;01;17772588.352700006
01;2014;02;02;21212948.4421
01;2014;03;01;44616581.82429999
01;2014;03;02;66816556.067099966
01;2014;04;01;8123261.828399997
01;2014;04;02;9115269.11899999
01;2015;01;01;22902950.95789999
01;2015;01;02;28772262.494299993
01;2015;02;01;17905330.410100006
01;2015;02;02;21024051.7039
01;2015;03;01;44963680.757800035
01;2015;03;02;66308952.182699986
01;2015;04;01;9875233.396599997
01;2015;04;02;10968233.194
01;2016;01;01;23059860.845900007
01;2016;01;02;28503702.527099997
01;2016;02;01;18024555.527199987
01;2016;02;02;20820722.466300003
01;2016;03;01;45276093.1919
01;2016;03;02;65756083.4183
01;2016;04;01;9984915.731999988
01;2016;04;02;10858550.860400004
01;2016;05;01;1137431.7973000004
01;2016;05;02;1063510.9157000007
01;2017;01;01;23215760.186400015
01;2017;01;02;28236387.238100003
01;2017;02;01;18143094.335600015
01;2017;02;02;20618262.404799994
01;2017;03;01;45587201.65530001
01;2017;03;02;65205043.014400035
01;2017;04;01;10093501.240800004
01;2017;04;02;10749965.353399998
01;2017;05;01;2294511.1527000032
01;2017;05;02;2124813.456699999
01;2018;01;01;23370661.290500004
01;2018;01;02;27970308.830200005
01;2018;02;01;18260944.5331
01;2018;02;02;20416662.072699986
01;2018;03;01;45896984.996599995
01;2018;03;02;64655833.99659997
01;2018;04;01;10201000.894899994
01;2018;04;02;10642465.70090001
01;2018;05;01;3471309.861900002
01;2018;05;02;3184017.491899999
01;2019;01;01;23524561.128800005
01;2019;01;02;27705474.5182
01;2019;02;01;18378116.9959
01;2019;02;02;20215914.942900002
01;2019;03;01;46205429.91720002
01;2019;03;02;64108453.71420001
01;2019;04;01;10307425.552899998
01;2019;04;02;10536041.045599997
01;2019;05;01;4667901.643300003
01;2019;05;02;4241232.542500001
01;2020;01;01;23677468.446400024
01;2020;01;02;27441864.890799996
01;2020;02;01;18494611.0511
01;2020;02;02;20016023.660699986
01;2020;03;01;46512548.13910002
01;2020;03;02;63562895.98260004
01;2020;04;01;10412785.964299997
01;2020;04;02;10430680.635599997
01;2020;05;01;5884362.181
01;2020;05;02;5296567.874899998
01;2021;01;01;23727814.28889998
01;2021;01;02;27281032.29020001
01;2021;02;01;18532539.7839
01;2021;02;02;19894876.12140001
01;2021;03;01;46615153.30550005
01;2021;03;02;63222338.914900005
01;2021;04;01;10464939.366799997
01;2021;04;02;10378527.23399999
01;2021;05;01;5910845.019000002
01;2021;05;02;5270085.0380000025
01;2021;06;01;1279220.6755999983
01;2021;06;02;1009771.7024999995
01;2022;01;01;23778235.47639999
01;2022;01;02;27120349.384400006
01;2022;02;01;18570556.051599998
01;2022;02;02;19773817.322399996
01;2022;03;01;46718195.049499966
01;2022;03;02;62881820.13470001
01;2022;04;01;10516832.004000004
01;2022;04;02;10326634.597800002
01;2022;05;01;5937195.443800004
01;2022;05;02;5243734.614200002
01;2022;06;01;2573743.2538999966
01;2022;06;02;2022587.9389000006
01;2023;01;01;23828710.304500002
01;2023;01;02;26959827.87969999
01;2023;02;01;18608657.972600006
01;2023;02;02;19652841.404299993
01;2023;03;01;46821700.20600004
01;2023;03;02;62541312.24050003
01;2023;04;01;10568465.177000005
01;2023;04;02;10275001.425499992
01;2023;05;01;5963414.118499998
01;2023;05;02;5217515.940199997
01;2023;06;01;3883689.1871
01;2023;06;02;3038517.3393000006
01;2024;01;01;23879238.694700006
01;2024;01;02;26799466.102599993
01;2024;02;01;18646845.317500003
01;2024;02;02;19531962.360100005
01;2024;03;01;46925582.650199965
01;2024;03;02;62200919.7189
01;2024;04;01;10619840.185200004
01;2024;04;02;10223626.418599995
01;2024;05;01;5989501.697899999
01;2024;05;02;5191428.3619000055
01;2024;06;01;5209180.990099996
01;2024;06;02;4057628.760200002
01;2025;01;01;23929831.54710001
01;2025;01;02;26639267.806199986
01;2025;02;01;18685112.843399998
01;2025;02;02;19411170.554500002
01;2025;03;01;47029794.73359994
01;2025;03;02;61860657.316
01;2025;04;01;10670958.3169
01;2025;04;02;10172508.288000003
01;2025;05;01;6015458.841099999
01;2025;05;02;5165471.219599995
01;2025;06;01;6550342.8337999955
01;2025;06;02;5079991.746599999
01;2026;01;01;23980454.849900015
01;2026;01;02;26479268.832399998
01;2026;02;01;18723463.92779999
01;2026;02;02;19290471.842100006
01;2026;03;01;47134293.6857
01;2026;03;02;61520567.5988
01;2026;04;01;10721820.858399997
01;2026;04;02;10121645.7476
01;2026;05;01;6041286.198800003
01;2026;05;02;5139643.863199994
01;2026;06;01;7907300.230500002
01;2026;06;02;6105676.285599995
