branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.70347614172E7;2.61850906149E7;2.53650531189E7;2.45159659894E7;2.36694852497E7;2.28499209801E7;2.19866640859E7;2.099518083E7;2.0022323104199998E7;1.90564095706E7;1.8222705223899998E7;1.73708231942E7;1.65285868584E7;1.5693681575600002E7;1.48673953387E7;1.4050648995199999E7;1.3235309714599999E7;1.24247767184E7;1.1621322033400001E7;1.08268338035E7;1.0039187289299998E7;9254354.7671;8748766.487000002;8247287.4120000005;7867778.995399999;7505503.542300001;7131058.6913;6962128.4929;6776168.3634;6566835.570799999;6312126.203899999;6511899.712499999;7151003.4522;8035898.7362;8779993.6351;9405933.160899999;9963651.006700002;1.0423849732100002E7;1.07844959445E7;1.0845488661899999E7;1.0863595425999997E7
01;01;01;01;ECS;ECS;1.0;2033374.6695;2560310.2495999997;3087244.8197999997;3614179.39;4141113.9594;4668049.126700001;5194983.994;5654389.7367;6111253.727500001;6567145.3657;7020985.662;7472781.318299999;7882134.5435;8289426.879600001;8694794.6313;9097988.8408;9102711.435199998;9100009.3046;9092679.439100001;9083290.3481;9073312.155100001;9055725.826000001;8974545.965300001;8889702.9558;8809533.596;8730482.6637;8651669.7938;8613958.0231;8574559.4965;8530002.3354;8487905.5703;8342590.1124;8182342.4624;8023779.342600001;7882904.7146000005;7728839.9947;7576977.1961;7546235.3288;7514124.417099999;7482626.005799999;7441790.4121;7382434.9551
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1497872.6525;1448924.6583000002;1400120.706;1351457.2011;1302929.632;1254543.0883999998;1205427.8132;1147995.5002;1091367.7858000002;1035694.8702;987315.7949;938094.0573000001;889287.8994000002;840895.3485000001;792927.1967;745388.9166;698544.6044;652232.8795999999;606944.3379000002;562060.2971;553156.1248000001;601880.6153;641850.9951;680358.6769;718907.3472999999;767703.5638;814569.0893999999;855892.8499;923831.2736;1020072.3501999999;1116544.0577999998;1211641.3062999998;1345529.6701;1517000.2089999998;1694387.1503;1878272.3336000002;2068185.4733000002;2265419.2887999997;2466372.4728999995;2671391.2238999996;2877394.6070999997
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.33480339283E7;1.3881713468E7;1.44136300536E7;1.49436756879E7;1.54719434078E7;1.59984974216E7;1.6523315090499999E7;1.6884469430800002E7;1.7181527189200003E7;1.74843393635E7;1.77392535303E7;1.81004228217E7;1.84064863811E7;1.86782007142E7;1.8940729595E7;1.9154535817900002E7;1.9337041545100003E7;1.94982643778E7;1.9632189453500003E7;1.9707531325400002E7;1.97274329573E7;1.96511762374E7;1.95239605575E7;1.93654782987E7;1.90566702958E7;1.8733811859599996E7;1.83966311293E7;1.804352995E7;1.76974148955E7;1.7330069694399998E7;1.69530986197E7;1.6564676980300002E7;1.61473131E7;1.57391892665E7;1.4943944746599998E7;1.41463013928E7;1.3354487438499998E7;1.2584566662500001E7;1.18219438427E7;1.10714128294E7;1.0328921163E7;9599469.601300001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.4064;5826616.137;5632793.9259;5439785.4906;5247584.648700001;5056185.3104;4865579.206499999;4634906.580700001;4393825.7108;4158629.7749;3929195.3269999996;3729210.5785;3529351.4688;3332640.7011;3139036.7464;2948537.6106000002;2761058.5428;2573951.7471999996;2390154.6938;2209619.6881;2032303.4016999998;1856375.5811;1691262.5198000001;1528113.3558;1366909.3758;1206422.0335;1048159.1783;892095.8673;738206.6663;586465.7584;436845.8102;299024.91559999995;160703.19929999998;18302.7833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371000001;1601042.4224;1548652.7433;1496419.4589;1444342.0372;1392420.0703999999;1340652.9873000002;1286462.5205;1224786.9944;1164153.9323;1107804.6395;1059244.8395;1010571.3598;969360.6152;929416.9392999999;900701.0306;878699.8326999999;860927.4868000001;849189.4784000001;852299.4218;867229.77;896632.0176;932815.279;973793.6172;1051138.9411;1133582.5392;1216669.3454999998;1305018.84;1396358.5332;1486525.5718999999;1576008.5861;1671124.3377;1765845.2084999997;1862866.1086999997;1949647.4780999997;2035265.9339;2116621.496;2190734.1566999997;2258576.2431;2314945.2393;2357204.734;2382089.7909
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841;973082.5863999999;942526.0311;913082.2398000001;882709.0618999999;852428.9792000001;823263.7671;792524.2035;757156.2814;722367.9438;687798.5574;658044.5276;627633.6856;597530.4447;567690.4289;538159.7359999999;508971.562;479806.8059;450801.2445;422050.36669999996;393622.22609999997;365440.8988;337361.73140000005;319795.74569999997;302390.81560000003;290110.833;278548.93590000004;266480.52369999996;262545.16060000006;257915.9587;252343.48390000002;244949.19950000002;255507.3726;283644.26769999997;318706.9766;348208.53419999994;373074.45930000005;395047.79370000004;413172.0755;427309.3642;429616.8704000001;430228.76440000004
01;01;01;02;Chauffage;Chauffage;2.58;1.3195965480000001E8;1.2779249315890001E8;1.2363723022670001E8;1.194725968786E8;1.1533842167469999E8;1.112158759767E8;1.070866100399E8;1.0277953895840001E8;9.787201144980001E7;9.3045461801E7;8.83790137184E7;8.433570584259999E7;8.02557638542E7;7.63709245442E7;7.253904113260001E7;6.898279348629999E7;6.56070950571E7;6.23451900171E7;5.923306352989999E7;5.68054927075E7;5.46420861222E7;5.27946747643E7;5.11366324278E7;4.97889571127E7;4.9367272135900006E7;4.90159649473E7;4.86515724875E7;4.83456860708E7;4.80449595007E7;4.76514637449E7;4.713996935079999E7;4.66044605248E7;4.58245710299E7;4.4617749280499995E7;4.538164549080001E7;4.742900086580001E7;4.9362581519700006E7;5.10902896386E7;5.26516172362E7;5.394996503559999E7;5.49124058951E7;5.54686956275E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.430307681961E8;1.4241327002E8;1.41802134444E8;1.404399773507E8;1.3908398085520002E8;1.377343127391E8;1.363911520094E8;1.349890123649E8;1.331641320882E8;1.312527954099E8;1.2925379565980001E8;1.27165926911E8;1.262044046059E8;1.2530314712689999E8;1.244707308522E8;1.236993117656E8;1.22989429241E8;1.223416301305E8;1.217492158818E8;1.2120519179830001E8;1.207099313714E8;1.2026380795709999E8;1.198703187716E8;1.201044460993E8;1.203303568086E8;1.205479225397E8;1.207570138455E8;1.2096446133659999E8;1.20603141898E8;1.2023396249809998E8;1.198539415148E8;1.1946292554450001E8;1.19060760392E8;1.1925882074900001E8;1.19458278677E8;1.19659146388E8;1.19861437417E8;1.2006356598200001E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505981E7;2.9101891535E7;2.9217071573E7;2.9344358779E7;2.9476241745E7;2.9620578591300003E7;2.97773162548E7;2.95924271275E7;2.92528101716E7;2.89017216052E7;2.85104444622E7;2.77937870055E7;2.7050216624700002E7;2.63144679282E7;2.59455287794E7;2.5601923480800003E7;2.5244761087899998E7;2.39971524652E7;2.27553752297E7;2.18720509289E7;2.07362160688E7;1.9601604112099998E7;1.84898296968E7;1.7547545193E7;1.66159340387E7;1.56757812257E7;1.4699274353600001E7;1.36894256032E7;1.27038088344E7;1.2645355863400001E7;1.2567875612599999E7;1.24922416192E7;1.2385861872700002E7;1.22949505778E7;1.22118962064E7;1.21365072765E7;1.20506007622E7
