branche;occupant;typeRenovationBatiment;typeRenovationSysteme;cible;annee;surface;aides;investissement;prets;pretsBonifies;reglementation
08;05;Etat initial;Chgt systeme_08;0;2050;676745.1314000001;0.0;3.84822236E7;3.84822236E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2049;675396.765;0.0;3.849980283E7;3.849980283E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2048;641237.1566;0.0;4.04718431E7;4.04718431E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2047;639431.5089;0.0;4.044376668E7;4.044376668E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2046;638351.5269;0.0;4.0417280440000005E7;4.0417280440000005E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2045;638929.8650999999;0.0;4.041457968E7;4.041457968E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2044;637036.6214999999;0.0;4.019635717E7;4.019635717E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2043;638326.7477;0.0;4.004706393E7;4.004706393E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2042;491507.93739999994;0.0;2.959682805E7;2.959682805E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2041;489029.3564;0.0;2.931516496E7;2.931516496E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2040;486649.7714;0.0;2.9009185689999998E7;2.9009185689999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2039;486055.9869;0.0;2.881020987E7;2.881020987E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2038;497035.82300000003;0.0;2.9289167820000004E7;2.9289167820000004E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2037;505660.2345;0.0;2.957690525E7;2.957690525E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2036;506116.1298;0.0;2.919827938E7;2.919827938E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2035;506523.3696000001;0.0;2.8733222759999998E7;2.8733222759999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2034;506975.75119999994;0.0;2.808400416E7;2.808400416E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2033;507418.01700000005;0.0;2.768905073E7;2.768905073E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2032;508008.1549000001;0.0;2.722413078E7;2.722413078E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2031;508695.1128;0.0;2.632682614E7;2.632682614E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2030;509105.213;0.0;2.5836066049999997E7;2.5836066049999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2029;499222.6302;0.0;2.433603537E7;2.433603537E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2028;495918.91050000006;0.0;2.316436861E7;2.316436861E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2027;492602.5553;0.0;2.2040467349999998E7;2.2040467349999998E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2026;488112.3693;0.0;1.966984896E7;1.966984896E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2025;486677.2756;0.0;1.612649458E7;1.612649458E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2024;485528.6341;0.0;1.608830088E7;1.608830088E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2023;484356.2694;0.0;1.604951251E7;1.604951251E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2022;483122.92470000003;0.0;1.600865023E7;1.600865023E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2021;481857.7319;0.0;1.5966740059999999E7;1.5966740059999999E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2020;508618.7558;0.0;1.6853558310000002E7;1.6853558310000002E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2019;508561.1999;0.0;1.685155212E7;1.685155212E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2018;508533.11010000005;0.0;1.6850605049999997E7;1.6850605049999997E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2017;505930.92370000004;0.0;1.5594839940000001E7;1.5594839940000001E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2016;505605.77479999996;0.0;1.558482628E7;1.558482628E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2015;543800.144;0.0;1.676209431E7;1.676209431E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2014;544744.5019;0.0;1.67911693E7;1.67911693E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2013;545690.0188000001;0.0;1.682035762E7;1.682035762E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2012;546637.8104999999;0.0;1.684956608E7;1.684956608E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2011;547587.5440999999;0.0;1.687885698E7;1.687885698E7;0.0;non
08;05;Etat initial;Chgt systeme_08;0;2010;548538.2077;0.0;1.6908159430000003E7;1.6908159430000003E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2050;241299.64919999999;0.0;1.4371994300999999E7;1.4371994300999999E7;0.0;non
08;04;Etat initial;Chgt systeme_08;0;2049;240812.87449999998;0.0;1.4394237029E7;1.4394237029E7;0.0;non
