branche;occupation;periodeSimple;energieUsage;usage;usageSimple;facteurEnergiePrimaire;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;Chauffage;Chauffage;1.0;2.788686871E7;2.699917248E7;2.611423287E7;2.523205891E7;2.435262814E7;2.347593254E7;2.2601959490000002E7;2.1691267994200002E7;2.06487409146E7;1.9623908459999997E7;1.86191467963E7;1.77457407379E7;1.689992154E7;1.6061490115699997E7;1.52312375704E7;1.44094971563E7;1.35958699052E7;1.2789560463399999E7;1.1986850415700002E7;1.1191950165800001E7;1.0402706832000002E7;9621371.204;8842087.2378;8087878.2393;7533639.6781;7099929.0381;7003710.602299999;7079871.876799999;7245031.5854;7511469.4189;8010506.2129999995;9001099.357300002;1.0389289616500001E7;1.2607290064399999E7;1.4145504030899996E7;1.5578886762500003E7;1.6893211844699997E7;1.81014941621E7;1.9179759021800008E7;2.00608363626E7;2.06945270075E7;2.1188523500300005E7
01;01;01;01;ECS;ECS;1.0;2033374.6694999998;2560310.2496;3087244.8198;3614179.39;4141113.9594;4668049.1267;5194983.994;5654389.736700001;6111253.7275;6566082.8556;7019922.8484000005;7471580.6366;7880495.4399;8287346.648;8692151.4635;9094780.785899999;9099329.288999999;9096778.3895;9089475.4636;9082440.174600001;9070062.329200001;9053178.455899999;8971040.431;8886025.6523;8806145.873;8726879.455799999;8647759.4643;8609913.480099998;8570304.899999999;8525557.338200001;8483411.3012;8337994.6178;8190802.484099999;8045549.5361;7902505.4835;7758410.149600001;7611333.621099999;7589318.134299999;7567351.4924;7543997.8262;7523503.2938;7502255.705200001
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1546960.747;1497882.6372;1448945.5743999998;1400149.2168999999;1351493.207;1302977.1929000001;1254600.8318999999;1201877.4381000001;1142337.7569000004;1084010.5923999997;1026875.9531;978123.4474999999;928772.8708;879912.4286000001;831538.4642999999;783642.0630000001;736224.7258000001;689277.3675000002;642802.6886000001;596797.7316999998;551257.9857999999;506177.0494999999;461171.9602;417115.1832999999;373114.4357000001;329634.46580000006;286953.0726;244706.8147;202877.43370000005;161459.35040000005;120459.40389999999;83259.46380000001;48679.57679999999;18366.8109;32682.4688;46963.77930000001;61044.78129999999;74923.5033;88463.4253;101491.21249999998;114058.53240000003;125689.29759999999
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1.3348033928299999E7;1.3881716172100002E7;1.44136179164E7;1.49437731889E7;1.54722128767E7;1.5998922122299997E7;1.65239328631E7;1.6885894720600005E7;1.7199697011499997E7;1.75014451814E7;1.7792932376299996E7;1.81539394706E7;1.84969749984E7;1.8809931039499998E7;1.91172717024E7;1.9419004291600004E7;1.97201638085E7;1.99894231884E7;2.0252358361600004E7;2.0471164341600005E7;2.0658254717100002E7;2.0820145452199996E7;2.1015068218E7;2.1206920494499993E7;2.1381133221199997E7;2.1544090531400003E7;2.1672399916199993E7;2.17698214146E7;2.1876190207099993E7;2.1952038078699995E7;2.2019542085900005E7;2.205744424060001E7;2.21072187226E7;2.2157256356599998E7;2.17859111366E7;2.14231748084E7;2.1071149507699996E7;2.0727585976499997E7;2.04133891581E7;2.01093132945E7;1.9819232126200005E7;1.95447304458E7
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;6021258.406399999;5826616.137;5632793.9249;5439785.489600002;5247584.6475;5056185.309199999;4865581.4884;4635016.5012;4389596.8702;4154719.7459;3925644.4157999996;3722181.5543000004;3522773.5926;3326493.0624;3133300.3062000005;2943156.3093000003;2753252.7065;2566679.2600000002;2383405.5971999993;2201168.6836000006;2022496.9422;1847420.6976;1681420.5724;1517701.7442;1356239.2380999997;1197008.448;1051961.1725;908061.3769;765099.4911;632494.3310999998;498672.7037000001;362176.5284;219928.6739;59756.0556;32.2813;32.0856;31.8911;31.6979;31.5057;29.9774;29.7958;29.6152
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1653588.8371;1601049.9002;1548667.5363;1496441.3213;1444370.7701;1392455.4038999998;1340694.7560999999;1282620.7666999998;1218660.7345;1155998.6635;1094655.6695;1041246.1801000001;987042.3048;936618.4357999999;886859.5842;837758.0766000001;789306.2613000001;742994.8110999999;697393.501;663118.8373;631128.6560999999;602413.0630999998;575330.1257999998;549938.5632999999;529185.4119;512788.8705000001;501173.4247;496458.36079999997;495259.9955;503048.7152999999;513342.30449999997;529800.1182;552623.9543;584320.7525;616685.2461999999;648115.2319000001;678951.9152;708525.6025;736382.7269;762226.3282;785791.8520999997;806375.2514999998
01;01;01;02;Auxiliaires;Electricité Spécifique;2.58;1003727.0841000001;971776.7265999998;939925.9037999999;908174.2215;876521.3083999999;844966.7952000002;813510.3226999999;780732.5928;743210.442;706325.2438999999;670165.9778999999;638734.3877;608399.0463999999;578366.211;548631.6996;519202.4748;490064.0596;461213.7857;432473.55730000004;404014.38599999994;375748.36309999996;347767.48219999997;319863.76729999995;292908.98699999996;273511.60219999996;258938.05479999998;257518.2155;263269.2501;272519.78239999997;285592.95369999995;307899.44049999997;349534.1502;406878.8971;497601.9752;558266.7119999999;614810.9148999999;666667.5001000001;714350.2363;756915.1499;791580.6041999998;816620.9133;836086.8641
01;01;01;02;Chauffage;Chauffage;2.58;1.319596548E8;1.278172830347E8;1.236872240826E8;1.1956894700680001E8;1.154626924435E8;1.1136818575829999E8;1.0728424507899998E8;1.027156109223E8;9.767188576339999E7;9.273041423750001E7;8.78901737159E7;8.36832786956E7;7.939411968630001E7;7.522629670580001E7;7.11089204692E7;6.704128772180001E7;6.30221171069E7;5.9170327739700004E7;5.53609873871E7;5.21425562941E7;4.93526314357E7;4.682642849270001E7;4.417022233089999E7;4.155052516040001E7;3.895490738559999E7;3.639212673180001E7;3.3880631837900005E7;3.1484346188E7;2.9122859763100006E7;2.68403397688E7;2.45352086633E7;2.22538741227E7;1.9885774960999995E7;1.7227863063900005E7;1.6721973752699995E7;1.7487839906699993E7;1.8220601051100004E7;1.8879492814699993E7;1.94652325042E7;2.0000099499399997E7;2.04636648457E7;2.0850096685199987E7
01;01;01;02;Climatisation;Climatisation;2.58;1.454163843E8;1.44846879974E8;1.442841592606E8;1.436544903482E8;1.4303076819610003E8;1.4241327002E8;1.41802134444E8;1.4043997735070002E8;1.390839808552E8;1.377343127391E8;1.363911520094E8;1.3505467341189998E8;1.3323040383520001E8;1.313196887109E8;1.2932132146280001E8;1.27234096364E8;1.262732290299E8;1.2537263795089999E8;1.245408996092E8;1.2377017024859999E8;1.23060989484E8;1.2241390429450001E8;1.218214900458E8;1.212774659623E8;1.207822055354E8;1.203360821211E8;1.199394759886E8;1.201736230163E8;1.2039955267159998E8;1.206171363007E8;1.2082624445650001E8;1.210337081766E8;1.2067236023799999E8;1.2030315110509999E8;1.1992309829580002E8;1.1953204996550001E8;1.1912985099200001E8;1.1932791134900002E8;1.19527369277E8;1.1972823698799999E8;1.19930528017E8;1.20134258082E8
01;01;01;02;ECS;ECS;2.58;2.557158052E7;2.6159964393E7;2.6748346257E7;2.7336737031999998E7;2.7925118006E7;2.8513505982E7;2.9101891535999995E7;2.9217071574E7;2.934435878E7;2.9483350082999997E7;2.9627681483E7;2.9784178184999995E7;2.9598700695000004E7;2.9258405756E7;2.8906462205E7;2.8514222783E7;2.779698398E7;2.7056600087E7;2.6324046980999995E7;2.5962443643799998E7;2.56142498836E7;2.52688982964E7;2.40232763641E7;2.27808134566E7;2.18969001814E7;2.0760314194199998E7;1.9624706766999997E7;1.85117416591E7;1.7567699378200002E7;1.6633044886300003E7;1.56931322937E7;1.4709226489999998E7;1.37282584488E7;1.2750990060099998E7;1.2693106121E7;1.2633347310099998E7;1.25744855077E7;1.24821744888E7;1.24019408045E7;1.23214097964E7;1.22610029169E7;1.2206246875100002E7
