COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48;90565331.04
01;2009;01;Chauffage;01;06;498869709.25;338280639.37000006
01;2009;01;Chauffage;03;03;814589684.8200002;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.73
01;2009;01;Chauffage;06;02;762767741.5;701746297.73
01;2009;01;Chauffage;09;02;159082382.29800004;473747327.4900001
01;2009;02;Chauffage;01;01;71553032.59799999;47577082.478999995
01;2009;02;Chauffage;01;06;245149899.17900005;166324909.52999994
01;2009;02;Chauffage;03;03;417804386.959;231002354.58899996
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.6849998
01;2009;02;Chauffage;05;02;19466536.158000004;48368502.415
01;2009;02;Chauffage;06;02;351073185.89000005;322987329.8500001
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.37;376748225.3
01;2009;03;Chauffage;01;06;2339191374.39;1585238968.7800002
01;2009;03;Chauffage;03;03;4083642753.6;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.390001
01;2009;03;Chauffage;05;02;250214205.51000002;621707241.5699999
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131912797.44849999;87676563.50230002
01;2010;01;Chauffage;01;06;483030853.961;327540392.57000005
01;2010;01;Chauffage;03;03;788407654.38;435676984.1171002
01;2010;01;Chauffage;04;04;2340770631.033401;1706172929.8544002
01;2010;01;Chauffage;05;02;38100646.723000005;94668682.82890001
01;2010;01;Chauffage;06;02;744106292.6597;684577708.7438002
01;2010;01;Chauffage;09;02;154030044.361;458701478.7914
01;2010;01;Chauffage;24;04;49976582.080800004;47853400.40590001
01;2010;01;Chauffage;26;02;10076190.963;10076191.160799999
01;2010;02;Chauffage;01;01;69259318.49949999;46051980.11719999
01;2010;02;Chauffage;01;06;237351709.03299996;161034138.2419
01;2010;02;Chauffage;03;03;404354439.83000016;223565773.60659996
01;2010;02;Chauffage;04;04;1257752362.9393;917879146.6595998
01;2010;02;Chauffage;05;02;18843972.218;46821618.96390001
01;2010;02;Chauffage;06;02;352789423.59900004;324566269.93400013
01;2010;02;Chauffage;09;02;112380286.41600002;334668496.39009994
01;2010;02;Chauffage;24;04;22608127.386000004;21688605.497899998
01;2010;02;Chauffage;26;02;4497543.7186;4497544.0688
01;2010;03;Chauffage;01;01;549040668.5612;364586694.5727001
01;2010;03;Chauffage;01;06;2264402797.9136;1534556346.2867005
01;2010;03;Chauffage;03;03;3951451131.2042003;2183332421.9508
01;2010;03;Chauffage;04;04;9938912452.555502;7241586771.593302
01;2010;03;Chauffage;05;02;242213967.07479998;601829063.0069001
01;2010;03;Chauffage;06;02;3972621236.7256;3654811378.0204
01;2010;03;Chauffage;09;02;644330403.4192;1918816081.5920002
01;2010;03;Chauffage;24;04;492610850.615;471111267.7638999
01;2010;03;Chauffage;26;02;46142711.11;46142710.9204
01;2010;04;Chauffage;01;01;6882652.1398;4592990.031099999
01;2010;04;Chauffage;01;06;4944458.7179999985;3349770.4653999996
01;2010;04;Chauffage;03;03;1702179.7476;941482.0812000001
01;2010;04;Chauffage;04;04;43728813.880100004;31909749.681099996
01;2010;04;Chauffage;05;02;4178.764999999999;10382.976999999999
01;2010;04;Chauffage;06;02;7985944.664699998;7347069.490899998
01;2010;04;Chauffage;09;02;718872.5045000002;2140802.3000999996
01;2010;04;Chauffage;21;01;6433821.898;4955329.1944
01;2010;04;Chauffage;21;06;5502370.660700002;4302544.101000001
01;2010;04;Chauffage;23;03;3869803.5648000003;2790843.2229
01;2010;04;Chauffage;24;04;55336875.85649999;53006586.26820002
01;2010;04;Chauffage;26;02;9441136.201399999;9441135.9835
01;2010;04;Chauffage;29;02;272409.23289999994;938504.2929000001
01;2011;01;Chauffage;01;01;127580665.38169996;84797203.80059999
01;2011;01;Chauffage;01;06;467239457.656;316832336.84540004
01;2011;01;Chauffage;03;03;762325326.03;421263398.5013999
01;2011;01;Chauffage;04;04;2333500489.684601;1700966912.4551995
01;2011;01;Chauffage;05;02;36848591.35;91557680.1508
01;2011;01;Chauffage;06;02;726085090.9297;667998316.2194002
01;2011;01;Chauffage;09;02;148992611.41500002;443700023.2894
01;2011;01;Chauffage;24;04;104336555.12700002;99898541.0402
01;2011;01;Chauffage;26;02;19582513.2819;19582513.352500003
01;2011;02;Chauffage;01;01;66973885.75209999;44532385.376
01;2011;02;Chauffage;01;06;229577584.93179998;155759691.25210002
01;2011;02;Chauffage;03;03;390957150.053;216158346.70490006
01;2011;02;Chauffage;04;04;1249255260.1074;911742292.7489998
01;2011;02;Chauffage;05;02;18223555.9;45280070.435899995
01;2011;02;Chauffage;06;02;355243954.2659;326824444.74849993
01;2011;02;Chauffage;09;02;108708201.27199997;323733024.1744
01;2011;02;Chauffage;24;04;46235839.20800001;44355324.6492
01;2011;02;Chauffage;26;02;8866573.5322;8866573.1133
01;2011;03;Chauffage;01;01;530707689.9742;352412912.31210005
01;2011;03;Chauffage;01;06;2189279586.2061005;1483647596.4981
01;2011;03;Chauffage;03;03;3820127752.177;2110768819.4012
01;2011;03;Chauffage;04;04;9607277862.824898;6999938005.773403
01;2011;03;Chauffage;05;02;234240831.7279;582018200.9744
01;2011;03;Chauffage;06;02;3864607839.7985992;3555439114.1834006
01;2011;03;Chauffage;09;02;623170055.6972;1855800577.1642997
01;2011;03;Chauffage;24;04;990736400.7299998;947467889.9318
01;2011;03;Chauffage;26;02;92298853.66259998;92298850.3726
01;2011;04;Chauffage;01;01;15576629.854999997;10394511.845900001
01;2011;04;Chauffage;01;06;8408713.9202;5696317.747699998
01;2011;04;Chauffage;03;03;2120674.071999999;1173411.6935
01;2011;04;Chauffage;04;04;84468586.07549997;61639102.8736
01;2011;04;Chauffage;05;02;35915.636399999996;89239.5828
01;2011;04;Chauffage;06;02;17281208.0397;15898710.9765
01;2011;04;Chauffage;09;02;1928949.8817000012;5744412.515799998
01;2011;04;Chauffage;21;01;14521924.5104;11184183.7376
01;2011;04;Chauffage;21;06;9514224.540800003;7439136.855200002
01;2011;04;Chauffage;23;03;5388073.690999999;3887132.662900001
01;2011;04;Chauffage;24;04;111938558.40390003;107222981.25540005
01;2011;04;Chauffage;26;02;20439905.901100002;20439905.902799997
01;2011;04;Chauffage;29;02;734362.3817;2530025.2284999997
01;2012;01;Chauffage;01;01;123262555.78539999;81927156.7102
01;2012;01;Chauffage;01;06;451494229.57600003;306155588.67239994
01;2012;01;Chauffage;03;03;736341875.5999997;406904566.4899
01;2012;01;Chauffage;04;04;2309422640.6518;1683513504.1386998
01;2012;01;Chauffage;05;02;35600663.577999994;88456963.29040001
01;2012;01;Chauffage;06;02;708070289.3721999;651424699.8516
01;2012;01;Chauffage;09;02;143970054.22399998;428742833.94669986
01;2012;01;Chauffage;24;04;171372430.78039998;164039055.35100007
01;2012;01;Chauffage;26;02;29104714.685200002;29104714.598800004
01;2012;02;Chauffage;01;01;64696652.1746;43018235.456500016
01;2012;02;Chauffage;01;06;221827260.17119998;150501395.14859998
01;2012;02;Chauffage;03;03;377612256.0179999;208779875.10769996
01;2012;02;Chauffage;04;04;1237224311.5939004;903023597.8731998
01;2012;02;Chauffage;05;02;17605277.062000003;43743832.023
01;2012;02;Chauffage;06;02;356367136.8496;327857773.629
01;2012;02;Chauffage;09;02;105046720.07500002;312829110.7285
01;2012;02;Chauffage;24;04;71417386.918;68512696.34409998
01;2012;02;Chauffage;26;02;15474796.2178;15474795.576699998
01;2012;03;Chauffage;01;01;512317736.60849994;340201231.3102
01;2012;03;Chauffage;01;06;2114044732.3333;1432663339.3453
01;2012;03;Chauffage;03;03;3688744214.8456993;2038171401.6882007
01;2012;03;Chauffage;04;04;9276202370.185602;6758694356.6976
01;2012;03;Chauffage;05;02;226294459.02759996;562273846.7258
01;2012;03;Chauffage;06;02;3741404785.3112006;3442092383.8796997
01;2012;03;Chauffage;09;02;602066710.7448002;1792954658.4596
