COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199987
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.43469999
01;2010;01;02;30025422.640399974
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.78529999
01;2010;03;01;43217455.01929999
01;2010;03;02;68860015.90799993
01;2010;04;01;1541398.5233999998
01;2010;04;02;1804326.0203000002
01;2011;01;01;22200981.220200013
01;2011;01;02;29773015.975600015
01;2011;02;01;17371278.730699997
01;2011;02;02;21783208.40799998
01;2011;03;01;43568994.03920003
01;2011;03;02;68347066.63640009
01;2011;04;01;3123946.380999998
01;2011;04;02;3617656.2226000023
01;2012;01;01;22377649.479599986
01;2012;01;02;29521504.75639998
01;2012;02;01;17505540.637100004
01;2012;02;02;21592563.108199988
01;2012;03;01;43919706.240100004
01;2012;03;02;67835173.05840003
01;2012;04;01;4748116.321599997
01;2012;04;02;5440348.555500002
01;2013;01;01;22553529.50850001
01;2013;01;02;29270889.529199995
01;2013;02;01;17639280.052299988
01;2013;02;02;21402521.578299996
01;2013;03;01;44269572.72699997
01;2013;03;02;67324351.06220001
01;2013;04;01;6414391.1073
01;2013;04;02;7272764.915700002
01;2014;01;01;22728631.56060001
01;2014;01;02;29021159.880599994
01;2014;02;01;17772500.3548
01;2014;02;02;21213078.987699993
01;2014;03;01;44618611.14559998
01;2014;03;02;66814595.48020003
01;2014;04;01;8123263.415700005
01;2014;04;02;9115270.959
01;2015;01;01;22902959.320999995
01;2015;01;02;28772311.9741
01;2015;02;01;17905080.461200003
01;2015;02;02;21024357.020600006
01;2015;03;01;44966823.683900006
01;2015;03;02;66305886.25029997
01;2015;04;01;9875236.262199992
01;2015;04;02;10968236.486000003
01;2016;01;01;23059878.9147
01;2016;01;02;28503773.39429998
01;2016;02;01;18024147.70620001
01;2016;02;02;20821201.24780002
01;2016;03;01;45281496.92380004
01;2016;03;02;65750763.5861
01;2016;04;01;9984918.62959999
01;2016;04;02;10858554.119799996
01;2016;05;01;1137432.8317999996
01;2016;05;02;1063511.8831000002
01;2017;01;01;23215804.79530001
01;2017;01;02;28236467.655999996
01;2017;02;01;18142523.766900007
01;2017;02;02;20618912.4052
01;2017;03;01;45594821.82849999
01;2017;03;02;65197522.78209998
01;2017;04;01;10093504.171800002
01;2017;04;02;10749968.5782
01;2017;05;01;2294513.5087000015
01;2017;05;02;2124815.6405000007
01;2018;01;01;23370736.743199997
01;2018;01;02;27970396.01689999
01;2018;02;01;18259747.570800014
01;2018;02;02;20417958.709300004
01;2018;03;01;45906654.357200004
01;2018;03;02;64646278.521800004
01;2018;04;01;10201003.858199997
01;2018;04;02;10642468.894099992
01;2018;05;01;3471313.8615999958
01;2018;05;02;3184021.1656000027
01;2019;01;01;23524676.127200026
01;2019;01;02;27705555.403699998
01;2019;02;01;18376295.383399993
01;2019;02;02;20217859.518700007
01;2019;03;01;46217077.20160001
01;2019;03;02;64096939.78210002
01;2019;04;01;10307428.549500015
01;2019;04;02;10536044.205400007
01;2019;05;01;4667907.668899998
01;2019;05;02;4241238.043800007
01;2020;01;01;23677601.722600017
01;2020;01;02;27441966.125799976
01;2020;02;01;18492167.923100024
01;2020;02;02;20018612.542299997
01;2020;03;01;46525076.967
01;2020;03;02;63550520.598500006
01;2020;04;01;10412788.992100006
01;2020;04;02;10430683.764000002
01;2020;05;01;5884370.590899995
01;2020;05;02;5296575.496800001
01;2021;01;01;23727986.670800004
01;2021;01;02;27281153.20440002
01;2021;02;01;18529798.2693
01;2021;02;02;19897786.0304
01;2021;03;01;46627570.9595
01;2021;03;02;63210098.72010004
01;2021;04;01;10464942.411499994
01;2021;04;02;10378530.345799992
01;2021;05;01;5910853.470000003
01;2021;05;02;5270092.618199999
01;2021;06;01;1151301.4255999995
01;2021;06;02;908796.7565000003
01;2022;01;01;23778435.502200004
01;2022;01;02;27120515.625500005
01;2022;02;01;18567528.651000008
01;2022;02;02;19777044.036800005
01;2022;03;01;46728878.18289998
01;2022;03;02;62871353.74339996
01;2022;04;01;10516835.061799997
01;2022;04;02;10326637.69630001
01;2022;05;01;5937203.932999995
01;2022;05;02;5243742.1558000045
01;2022;06;01;2315237.8788000005
01;2022;06;02;1819436.3139999984
01;2023;01;01;23828907.69029999
01;2023;01;02;26960093.0566
01;2023;02;01;18605351.797300015
01;2023;02;02;19656381.115900014
01;2023;03;01;46830128.82259999
01;2023;03;02;62533162.14969999
01;2023;04;01;10568468.248699995
01;2023;04;02;10275004.5105
01;2023;05;01;5963422.6453000065
01;2023;05;02;5217523.444400004
01;2023;06;01;3491895.0165999965
01;2023;06;02;2731969.7994000013
01;2024;01;01;23879396.574200004
01;2024;01;02;26799882.265300024
01;2024;02;01;18643267.126800008
01;2024;02;02;19535807.827999994
01;2024;03;01;46931352.4883
01;2024;03;02;62195495.49440002
01;2024;04;01;10619843.270700008
01;2024;04;02;10223629.489799993
01;2024;05;01;5989510.262800009
01;2024;05;02;5191435.827600001
01;2024;06;01;4681359.5666000005
01;2024;06;02;3646448.7294999994
01;2025;01;01;23929894.355200004
01;2025;01;02;26639899.84109999
01;2025;02;01;18681272.041000005
01;2025;02;02;19415324.887399998
01;2025;03;01;47032608.965799995
01;2025;03;02;61858307.13879999
01;2025;04;01;10670961.419199998
01;2025;04;02;10172511.342400009
01;2025;05;01;6015467.441899997
01;2025;05;02;5165478.649700002
01;2025;06;01;5883718.943599998
01;2025;06;02;4562924.700099995
01;2026;01;01;23980401.025700007
01;2026;01;02;26480141.114900008
01;2026;02;01;18719355.905500013
01;2026;02;02;19294938.745399993
01;2026;03;01;47133848.55469998
01;2026;03;02;61521607.80150001
01;2026;04;01;10721823.978100002
01;2026;04;02;10121648.7844
01;2026;05;01;6041294.8341999985
01;2026;05;02;5139651.2581
01;2026;06;01;7099061.756200001
01;2026;06;02;5481449.785199999
01;2027;01;01;24030832.681599997
01;2027;01;02;26320686.03090001
01;2027;02;01;18757528.17149998
01;2027;02;02;19174647.0052
01;2027;03;01;47234990.46249999
01;2027;03;02;61185494.363299996
01;2027;04;01;10772432.2209
01;2027;04;02;10071040.5428
01;2027;05;01;6066993.089900003
01;2027;05;02;5113953.003400005
01;2027;06;01;8327477.365799991
01;2027;06;02;6402076.194899999
01;2028;01;01;24081177.00350001
01;2028;01;02;26161527.611400004
01;2028;02;01;18795778.864599995
01;2028;02;02;19054451.767599996
01;2028;03;01;47335224.317400016
01;2028;03;02;60850760.63820001
01;2028;04;01;10822787.422200002
01;2028;04;02;10020685.342699999
01;2028;05;01;6092562.856099998
01;2028;05;02;5088383.2382
01;2028;06;01;9569056.033200003
01;2028;06;02;7324856.377700005
01;2029;01;01;24131406.80909998
01;2029;01;02;26002711.601299994
01;2029;02;01;18834094.410999995
01;2029;02;02;18934366.83049999
01;2029;03;01;47434692.38070001
01;2029;03;02;60517261.105
01;2029;04;01;10872890.849900015
01;2029;04;02;9970581.9157
01;2029;05;01;6118004.774100002
01;2029;05;02;5062941.3215000015
01;2029;06;01;10823888.955199996
01;2029;06;02;8249843.047599998
01;2030;01;01;24181508.49289999
01;2030;01;02;25844237.84919999
01;2030;02;01;18872482.850100003
01;2030;02;02;18814384.54169999
01;2030;03;01;47533389.29389997
01;2030;03;02;60184997.40789999
01;2030;04;01;10922743.761099994
01;2030;04;02;9920729.005000005
01;2030;05;01;6143319.479599999
01;2030;05;02;5037626.616899997
01;2030;06;01;12092068.389199995
01;2030;06;02;9177089.291499998
01;2031;01;01;24170124.575699985
01;2031;01;02;25747465.207899984
01;2031;02;01;18863405.008899998
01;2031;02;02;18742045.203600004
01;2031;03;01;47510806.6744
01;2031;03;02;59974391.21349999
01;2031;04;01;10942585.219100006
01;2031;04;02;9900887.547200006
01;2031;05;01;6153394.732900005
01;2031;05;02;5027551.364200003
01;2031;06;01;12110422.5666
01;2031;06;02;9158735.115900002
01;2031;07;01;898778.1951999997
01;2031;07;02;648461.5363999993
01;2032;01;01;24158879.832700018
01;2032;01;02;25650790.251799975
01;2032;02;01;18854504.73140002
01;2032;02;02;18669704.08259999
01;2032;03;01;47488241.169900015
01;2032;03;02;59764271.80469998
01;2032;04;01;10962386.994200008
01;2032;04;02;9881085.772699995
01;2032;05;01;6163449.834699995
01;2032;05;02;5017496.262699998
01;2032;06;01;12128740.034099992
01;2032;06;02;9140417.649399996
01;2032;07;01;1802916.7128999988
01;2032;07;02;1298557.8635000007
01;2033;01;01;24147756.73219999
01;2033;01;02;25554194.379200004
01;2033;02;01;18845774.236599986
01;2033;02;02;18597366.6015
01;2033;03;01;47465751.64969994
01;2033;03;02;59554519.90809999
01;2033;04;01;10982149.165200006
01;2033;04;02;9861323.6021
01;2033;05;01;6173484.829000002
01;2033;05;02;5007461.268700005
01;2033;06;01;12147020.871399999
01;2033;06;02;9122136.81259999
01;2033;07;01;2712447.3458000007
01;2033;07;02;1950306.2866999982
01;2034;01;01;24136725.798299994
01;2034;01;02;25457731.89859999
01;2034;02;01;18837213.008800004
01;2034;02;02;18525025.528900012
01;2034;03;01;47443332.65130003
01;2034;03;02;59345141.63340001
01;2034;04;01;11001871.8132
01;2034;04;02;9841600.954499992
01;2034;05;01;6183499.752299992
01;2034;05;02;4997446.345800004
01;2034;06;01;12165265.1454
01;2034;06;02;9103892.539199991
01;2034;07;01;3627401.8232000005
01;2034;07;02;2603724.0125000007
01;2035;01;01;24125781.212100018
01;2035;01;02;25361402.50050001
01;2035;02;01;18828821.88280001
01;2035;02;02;18452689.5903
01;2035;03;01;47420965.161299996
01;2035;03;02;59136154.69970001
01;2035;04;01;11021555.016800005
01;2035;04;02;9821917.751599995
01;2035;05;01;6193494.644200004
01;2035;05;02;4987451.454400005
01;2035;06;01;12183472.933999993
01;2035;06;02;9085684.751399994
01;2035;07;01;4547812.107300001
01;2035;07;02;3258828.3550000004
01;2036;01;01;24114925.654800016
01;2036;01;02;25265216.199200004
01;2036;02;01;18820596.856400017
01;2036;02;02;18380360.209600005
01;2036;03;01;47398992.87229995
01;2036;03;02;58927499.45469996
01;2036;04;01;11041198.853300003
01;2036;04;02;9802273.915800003
01;2036;05;01;6203469.547600001
01;2036;05;02;4977476.551199999
01;2036;06;01;12201644.303199992
01;2036;06;02;9067513.3826
01;2036;07;01;5473710.4434
01;2036;07;02;3915636.7711000023
01;2037;01;01;24104088.45620001
01;2037;01;02;25169204.37200001
01;2037;02;01;18812531.5354
01;2037;02;02;18308028.8229
01;2037;03;01;47378685.2467
01;2037;03;02;58719319.56979995
01;2037;04;01;11060803.401400007
01;2037;04;02;9782669.368000003
01;2037;05;01;6213424.502799999
01;2037;05;02;4967521.596500004
01;2037;06;01;12219779.329000002
01;2037;06;02;9049378.357900001
01;2037;07;01;6405130.327499998
01;2037;07;02;4574167.555699997
01;2038;01;01;24093255.7142
01;2038;01;02;25073358.98299999
01;2038;02;01;18804623.950800017
01;2038;02;02;18235704.1594
01;2038;03;01;47359511.49390001
01;2038;03;02;58511306.48949997
01;2038;04;01;11080368.738899998
01;2038;04;02;9763104.031200007
01;2038;05;01;6223359.547900002
01;2038;05;02;4957586.551699998
01;2038;06;01;12237878.085799994
01;2038;06;02;9031279.601899998
01;2038;07;01;7342110.3603
01;2038;07;02;5234442.637500004
01;2039;01;01;24082483.705400005
01;2039;01;02;24977661.11289999
01;2039;02;01;18796872.216799993
01;2039;02;02;18163380.261300005
01;2039;03;01;47337821.23509996
01;2039;03;02;58303541.8311
01;2039;04;01;11099894.948100008
01;2039;04;02;9743577.8226
01;2039;05;01;6233274.719600002
01;2039;05;02;4947671.3802
01;2039;06;01;12255940.645000001
01;2039;06;02;9013217.043300005
01;2039;07;01;8284686.354700002
01;2039;07;02;5896481.843900001
01;2040;01;01;24071694.8487
01;2040;01;02;24882095.031200003
01;2040;02;01;18789251.41549999
01;2040;02;02;18091063.987800002
01;2040;03;01;47320624.56520001
01;2040;03;02;58095959.858199954
01;2040;04;01;11119382.10149999
01;2040;04;02;9724090.67
01;2040;05;01;6243170.060600004
01;2040;05;02;4937776.039500001
01;2040;06;01;12273967.082199998
01;2040;06;02;8995190.607299995
01;2040;07;01;9232881.600200003
01;2040;07;02;6560295.910799997
01;2041;01;01;24060951.6831
01;2041;01;02;24786670.61349998
01;2041;02;01;18781747.862400018
01;2041;02;02;18018727.719999995
01;2041;03;01;47300127.19480006
01;2041;03;02;57888614.28219999
01;2041;04;01;11138830.280500002
01;2041;04;02;9704642.491800003
01;2041;05;01;6253045.615299998
01;2041;05;02;4927900.485200001
01;2041;06;01;12291957.4622
01;2041;06;02;8977200.228000002
01;2041;07;01;9246002.194499996
01;2041;07;02;6547175.317600003
01;2041;08;01;940741.7912999995
01;2041;08;02;678737.9478999999
01;2042;01;01;24051668.5764
01;2042;01;02;24693127.061300006
01;2042;02;01;18775063.23550001
01;2042;02;02;17946749.744199995
01;2042;03;01;47312493.88839999
01;2042;03;02;57695324.61499997
01;2042;04;01;11158239.557300005
01;2042;04;02;9685233.215900011
01;2042;05;01;6262901.417200001
01;2042;05;02;4918044.683799999
01;2042;06;01;12309911.86259999
01;2042;06;02;8959245.828400007
01;2042;07;01;9259096.54669999
01;2042;07;02;6534080.966200009
01;2042;08;01;1887197.7921000011
01;2042;08;02;1359261.7707999987
01;2043;01;01;24043098.917699974
01;2043;01;02;24601016.71719999
01;2043;02;01;18768100.302199997
01;2043;02;02;17874819.253299996
01;2043;03;01;47297052.38980003
01;2043;03;02;57494734.53349999
01;2043;04;01;11177610.003500005
01;2043;04;02;9665862.748199996
01;2043;05;01;6272737.505600003
01;2043;05;02;4908208.595499997
01;2043;06;01;12327830.354499998
01;2043;06;02;8941327.337199997
01;2043;07;01;9272164.709
01;2043;07;02;6521012.8041
01;2043;08;01;2839584.404800001
01;2043;08;02;2041721.4482000002
01;2044;01;01;24034322.75880001
01;2044;01;02;24509231.969200008
01;2044;02;01;18761001.888199996
01;2044;02;02;17803167.575700026
01;2044;03;01;47279377.269799985
01;2044;03;02;57292764.20649997
01;2044;04;01;11196941.696500005
01;2044;04;02;9646531.075399999
01;2044;05;01;6282553.923899997
01;2044;05;02;4898392.177999999
01;2044;06;01;12345713.0108
01;2044;06;02;8923444.681299988
01;2044;07;01;9285206.735900007
01;2044;07;02;6507970.778199995
01;2044;08;01;3797813.917899999
01;2044;08;02;2726047.035899998
01;2045;01;01;24025315.198099986
01;2045;01;02;24417758.355400007
01;2045;02;01;18753759.481399994
01;2045;02;02;17731807.4493
01;2045;03;01;47259958.823099956
01;2045;03;02;57092029.012000024
01;2045;04;01;11216234.7003
01;2045;04;02;9627238.07569999
01;2045;05;01;6292350.708099995
01;2045;05;02;4888595.393999997
01;2045;06;01;12363559.901399996
01;2045;06;02;8905597.790899994
01;2045;07;01;9298222.680500003
01;2045;07;02;6494954.833899996
01;2045;08;01;4761905.819699998
01;2045;08;02;3412246.1729000034
01;2046;01;01;24018409.158999994
01;2046;01;02;24327501.821099985
01;2046;02;01;18748287.374099996
01;2046;02;02;17661475.46800001
01;2046;03;01;47240764.30600001
01;2046;03;02;56891869.076700024
01;2046;04;01;11235489.087200003
01;2046;04;02;9607983.684999999
01;2046;05;01;6302127.899500001
01;2046;05;02;4878818.2026999965
01;2046;06;01;12381371.097499996
01;2046;06;02;8887786.596100006
01;2046;07;01;9311212.591799993
01;2046;07;02;6481964.923299997
01;2046;08;01;5731891.012499998
01;2046;08;02;4100334.6966000022
01;2047;01;01;24011172.488500006
01;2047;01;02;24237485.1077
01;2047;02;01;18742597.298299998
01;2047;02;02;17591363.348000005
01;2047;03;01;47221332.637999944
01;2047;03;02;56692210.901799984
01;2047;04;01;11254704.941399997
01;2047;04;02;9588767.837499993
01;2047;05;01;6311885.537100002
01;2047;05;02;4869060.565600005
01;2047;06;01;12399146.670900002
01;2047;06;02;8870011.023699999
01;2047;07;01;9324176.522000005
01;2047;07;02;6469000.993900006
01;2047;08;01;6707826.1595
01;2047;08;02;4790346.989200002
01;2048;01;01;24003620.980600007
01;2048;01;02;24147740.33759999
01;2048;02;01;18736716.63669999
01;2048;02;02;17521471.383499995
01;2048;03;01;47201641.05959999
01;2048;03;02;56492445.28929999
01;2048;04;01;11273882.293399997
01;2048;04;02;9569590.513700008
01;2048;05;01;6321623.655299997
01;2048;05;02;4859322.4475
01;2048;06;01;12416886.690400006
01;2048;06;02;8852271.005299997
01;2048;07;01;9337114.529099988
01;2048;07;02;6456062.988200001
01;2048;08;01;7689744.242500001
01;2048;08;02;5482300.223599997
01;2049;01;01;23995464.773599993
01;2049;01;02;24057904.867100015
