branche;occupation;periodeSimple;energieChauffage;annee2009;annee2010;annee2011;annee2012;annee2013;annee2014;annee2015;annee2016;annee2017;annee2018;annee2019;annee2020;annee2021;annee2022;annee2023;annee2024;annee2025;annee2026;annee2027;annee2028;annee2029;annee2030;annee2031;annee2032;annee2033;annee2034;annee2035;annee2036;annee2037;annee2038;annee2039;annee2040;annee2041;annee2042;annee2043;annee2044;annee2045;annee2046;annee2047;annee2048;annee2049;annee2050
01;01;01;01;274429.2352;265729.9949;257055.23929999996;248404.91720000003;239778.9745;231177.3583;222600.01690000002;213892.56309999997;205221.40239999996;196586.69069999998;187994.943;179439.4114;171132.4894;162860.2117;154622.9649;146420.3634;138252.6912;130118.4938;121993.64400000001;113903.0178;105832.35509999999;97794.8291;89795.5031;81957.7653;75962.42850000001;71152.0644;69210.36600000001;68583.16029999999;68498.7904;69283.7868;72008.1652;79432.7677;89821.5324;101622.02709999999;120892.61699999998;138957.84790000002;155656.11;171068.2328;184922.85079999996;196234.3677;204362.699;210905.7897
01;01;01;02;3091525.3322;2993815.8244999996;2896389.4333999995;2799237.435;2702351.3638000004;2605738.585;2509388.7015000004;2411570.8171999995;2314163.8022;2217166.3377;2120515.0151;2024270.7721000002;1928219.9632999997;1839260.9888000004;1750691.6774;1662510.5188000002;1574716.5713;1487324.8979;1400828.0377999998;1325529.0573999998;1257948.5451;1196610.3542;1138936.77;1081411.9760000003;1026461.0111000001;973124.7877;925962.9764;886304.1169;849730.1281;821594.4363000001;792959.9846000001;768677.3268;743708.8732;717534.4476000001;767550.0124;816290.5149000001;863485.9239;908904.4593999999;951925.9396000002;992651.4676999999;1031054.7557999999;1065769.2524
01;01;01;03;1317058.389;1275308.4367;1233675.9928;1192160.8115;1150762.634;1109481.2054;1068316.2781;1026526.9075;984913.0843;943474.2453000001;902226.2987;861135.7057;820218.4101;779473.8614999999;738901.5046999999;698500.783;658271.1428;618212.0384;578322.9187;538603.2338;499052.4425;459669.9958;420455.35589999997;381407.9771;342527.32050000003;303812.85329999996;265264.0295;226880.33089999997;188661.1909;150606.1088;112714.5451;74985.97170000001;37419.8566;15.6756;15.6417;15.6079;15.5742;15.5406;15.507;15.4735;15.4401;15.4068
01;01;01;04;3620653.141;3769409.8864000007;3917722.5815;4065600.2983999993;4213051.870899999;4360070.2958;4506666.3224;4649476.2353;4791648.177399999;4933184.2257;5074125.3368999995;5214450.1083;5354142.7162999995;5486521.1838;5618291.385199999;5749446.5261;5879998.666299999;6009930.8856999995;6138771.9841;6256190.715700002;6365684.613600001;6468718.207400001;6567853.1164;6666497.147999998;6760542.6753;6851607.377199999;6933443.510100001;7006286.8432;7075311.321500001;7134831.960399999;7192739.327399998;7240516.5331999995;7285120.6303;7328930.0241;7238192.692;7149952.250600001;7064680.582600001;6982526.5263;6904400.2615;6831253.790000001;6763590.612199999;6701440.1819
01;01;01;06;414923.19060000003;401770.37720000005;388654.583;375575.73120000004;362533.73990000004;349528.5291000001;336560.0203999999;323394.7887;310284.86100000003;297230.05980000005;284230.2069;271285.12779999996;258394.6439;245558.5819;232776.76679999998;220049.02279999998;207374.28989999997;194753.29280000002;182185.9136;169671.9987;157211.522;144804.1289;132450.40629999997;120148.38179999999;107898.06589999999;95698.51439999999;83555.33059999999;71463.2097;59419.44879999999;47429.066;35491.770599999996;24491.6346;14256.0779;4728.362000000001;8888.8451;13064.555;17204.5137;21322.604700000004;25392.128500000003;29349.527000000002;33360.039;37163.9457
01;01;02;01;164852.8561;159627.12050000002;154416.0929;149219.7431;144038.03830000001;138870.9465;133718.4371;128487.7678;123279.071;118092.2765;112930.70980000001;107811.6697;102796.6447;97803.50920000001;92829.6102;87877.6938;82945.7156;78036.543;73147.1626;68278.6764;63431.7398;58604.5012;53796.904500000004;49010.7512;44245.1888;39497.11290000001;34770.6459;30067.623100000004;25381.1281;22283.0651;21158.5005;22824.811799999996;25861.2082;29034.4008;39100.8448;48498.092599999996;57200.0233;65049.1637;71974.8046;77917.5951;80449.12389999999;82534.53379999999
01;01;02;02;2704966.9641000004;2651914.7328;2606327.9339;2564157.7437;2516919.4379;2464221.6818;2393576.6797;2307451.749;2221686.7490999997;2136282.4401000002;2051208.6145000001;1966470.5363999996;1882006.7694;1797899.5023;1714145.841;1636834.3791999999;1564723.4355000001;1496218.4533000002;1429191.6082000001;1371058.1278000001;1320358.5836999998;1273187.7247000001;1223849.4426000002;1173355.1923;1123739.7684000002;1073389.5379;1024659.7128000001;976547.7472999999;930187.5247;882663.5538999999;835595.6523;787584.854;738644.7529;694762.1213;697058.47;690991.8364;680328.3291;672602.9826;667310.0949;676967.0114;696841.4918;713787.5490000001
01;01;02;03;998485.8363;966834.4409;935272.1304;903798.719;872414.0103;841117.8111;810719.6065999999;803148.4535000001;794722.1245;782525.4764;769384.0351;752518.9928;732066.0691999999;710673.7312;687272.1132;661011.8262;631010.7331999999;600547.6872999999;570204.7417;539913.8159;509646.2509;479507.0521999999;449496.826;419613.11030000006;389869.8733;360253.49049999996;330763.1555;301420.2622;272353.77290000004;243649.5636;215614.9009;187965.56299999997;160542.10629999998;133239.9136;134428.7358;135385.3541;136070.2569;136464.1076;136750.91610000003;135885.66019999998;113452.7943;91835.4236
01;01;02;04;2774366.834;2862992.7992;2944038.7356;3021554.5819999995;3104025.3335000006;3191842.4600999993;3296684.2970000003;3389464.4238;3482711.308;3579342.3774999995;3676558.3567999997;3777114.0781;3880875.3418999994;3985193.2197000002;4091141.7896999996;4193481.7638999997;4294337.315200001;4392023.9410999995;4488088.557;4575182.927300001;4654793.457900001;4730725.9359;4808669.643499999;4887620.2711;4965527.473800001;5044017.2944;5120737.4333999995;5196667.6866999995;5270539.3535;5343622.8025;5412483.935;5477140.868899999;5540232.8425;5597940.8634;5565390.4235;5542058.4520000005;5524342.4103999995;5504902.865;5484157.686400001;5450878.365299999;5432765.4162;5417626.3182
01;01;02;06;273040.8814;264385.65119999996;255754.7817;247148.22199999998;238565.9183;230007.8181;221473.87;212810.4676;204182.5717;195591.87570000003;187037.33810000002;178518.8445;170036.27719999998;161589.52199999997;153177.4692;144802.04739999998;136462.0924;128157.49109999998;119888.1293;111653.8926;103454.6689;95289.39240000001;87158.9409;79064.2522;71003.1805;62976.6994;54983.6678;47025.2313;39098.4627;31210.2841;24465.1386;19711.1348;15881.5529;12185.8475;17215.5936;22321.4324;27405.3597;32448.5105;37425.3632;42151.383200000004;46502.1918;50467.9783
