COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_SYSTEME_CHAUD;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Chauffage;01;01;136259096.48000002;90565331.04
01;2009;01;Chauffage;01;06;498869709.25;338280639.37
01;2009;01;Chauffage;03;03;814589684.8199999;450145664.81
01;2009;01;Chauffage;04;04;2342096018.99;1707036292.26
01;2009;01;Chauffage;05;02;39356867.283;97790017.72999999
01;2009;01;Chauffage;06;02;762767741.5000001;701746297.73
01;2009;01;Chauffage;09;02;159082382.29799998;473747327.48999995
01;2009;02;Chauffage;01;01;71553032.59799999;47577082.478999995
01;2009;02;Chauffage;01;06;245149899.179;166324909.53
01;2009;02;Chauffage;03;03;417804386.95899993;231002354.589
01;2009;02;Chauffage;04;04;1264052839.7649999;922410009.685
01;2009;02;Chauffage;05;02;19466536.158;48368502.415
01;2009;02;Chauffage;06;02;351073185.89;322987329.85
01;2009;02;Chauffage;09;02;116062995.342;345635612.977
01;2009;03;Chauffage;01;01;567355163.3699999;376748225.3000001
01;2009;03;Chauffage;01;06;2339191374.3900003;1585238968.78
01;2009;03;Chauffage;03;03;4083642753.6000004;2256376395.88
01;2009;03;Chauffage;04;04;10259848207.18;7475452168.39
01;2009;03;Chauffage;05;02;250214205.51;621707241.5699999
01;2009;03;Chauffage;06;02;4079614545.6000004;3753245456
01;2009;03;Chauffage;09;02;665550669.98;1982009662.36
01;2010;01;Chauffage;01;01;131913147.75999999;87676800.2295
01;2010;01;Chauffage;01;06;483031976.25;327541154.5041
01;2010;01;Chauffage;03;03;788407654.38;435676984.1171
01;2010;01;Chauffage;04;04;2366532726.0216002;1724974708.6220002
01;2010;01;Chauffage;05;02;38100593.9142;94668552.46319999
01;2010;01;Chauffage;06;02;746039270.7191;686356048.6775
01;2010;01;Chauffage;09;02;154030044.361;458701478.7914
01;2010;01;Chauffage;24;04;30276913.535000004;29031137.164300002
01;2010;01;Chauffage;26;02;8323933.1110000005;8323933.0537
01;2010;02;Chauffage;01;01;69259454.8055;46052070.5983
01;2010;02;Chauffage;01;06;237351763.79760003;161034172.05089998
01;2010;02;Chauffage;03;03;404354439.83;223565773.6066
01;2010;02;Chauffage;04;04;1254491043.7490997;915502379.5658998
01;2010;02;Chauffage;05;02;18843895.6759;46821427.425699994
01;2010;02;Chauffage;06;02;357945604.3621;329309956.6147
01;2010;02;Chauffage;09;02;112380286.41600001;334668496.3901
01;2010;02;Chauffage;24;04;20367976.998;19539569.2123
01;2010;02;Chauffage;26;02;4281674.469199999;4281674.631
01;2010;03;Chauffage;01;01;548586126.4454;364284366.0646
01;2010;03;Chauffage;01;06;2263142021.1713996;1533704620.0934
01;2010;03;Chauffage;03;03;3948205223.8251;2181533538.7831
01;2010;03;Chauffage;04;04;10088404600.0271;7350667316.003399
01;2010;03;Chauffage;05;02;242218961.37;601841481.25
01;2010;03;Chauffage;06;02;3977703484.231;3659487020.0239
01;2010;03;Chauffage;09;02;644309145.6879001;1918752576.7451
01;2010;03;Chauffage;24;04;377549242.9230001;361177908.34560007
01;2010;03;Chauffage;26;02;37574618.730000004;37574615.31749999
01;2010;04;Chauffage;01;01;6882652.1398;4592990.031099999
01;2010;04;Chauffage;01;06;4944458.718;3349770.4653999996
01;2010;04;Chauffage;03;03;1702179.7476;941482.0812000001
01;2010;04;Chauffage;04;04;43728813.8801;31909749.6811
01;2010;04;Chauffage;05;02;4178.765;10382.976999999999
01;2010;04;Chauffage;06;02;7985944.6647;7347069.490899997
