COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT
01;2009;01;Autre;01;49954723.10010001
01;2009;01;Autre;02;1239428506.7399998
01;2009;01;Autre;04;3011014.466299998
01;2009;01;Bureautique;02;1910785867.0900004
01;2009;01;Cuisson;01;16654294.739799997
01;2009;01;Cuisson;02;127219557.78799999
01;2009;01;Cuisson;03;4543555.603300001
01;2009;01;Cuisson;04;73147748.96510004
01;2009;01;Froid_alimentaire;02;34084285.127100006
01;2009;01;Process;02;27370711.957599994
01;2009;02;Autre;01;37627572.612100005
01;2009;02;Autre;02;933350786.46
01;2009;02;Autre;04;2258238.3343000007
01;2009;02;Bureautique;02;1438915984.6200001
01;2009;02;Cuisson;01;12765104.138700003
01;2009;02;Cuisson;02;95802605.843
01;2009;02;Cuisson;03;3421521.8265
01;2009;02;Cuisson;04;54860269.826299995
01;2009;02;Froid_alimentaire;02;25667148.3698
01;2009;02;Process;02;20611497.8189
01;2009;03;Autre;01;107830692.90299998
01;2009;03;Autre;02;2667492320.8200006
01;2009;03;Autre;04;6161899.2022
01;2009;03;Bureautique;02;4112383914.7599998
01;2009;03;Cuisson;01;43578113.7477
01;2009;03;Cuisson;02;273801345.09199995
01;2009;03;Cuisson;03;9778619.7422
01;2009;03;Cuisson;04;149693416.22500002
01;2009;03;Froid_alimentaire;02;73356041.45900002
01;2009;03;Process;02;58907117.87269999
01;2010;01;Autre;01;48217633.65450001
01;2010;01;Autre;02;1239409363.73
01;2010;01;Autre;04;2906311.4513000003
01;2010;01;Bureautique;02;1927142064.7399998
01;2010;01;Cuisson;01;15520027.2919
01;2010;01;Cuisson;02;131383765.87699997
01;2010;01;Cuisson;04;70183914.4013
01;2010;01;Froid_alimentaire;02;33807975.5291
01;2010;01;Process;02;27331298.942500006
01;2010;02;Autre;01;36319137.409799986
01;2010;02;Autre;02;933336269.8099998
01;2010;02;Autre;04;2179711.9172000005
01;2010;02;Bureautique;02;1451233146.74
01;2010;02;Cuisson;01;11895716.137100002
01;2010;02;Cuisson;02;98944065.633
01;2010;02;Cuisson;04;52637987.7892
01;2010;02;Froid_alimentaire;02;25459073.831
01;2010;02;Process;02;20581816.815400008
01;2010;03;Autre;01;104081050.07800004
01;2010;03;Autre;02;2667450815.17
01;2010;03;Autre;04;5947629.6400000015
01;2010;03;Bureautique;02;4147585874.88
01;2010;03;Cuisson;01;40610155.55859999
01;2010;03;Cuisson;02;282956926.54800004
01;2010;03;Cuisson;04;143648083.757
01;2010;03;Froid_alimentaire;02;72761369.9825
01;2010;03;Process;02;58822295.17899999
01;2010;04;Autre;01;2917611.9928999995
01;2010;04;Autre;02;72267636.401
01;2010;04;Autre;04;170672.7898
01;2010;04;Bureautique;02;123791808.11689997
01;2010;04;Cuisson;01;618169.6863
01;2010;04;Cuisson;02;4207289.685700001
01;2010;04;Cuisson;04;2351681.8562000003
01;2010;04;Froid_alimentaire;02;1545724.7392
01;2010;04;Process;02;1595910.6069999998
01;2011;01;Autre;01;46540945.570599996
01;2011;01;Autre;02;1239328518.97
01;2011;01;Autre;04;2805249.2813999993
01;2011;01;Bureautique;02;1943638436.33
01;2011;01;Cuisson;01;14463008.7606
01;2011;01;Cuisson;02;135153557.63099998
01;2011;01;Cuisson;04;67158516.99249999
01;2011;01;Froid_alimentaire;02;33533904.421999995
01;2011;01;Process;02;27291939.996
01;2011;02;Autre;01;35056198.879999995
01;2011;02;Autre;02;933275529.58
01;2011;02;Autre;04;2103915.7799
01;2011;02;Bureautique;02;1463655629.1000004
01;2011;02;Cuisson;01;11085537.874899998
01;2011;02;Cuisson;02;101787876.67700002
01;2011;02;Cuisson;04;50368934.4304
01;2011;02;Froid_alimentaire;02;25252684.030499995
01;2011;02;Process;02;20552176.863999996
01;2011;03;Autre;01;100461790.20100003
01;2011;03;Autre;02;2667277039.34
01;2011;03;Autre;04;5740810.280099999
01;2011;03;Bureautique;02;4183088429.49
01;2011;03;Cuisson;01;37844330.1125
01;2011;03;Cuisson;02;291242097.226
01;2011;03;Cuisson;04;137455861.012
01;2011;03;Froid_alimentaire;02;72171507.37059999
01;2011;03;Process;02;58737580.07720001
01;2011;04;Autre;01;5781705.826
01;2011;04;Autre;02;145721552.38199997
01;2011;04;Autre;04;338214.9403999999
01;2011;04;Bureautique;02;250677232.25500003
01;2011;04;Cuisson;01;1204394.8539000002
01;2011;04;Cuisson;02;8616843.7731
01;2011;04;Cuisson;04;4640630.2358
01;2011;04;Froid_alimentaire;02;3104315.5704
01;2011;04;Process;02;3215744.391099999
01;2012;01;Autre;01;44922562.537099995
01;2012;01;Autre;02;1239188645.88
01;2012;01;Autre;04;2707701.5284000007
01;2012;01;Bureautique;02;1960276122.0699997
01;2012;01;Cuisson;01;13477981.8866
01;2012;01;Cuisson;02;138721400.028
01;2012;01;Cuisson;04;64263535.54980001
01;2012;01;Froid_alimentaire;02;33262054.8935
01;2012;01;Process;02;27252638.519799996
01;2012;02;Autre;01;33837170.89150001
01;2012;02;Autre;02;933170100.14
01;2012;02;Autre;04;2030755.2519999996
01;2012;02;Bureautique;02;1476184331.07
01;2012;02;Cuisson;01;10330536.509599999
01;2012;02;Cuisson;02;104479015.12500003
01;2012;02;Cuisson;04;48197686.95950001
01;2012;02;Froid_alimentaire;02;25047964.095700003
01;2012;02;Process;02;20522578.1267
01;2012;03;Autre;01;96968373.77099998
01;2012;03;Autre;02;2666975609.71
01;2012;03;Autre;04;5541182.349800001
01;2012;03;Bureautique;02;4218894460.7499995
01;2012;03;Cuisson;01;35266870.2231
01;2012;03;Cuisson;02;299072895.436
01;2012;03;Cuisson;04;131530564.46599999
01;2012;03;Froid_alimentaire;02;71586420.52550001
01;2012;03;Process;02;58652988.23259999
01;2012;04;Autre;01;8545066.348100001
01;2012;04;Autre;02;220430415.08000004
01;2012;04;Autre;04;499864.45109999983
01;2012;04;Bureautique;02;381350827.415
01;2012;04;Cuisson;01;1739887.5045999999
01;2012;04;Cuisson;02;13296137.1668
01;2012;04;Cuisson;04;6819942.279999999
01;2012;04;Froid_alimentaire;02;4670802.273200001
01;2012;04;Process;02;4859897.391
01;2013;01;Autre;01;43360454.577800006
01;2013;01;Autre;02;1238991927.2
01;2013;01;Autre;04;2613545.6157000004
01;2013;01;Bureautique;02;1977055959.2
01;2013;01;Cuisson;01;12560040.847100003
01;2013;01;Cuisson;02;142097816.284
01;2013;01;Cuisson;04;61493342.557500005
01;2013;01;Froid_alimentaire;02;32992408.83859999
01;2013;01;Process;02;27213392.8151
01;2013;02;Autre;01;32660534.2851
01;2013;02;Autre;02;933021849.73
01;2013;02;Autre;04;1960138.5481000002
01;2013;02;Bureautique;02;1488820144.5899997
01;2013;02;Cuisson;01;9626956.777900001
01;2013;02;Cuisson;02;107025486.13800001
01;2013;02;Cuisson;04;46120034.18269999
01;2013;02;Froid_alimentaire;02;24844903.6358
01;2013;02;Process;02;20493022.0234
01;2013;03;Autre;01;93596445.76999998
01;2013;03;Autre;02;2666551454.19
01;2013;03;Autre;04;5348495.673999999
01;2013;03;Bureautique;02;4255007270.2100005
01;2013;03;Cuisson;01;32864955.434999995
01;2013;03;Cuisson;02;306473736.93
01;2013;03;Cuisson;04;125860683.37499999
01;2013;03;Froid_alimentaire;02;71006077.21159999
01;2013;03;Process;02;58568509.55
01;2013;04;Autre;01;11194583.422500001
01;2013;04;Autre;02;296427088.067
01;2013;04;Autre;04;654854.3689999998
01;2013;04;Bureautique;02;516119208.461
01;2013;04;Cuisson;01;2221367.5988
01;2013;04;Cuisson;02;18262149.837600004
01;2013;04;Cuisson;04;8877728.0837
01;2013;04;Froid_alimentaire;02;6243603.804
01;2013;04;Process;02;6528773.308300001
01;2014;01;Autre;01;41852665.86669999
01;2014;01;Autre;02;1238740151.5200002
01;2014;01;Autre;04;2522663.8923
01;2014;01;Bureautique;02;1993979615.5399997
01;2014;01;Cuisson;01;11704618.3732
01;2014;01;Cuisson;02;145292750.71800002
01;2014;01;Cuisson;04;58842566.4791
01;2014;01;Froid_alimentaire;02;32724949.9185
01;2014;01;Process;02;27174204.014799993
01;2014;02;Autre;01;31524811.3078
01;2014;02;Autre;02;932832037.2299999
01;2014;02;Autre;04;1891977.5831
01;2014;02;Bureautique;02;1501563994.28
01;2014;02;Cuisson;01;8971294.103900004
01;2014;02;Cuisson;02;109434803.42300001
01;2014;02;Cuisson;04;44131947.662200004
01;2014;02;Froid_alimentaire;02;24643488.7163
01;2014;02;Process;02;20463509.606299993
01;2014;03;Autre;01;90341762.47799999
01;2014;03;Autre;02;2666008948.700001
01;2014;03;Autre;04;5162509.097000001
01;2014;03;Bureautique;02;4291429150.37
01;2014;03;Cuisson;01;30626625.177799996
01;2014;03;Cuisson;02;313467520.80300003
01;2014;03;Cuisson;04;120435212.70199999
01;2014;03;Froid_alimentaire;02;70430436.4653
01;2014;03;Process;02;58484154.61239999
01;2014;04;Autre;01;13726066.9693
