COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;COD_SYSTEME_FROID;SURFACES_TOT
01;2009;01;01;21845278.001199994
01;2009;01;02;30278728.644100007
01;2009;02;01;17101159.396
01;2009;02;02;22166337.714800004
01;2009;03;01;42865112.44799999
01;2009;03;02;69373982.77640004
01;2010;01;01;22023525.43469999
01;2010;01;02;30025422.64040001
01;2010;02;01;17236486.128899995
01;2010;02;02;21974465.785299998
01;2010;03;01;43217455.019300014
01;2010;03;02;68860015.90799996
01;2010;04;01;1541398.5234
01;2010;04;02;1804326.0203000007
01;2011;01;01;22200537.337499995
01;2011;01;02;29773459.43440001
01;2011;02;01;17371287.552500006
01;2011;02;02;21783197.0701
01;2011;03;01;43568987.07390003
01;2011;03;02;68347078.0808
01;2011;04;01;3123946.3809999987
01;2011;04;02;3617656.2226000023
01;2012;01;01;22376659.330900002
01;2012;01;02;29522494.078600008
01;2012;02;01;17505570.362099998
01;2012;02;02;21592524.395699993
01;2012;03;01;43919663.26499999
01;2012;03;02;67835216.9005
01;2012;04;01;4748116.332800001
01;2012;04;02;5440348.568900003
01;2013;01;01;22552003.6939
01;2013;01;02;29272413.26239999
01;2013;02;01;17639338.192099992
01;2013;02;02;21402447.686599992
01;2013;03;01;44269470.877000004
01;2013;03;02;67324457.9473
01;2013;04;01;6414391.051300001
01;2013;04;02;7272764.848900003
01;2014;01;01;22726575.577300005
01;2014;01;02;29023212.85040001
01;2014;02;01;17772592.792400017
01;2014;02;02;21212964.75650001
01;2014;03;01;44618381.224300005
01;2014;03;02;66814822.54319997
01;2014;04;01;8123263.262800001
01;2014;04;02;9115270.777100004
01;2015;01;01;22900381.008299995
01;2015;01;02;28774886.772200003
01;2015;02;01;17905326.392099995
01;2015;02;02;21024083.768099997
01;2015;03;01;44966459.087500006
01;2015;03;02;66306256.521800056
01;2015;04;01;9875235.893900005
01;2015;04;02;10968236.058999998
01;2016;01;01;23056786.405600004
01;2016;01;02;28506860.336499993
