COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;59989084.873099975;59989084.8731
01;2009;01;Chauffage;01;50214660.19;33229708.89
01;2009;01;Chauffage;02;296543251.352;435757732.59800005
01;2009;01;Chauffage;03;296784594.82;164154411.73000002
01;2009;01;Chauffage;04;866803413.28;632494541.62
01;2009;01;Chauffage;06;170076342.15;115234218.7
01;2009;01;Climatisation;02;326064783.55;990402697.25
01;2009;01;ECS;01;3749474.454;2062211.078
01;2009;01;ECS;02;53300976.177;47970881.818
01;2009;01;ECS;03;24345016.3;12172508.149
01;2009;01;ECS;04;56681985.96;39677388.17
01;2009;01;ECS;06;11373860.03;6255622.9629999995
01;2009;01;Eclairage;02;411829815.7;411829815.7
01;2009;01;Ventilation;02;68734410.65659998;68734410.65659998
01;2009;02;Auxiliaires;02;35527835.28349999;35527835.28349999
01;2009;02;Chauffage;01;29675500.779999997;19623740.105
01;2009;02;Chauffage;02;204682322.05400002;326599598.80300003
01;2009;02;Chauffage;03;151427279.338;83768653.413
01;2009;02;Chauffage;04;537042401.476;392184359.859
01;2009;02;Chauffage;06;79436280.92;53823450.410000004
01;2009;02;Climatisation;02;364398161.52;1106509814.84
01;2009;02;ECS;01;2747983.8013999998;1511391.0610999998
01;2009;02;ECS;02;45377165.474;40839444.823
01;2009;02;ECS;03;15255899.214;7627949.607
01;2009;02;ECS;04;42072673.6673;29450870.2971
01;2009;02;ECS;06;6539552.8328;3596753.9645
01;2009;02;Eclairage;02;283134572.22;283134572.22
01;2009;02;Ventilation;02;52252212.767900005;52252212.767900005
01;2009;03;Auxiliaires;02;270480721.67139995;270480721.67139995
01;2009;03;Chauffage;01;169641844.73999998;112462372.39
01;2009;03;Chauffage;02;1614820267.3400002;2315891311.31
01;2009;03;Chauffage;03;1418002344.8;784072192.5
01;2009;03;Chauffage;04;3725523686.9;2717283548.5
01;2009;03;Chauffage;06;877589606.62;594599435.77
01;2009;03;Climatisation;02;550220076.09;1.67010158E+9
01;2009;03;ECS;01;5056895.968;2781292.698
01;2009;03;ECS;02;118882324.63;106994094.53999999
01;2009;03;ECS;03;49764421.00000001;24882213.5
01;2009;03;ECS;04;104523000.16000001;73166106.13
01;2009;03;ECS;06;26556957.328999996;14606326.4692
01;2009;03;Eclairage;02;840079219.1;840079219.1
01;2009;03;Ventilation;02;141273795.73659998;141273795.73659998
01;2010;01;Auxiliaires;02;58958596.27909999;58958596.27909999
01;2010;01;Chauffage;01;48126658.980000004;31847959.3236
01;2010;01;Chauffage;02;316631148.4124;445414386.4940999
01;2010;01;Chauffage;03;290288005.5594;160575514.72210002
01;2010;01;Chauffage;04;828231259.158;604364692.1362001
01;2010;01;Chauffage;06;200392933.3052;135776730.4686
01;2010;01;Climatisation;02;324624957.68;992213723.9499999
01;2010;01;ECS;01;3597938.8829000005;1979722.6478
01;2010;01;ECS;02;53450393.5564;48322980.345
01;2010;01;ECS;03;23040500.9624;11523307.9256
01;2010;01;ECS;04;57089881.958;40029487.195999995
01;2010;01;ECS;06;11411267.917100001;6283119.3148
01;2010;01;Eclairage;02;408491258.992;408491258.992
01;2010;01;Ventilation;02;68641207.0583;68641207.05829999
01;2010;02;Auxiliaires;02;35201373.9145;35201373.9145
01;2010;02;Chauffage;01;28433652.55;18802547.6282
01;2010;02;Chauffage;02;214523270.35139996;328317589.25729996
01;2010;02;Chauffage;03;156182213.1359;86381194.93040001
01;2010;02;Chauffage;04;518831282.05499995;378903964.46150005
01;2010;02;Chauffage;06;91544928.5201;62029926.2683
01;2010;02;Climatisation;02;362708735.801;1108262945.1624
01;2010;02;ECS;01;2636923.418;1450935.5219999999
01;2010;02;ECS;02;45423944.8811;41063012.7311
01;2010;02;ECS;03;14438418.0929;7221125.019099999
01;2010;02;ECS;04;42322666.637499996;29674439.1691
01;2010;02;ECS;06;6568832.7966;3616905.9411
01;2010;02;Eclairage;02;280839285.03900003;280839285.03900003
01;2010;02;Ventilation;02;52181226.2137;52181226.2137
01;2010;03;Auxiliaires;02;271767522.58760005;271767522.58760005
01;2010;03;Chauffage;01;162126856.64929998;107480045.7384
01;2010;03;Chauffage;02;1421845967.6495001;2137780231.468
01;2010;03;Chauffage;03;1305377771.0487998;721835315.6405
01;2010;03;Chauffage;04;3910401082.9847;2852250388.148
01;2010;03;Chauffage;06;829776313.3860999;562207093.9454
01;2010;03;Climatisation;02;547517750.888;1672237154.408
01;2010;03;ECS;01;4854583.8273;2671433.7327
01;2010;03;ECS;02;119158832.78220001;107738786.09279999
01;2010;03;ECS;03;47112110.9502;23564445.9487
01;2010;03;ECS;04;105383698.5063;73896165.01519999
01;2010;03;ECS;06;26603418.7479;14648577.9532
01;2010;03;Eclairage;02;833162451.0018001;833162451.0018001
01;2010;03;Ventilation;02;141092776.63599995;141092776.63599998
01;2010;04;Auxiliaires;02;1446679.9773999995;1446679.9773999995
01;2010;04;Chauffage;01;1671574.2679;1275506.6743999997
01;2010;04;Chauffage;02;13905228.7115;24400716.916600004
01;2010;04;Chauffage;03;828747.8654000001;599166.8855000001
01;2010;04;Chauffage;04;16576348.619599998;15403469.5148
01;2010;04;Chauffage;06;4619517.7699;3612121.057
01;2010;04;Climatisation;02;10714985.796;35855755.5527
01;2010;04;ECS;01;152809.0615;103146.1201
01;2010;04;ECS;02;2418421.5031999997;3264868.969
01;2010;04;ECS;03;1058014.8568;687709.6392
