COD_BRANCHE;ANNEE;COD_PERIODE_SIMPLE;USAGE;COD_ENERGIE;CONSO_TOT;BESOIN_TOT
01;2009;01;Auxiliaires;02;160721337.6534001;160721337.65340006
01;2009;01;Chauffage;01;130591433.97;86798299.9
01;2009;01;Chauffage;02;1034800106.0329999;1367594932.1369998
01;2009;01;Chauffage;03;794945829.1099999;439290379.15000004
01;2009;01;Chauffage;04;2340092780.6499996;1705576249.5999994
01;2009;01;Chauffage;06;478119430.49;324210005.56999993
01;2009;01;Climatisation;02;688265250.63;2095998467.3500001
01;2009;01;ECS;01;9072102.265999997;4989656.619600001
01;2009;01;ECS;02;152106806.24699998;136896131.85700002
01;2009;01;ECS;03;60264884.892000005;30132444.355000004
01;2009;01;ECS;04;142761730.55599996;99933207.57599998
01;2009;01;ECS;06;31426410.27739999;17284525.587500002
01;2009;01;Eclairage;02;1141515020.7740002;1141515020.7740002
01;2009;01;Ventilation;02;214673188.48200002;214673188.48200002
01;2009;02;Auxiliaires;02;86275102.73650013;86275102.7365001
01;2009;02;Chauffage;01;68576811.96800004;45598131.10399998
01;2009;02;Chauffage;02;524281941.6769999;770098541.292
01;2009;02;Chauffage;03;407728975.55599993;225431700.89199993
01;2009;02;Chauffage;04;1262971750.576;921621077.529
01;2009;02;Chauffage;06;234952983.686;159406696.01199996
01;2009;02;Climatisation;02;758944210.4499999;2310849820.3399997
01;2009;02;ECS;01;6697027.944599998;3683365.0938000004
01;2009;02;ECS;02;117630186.955;105867165.32999998
01;2009;02;ECS;03;43715384.555999994;21857692.487999994
01;2009;02;ECS;04;107413743.4954;75189616.42380002
01;2009;02;ECS;06;20504240.992399998;11277332.2965
01;2009;02;Eclairage;02;810490810.373;810490810.373
01;2009;02;Ventilation;02;169053540.47609994;169053540.47609994
01;2009;03;Auxiliaires;02;731594180.2924004;731594180.2924002
01;2009;03;Chauffage;01;543756213.39;361077510.34999996
01;2009;03;Chauffage;02;5376448259.859999;6827818158.049999
01;2009;03;Chauffage;03;3985165804.3999996;2201963724.5299993
