BRANCHE;ENERGIE;USAGE;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Bureaux Administration;Electricité;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Electricité;Chauffage;4582;4679;4936;5282;5446;5364;5401;5580;5952;6020;6136;6258;6448;6664;6823;6927;7027;7024;7130;7153;7292
Bureaux Administration;Electricité;Climatisation;2990;3097;3241;3382;3595;3838;3968;4286;4465;4710;4984;5328;5743;6006;6279;6478;6691;6938;7191;7394;7634
Bureaux Administration;Electricité;Cuisson;363;371;377;377;388;432;443;453;456;457;461;474;482;480;478;489;499;506;511;512;512
Bureaux Administration;Electricité;ECS;422;432;438;437;445;462;475;494;511;523;535;557;573;584;591;604;614;623;632;632;633
Bureaux Administration;Electricité;Electricité spécifique;13855;14134;14431;14715;15341;15711;16314;16701;16998;17270;17591;17979;18363;18703;18867;19216;19539;19751;20093;20365;20716
Bureaux Administration;Fioul;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Fioul;Chauffage;6765;6606;7047;7073;7251;6854;6796;6846;6304;6034;5759;5598;5279;5090;4610;4392;4199;3789;3351;3126;2949
Bureaux Administration;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Fioul;Cuisson;20;20;21;23;23;23;23;23;21;21;20;20;19;19;18;18;18;16;15;14;14
Bureaux Administration;Fioul;ECS;281;280;285;281;297;286;275;259;243;237;232;230;220;216;209;204;202;189;173;165;164
Bureaux Administration;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Gaz;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Gaz;Chauffage;10726;11121;11851;11958;11988;12299;12578;13010;12937;13153;13148;13194;13294;13568;13302;13203;13306;13096;13241;13286;12920
Bureaux Administration;Gaz;Climatisation;9;10;11;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12
Bureaux Administration;Gaz;Cuisson;240;249;272;285;291;290;287;288;283;283;284;288;290;288;283;284;283;279;276;273;272
Bureaux Administration;Gaz;ECS;397;409;438;443;449;457;472;484;484;492;502;512;521;527;527;531;533;534;537;540;543
Bureaux Administration;Gaz;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Autres comb.;Autres usages thermiques;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bureaux Administration;Autres comb.;Chauffage;3330;3366;3425;3436;3509;3497;3516;3734;3568;3460;3469;3482;3461;3438;3428;3428;3426;3395;3307;3348;3336
Bureaux Administration;Autres comb.;Climatisation;156;176;188;188;188;188;190;190;190;190;190;190;190;190;190;190;190;190;190;190;190
Bureaux Administration;Autres comb.;Cuisson;58;57;55;55;55;54;54;54;51;49;49;49;49;48;47;48;48;48;47;47;47
Bureaux Administration;Autres comb.;ECS;133;136;139;155;150;157;158;158;154;153;155;160;162;162;164;166;169;170;172;175;179
Bureaux Administration;Autres comb.;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Café Hôtel Restaurant;Electricité;Autres usages thermiques;130;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129;129
Café Hôtel Restaurant;Electricité;Chauffage;1252;1268;1273;1336;1348;1460;1465;1475;1495;1497;1501;1505;1532;1572;1581;1565;1543;1510;1461;1453;1453
Café Hôtel Restaurant;Electricité;Climatisation;737;791;847;895;932;980;1013;1089;1120;1168;1229;1311;1408;1491;1544;1608;1646;1688;1719;1752;1778
Café Hôtel Restaurant;Electricité;Cuisson;2147;2086;2021;1955;1911;1843;1767;1699;1649;1594;1539;1476;1419;1368;1296;1222;1141;1072;988;905;916
Café Hôtel Restaurant;Electricité;ECS;692;723;744;765;776;775;792;817;853;893;926;956;986;1035;1074;1107;1131;1157;1178;1200;1208
Café Hôtel Restaurant;Electricité;Electricité spécifique;3133;3306;3638;3852;4045;4321;4502;4721;4923;5137;5360;5637;5921;6188;6465;6734;6958;7148;7323;7540;7420
Café Hôtel Restaurant;Fioul;Autres usages thermiques;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136;136
Café Hôtel Restaurant;Fioul;Chauffage;2724;2602;2682;2606;2420;2437;2415;2355;2213;2162;2051;1976;1880;1788;1641;1494;1392;1317;1211;1173;1135
Café Hôtel Restaurant;Fioul;Climatisation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Café Hôtel Restaurant;Fioul;Cuisson;51;49;48;49;41;41;39;37;35;33;30;29;27;25;23;20;18;16;15;13;13
Café Hôtel Restaurant;Fioul;ECS;431;412;411;398;388;406;399;388;368;356;344;335;322;316;301;283;269;262;254;248;248
Café Hôtel Restaurant;Fioul;Electricité spécifique;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Café Hôtel Restaurant;Gaz;Autres usages thermiques;210;221;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227;227
Café Hôtel Restaurant;Gaz;Chauffage;3472;3518;3601;3641;3616;3750;3891;3931;3872;3759;3632;3593;3559;3458;3548;3543;3517;3409;3303;3272;3262
Café Hôtel Restaurant;Gaz;Climatisation;9;11;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
