"ID_AGREG";"EXIGENCE";"GESTE";"GAIN";"COUT";"CEE"
"0101420701";"BBC renovation";"ENSBBC";0,816625437138033;323,757907169426;3918,5136686952
"0101420701";"Maximale";"ENSMAX";0,88136443023149;264,230178449591;3918,5136686952
"0101420701";"RT par element";"ENSMOD";0;0;0
"0101420701";"BBC renovation";"FENBBC";0,273150076486968;205,286618593077;1717,764327757
"0101420701";"Maximale";"FENMAX";0,294804387154955;188,5714281;1717,764327757
"0101420701";"RT par element";"FENMOD";0,468378315691439;119,9999997;1717,764327757
"0101420701";"BBC renovation";"FEN_MURBBC";0,546300152973937;158,57142825;3401,8470020285
"0101420701";"Maximale";"FEN_MURMAX";0,58960877430991;229,71428522;3401,8470020285
"0101420701";"RT par element";"FEN_MURMOD";0;0;0
"0101420701";"GTB";"GTB";0,15;20;0
"0101421102";"BBC renovation";"ENSBBC";0;0;0
"0101421102";"Maximale";"ENSMAX";0,839645930746853;263,852325425434;3918,5136686952
"0101421102";"RT par element";"ENSMOD";0;0;0
"0101421102";"BBC renovation";"FENBBC";0,357835584134746;302,648169734993;1717,764327757
"0101421102";"Maximale";"FENMAX";0,280850117783814;188,571428099999;1717,764327757
"0101421102";"RT par element";"FENMOD";0;0;0
"0101421102";"BBC renovation";"FEN_MURBBC";0,715671168269491;159,857142535;3401,8470020285
"0101421102";"Maximale";"FEN_MURMAX";0,561700235567627;229,714285219999;3401,8470020285
"0101421102";"RT par element";"FEN_MURMOD";0;0;0
"0101421102";"GTB";"GTB";0,15;20;0
"0101421703";"BBC renovation";"ENSBBC";0,879295864473444;197,581396196371;3918,5136686952
"0101421703";"Maximale";"ENSMAX";0,962854668968469;243,698302942059;4951,8470020285
"0101421703";"RT par element";"ENSMOD";0,782256602683247;149,84309839955;3918,5136686952
"0101421703";"BBC renovation";"FENBBC";0,294112480107571;131,755255488588;1717,764327757
"0101421703";"Maximale";"FENMAX";0,322061761137765;171,428571;1717,764327757
"0101421703";"RT par element";"FENMOD";0,261654169877699;102,8571426;1717,764327757
"0101421703";"BBC renovation";"FEN_MURBBC";0,588224960215142;141,42857115;3401,8470020285
"0101421703";"Maximale";"FEN_MURMAX";0,64412352227553;212,57142812;3401,8470020285
"0101421703";"RT par element";"FEN_MURMOD";0,523308339755398;138,85714258;3401,8470020285
"0101421703";"GTB";"GTB";0,15;20;0
"0101440701";"BBC renovation";"ENSBBC";0,735931034584035;133,983506534356;2631,8821722893
"0101440701";"Maximale";"ENSMAX";0,92403623793238;140,336927527483;3148,548838956
"0101440701";"RT par element";"ENSMOD";0,506048441967899;69,5851594182315;2631,8821722893
"0101440701";"BBC renovation";"FENBBC";0,158734914853346;100,513527109412;1198,524661255
"0101440701";"Maximale";"FENMAX";0,199307824587813;108;1198,524661255
"0101440701";"RT par element";"FENMOD";0,109150929329738;54,0000000000002;1198,524661255
"0101440701";"BBC renovation";"FEN_MURBBC";0,529116382844488;66,0000000000002;2373,548838956
"0101440701";"Maximale";"FEN_MURMAX";0,664359415292711;120;2373,548838956
"0101440701";"RT par element";"FEN_MURMOD";0,363836431099127;64,8000000000002;2373,548838956
"0101440701";"GTB";"GTB";0,15;20;0
"0101441102";"BBC renovation";"ENSBBC";0,726693348149231;139,704160426684;1433,3575110343
"0101441102";"Maximale";"ENSMAX";0,784687922830905;150,216787268089;2631,8821722893
"0101441102";"RT par element";"ENSMOD";0;0;0
"0101441102";"BBC renovation";"FENBBC";0;0;0
"0101441102";"Maximale";"FENMAX";0,169251417270934;90;1198,524661255
"0101441102";"RT par element";"FENMOD";0;0;0
"0101441102";"BBC renovation";"FEN_MURBBC";0,522474712630108;35,9999999999999;1175,024177701
"0101441102";"Maximale";"FEN_MURMAX";0,564171390903115;128,4;2373,548838956
"0101441102";"RT par element";"FEN_MURMOD";0;0;0
"0101441102";"GTB";"GTB";0,15;20;0
"0101441703";"BBC renovation";"ENSBBC";0,941444356144523;111,742390204166;3148,548838956
"0101441703";"Maximale";"ENSMAX";0,952574484508236;142,15627022089;3148,548838956
"0101441703";"RT par element";"ENSMOD";0,848710346335777;85,79015073558;3148,548838956
"0101441703";"BBC renovation";"FENBBC";0,203062627731457;68,4476448005973;1198,524661255
"0101441703";"Maximale";"FENMAX";0,20546331460984;108;1198,524661255
"0101441703";"RT par element";"FENMOD";0,183060583437564;54;1198,524661255
"0101441703";"BBC renovation";"FEN_MURBBC";0,676875425771526;66;2373,548838956
"0101441703";"Maximale";"FEN_MURMAX";0,684877715366136;120;2373,548838956
"0101441703";"RT par element";"FEN_MURMOD";0,610201944791881;64,8;2373,548838956
"0101441703";"GTB";"GTB";0,15;20;0
"0101840701";"BBC renovation";"ENSBBC";0,890681287492928;479,339980347584;1608,817555713
"0101840701";"Maximale";"ENSMAX";0,939760996201054;277,033719068781;1608,817555713
"0101840701";"RT par element";"ENSMOD";0;0;0
"0101840701";"BBC renovation";"FENBBC";0,319787860003308;370,489784389013;616,7049043699
"0101840701";"Maximale";"FENMAX";0,337409309154368;230,8416;616,7049043699
"0101840701";"RT par element";"FENMOD";0;0;0
"0101840701";"BBC renovation";"FEN_MURBBC";0,639575720006616;178,3776;1221,317555713
"0101840701";"Maximale";"FEN_MURMAX";0,674818618308736;264,41856;1221,317555713
"0101840701";"RT par element";"FEN_MURMOD";0;0;0
"0101840701";"GTB";"GTB";0,15;20;0
"0101841102";"BBC renovation";"ENSBBC";0,763078054799591;1236,50580375328;1350,4842223797
"0101841102";"Maximale";"ENSMAX";0,932618601245945;600,43150788836;1608,817555713
"0101841102";"RT par element";"ENSMOD";0;0;0
"0101841102";"BBC renovation";"FENBBC";0,273973531931629;608,661788639093;616,7049043699
"0101841102";"Maximale";"FENMAX";0,334844922510048;293,7984;616,7049043699
"0101841102";"RT par element";"FENMOD";0;0;0
"0101841102";"BBC renovation";"FEN_MURBBC";0,547947063863258;482,6688;1221,317555713
"0101841102";"Maximale";"FEN_MURMAX";0,669689845020096;587,5968;1221,317555713
"0101841102";"RT par element";"FEN_MURMOD";0;0;0
"0101841102";"GTB";"GTB";0,15;20;0
"0101841703";"BBC renovation";"ENSBBC";0,933312639959764;108,08881922216;1608,817555713
"0101841703";"Maximale";"ENSMAX";0,963291427153307;277,256293083506;1608,817555713
"0101841703";"RT par element";"ENSMOD";0,583110374199075;39,8402151050786;992,1126513431
"0101841703";"BBC renovation";"FENBBC";0,335094108339107;83,4531416082723;616,7049043699
"0101841703";"Maximale";"FENMAX";0,345857613014391;230,8416;616,7049043699
"0101841703";"RT par element";"FENMOD";0;0;0
"0101841703";"BBC renovation";"FEN_MURBBC";0,670188216678215;178,3776;1221,317555713
"0101841703";"Maximale";"FEN_MURMAX";0,691715226028782;264,41856;1221,317555713
"0101841703";"RT par element";"FEN_MURMOD";0,418716821222835;29,37984;604,6126513431
"0101841703";"GTB";"GTB";0,15;20;0
"0102420701";"BBC renovation";"ENSBBC";0,810294595539805;324,003683193028;3918,5136686952
"0102420701";"Maximale";"ENSMAX";0,876084463071466;267,137939286952;3918,5136686952
"0102420701";"RT par element";"ENSMOD";0;0;0
"0102420701";"BBC renovation";"FENBBC";0,315712593582894;202,674470779824;1717,764327757
"0102420701";"Maximale";"FENMAX";0,34134609752606;188,5714281;1717,764327757
"0102420701";"RT par element";"FENMOD";0,461781211916863;119,9999997;1717,764327757
"0102420701";"BBC renovation";"FEN_MURBBC";0,631425187165788;158,57142825;3401,8470020285
"0102420701";"Maximale";"FEN_MURMAX";0,68269219505212;229,71428522;3401,8470020285
"0102420701";"RT par element";"FEN_MURMOD";0;0;0
"0102420701";"GTB";"GTB";0,15;20;0
"0102421102";"BBC renovation";"ENSBBC";0;0;0
"0102421102";"Maximale";"ENSMAX";0,832750048203493;266,294888143503;3918,5136686952
"0102421102";"RT par element";"ENSMOD";0;0;0
"0102421102";"BBC renovation";"FENBBC";0,352918870004909;302,648169734993;1717,764327757
"0102421102";"Maximale";"FENMAX";0,324461842608562;188,5714281;1717,764327757
"0102421102";"RT par element";"FENMOD";0;0;0
