BRANCHE;SS_BRANCHE;BAT_TYPE;BRANCHE;SS_BRANCHE;BAT_TYPE;ID;SURFACE;taille bâtiment;Type facteur correctif;puissance;nb_etages_moy;taux_vitrage;hauteur étage;Smur/Spl;Sfen/Spl;Stoit/Spl;Splancher/Spl;Smur;Sfen;Stoit;Splancher;Smur/Sparois;Sfen/Sparois;Stoit/Sparois;Splancher/Sparois;FEN;FEN_MUR;ENS
Bureaux Administration;Administration;immeuble peri urbain;01;01;42;010142;238;<5000m2;bureaux;P>=30kW;3;0,5;3;0,673633069708608;0,673633069708608;0,333333333333333;0,333333333333333;160,324670590649;160,324670590649;79,3333333333333;79,3333333333333;0,334486368002762;0,334486368002762;0,165513631997238;0,165513631997238;0,334486368002762;0,668972736005523;1
Bureaux Administration;Administration;immeuble rénové;01;01;44;010144;352;<5000m2;bureaux;P>=30kW;4;0,3;3;0,895443008693564;0,383761289440099;0,25;0,25;315,195939060134;135,083973882915;88;88;0,503282849323633;0,215692649710128;0,14051225048312;0,14051225048312;0,215692649710128;0,718975499033761;1
Bureaux Administration;Administration;plateau large bureaux cloisonnés;01;01;84;010184;7386;5000<S<10000;bureaux;P>=30kW;11;0,5;3;0,231549016835314;0,231549016835314;0,0909090909090909;0,0909090909090909;1710,22103834563;1710,22103834563;671,454545454546;671,454545454546;0,359037362178609;0,359037362178609;0,140962637821391;0,140962637821391;0,359037362178609;0,718074724357219;1
Bureaux Administration;Bureaux;immeuble peri urbain;01;02;42;010242;78;<5000m2;bureaux;P<30kW;3;0,5;3;1,1766968108291;1,1766968108291;0,333333333333333;0,333333333333333;91,7823512446701;91,7823512446701;26;26;0,389626927441829;0,389626927441829;0,110373072558171;0,110373072558171;0,389626927441829;0,779253854883657;1
Bureaux Administration;Bureaux;immeuble rénové;01;02;44;010244;104;<5000m2;bureaux;P<30kW;4;0,3;3;1,64737553516075;0,706018086497463;0,25;0,25;171,327055656718;73,4258809957361;26;26;0,577339040312075;0,247431017276604;0,0876149712056607;0,0876149712056607;0,247431017276604;0,824770057588678;1
Bureaux Administration;Bureaux;immeuble résidentiel;01;02;45;010245;40;<5000m2;bureaux;P<30kW;1;0,3;3;1,32815661727072;0,569209978830308;1;1;53,1262646908288;22,7683991532123;40;40;0,340783086353597;0,146049894151541;0,256583509747431;0,256583509747431;0,146049894151541;0,486832980505138;1
Bureaux Administration;Bureaux;plateau large bureau paysagés;01;02;83;010283;5598;5000<S<10000;bureaux;P>=30kW;11;0,5;3;0,26596907684772;0,26596907684772;0,0909090909090909;0,0909090909090909;1488,89489219354;1488,89489219354;508,909090909091;508,909090909091;0,372632877095693;0,372632877095693;0,127367122904307;0,127367122904307;0,372632877095693;0,745265754191387;1
Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;01;02;84;010284;6048;5000<S<10000;bureaux;P>=30kW;11;0,5;3;0,255883157859579;0,255883157859579;0,0909090909090909;0,0909090909090909;1547,58133873474;1547,58133873474;549,818181818182;549,818181818182;0,368928600290412;0,368928600290412;0,131071399709589;0,131071399709589;0,368928600290412;0,737857200580823;1
Bureaux Administration;Bureaux;plateau mince;01;02;85;010285;5627;5000<S<10000;bureaux;P>=30kW;11;0,5;3;0,265282826028517;0,265282826028517;0,0909090909090909;0,0909090909090909;1492,74646206246;1492,74646206246;511,545454545455;511,545454545455;0,372387487494537;0,372387487494537;0,127612512505463;0,127612512505463;0,372387487494537;0,744774974989073;1
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;02;04;16;020416;490;<5000m2;restauration;P>=30kW;1;0,3;3;0,379473319220206;0,162631422522945;1;1;185,941926417901;79,6893970362432;490;490;0,149275249358922;0,0639751068681092;0,393374821886485;0,393374821886485;0,0639751068681092;0,213250356227031;1
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;02;04;31;020431;499;<5000m2;restauration;P>=30kW;1;0,3;3;0,37603564407011;0,161158133172904;1;1;187,641786390985;80,4179084532792;499;499;0,148209272560459;0,0635182596687681;0,394136233885387;0,394136233885387;0,0635182596687681;0,211727532229227;1
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;02;04;62;020462;79;<5000m2;restauration;P<30kW;1;0,3;3;0,94507383677786;0,405031644333369;1;1;74,660833105451;31,9974999023361;79;79;0,282102710528499;0,120901161655071;0,298498063908215;0,298498063908215;0,120901161655071;0,403003872183571;1
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;02;04;79;020479;398;<5000m2;restauration;P>=30kW;1;0,3;3;0,421053953978352;0,180451694562151;1;1;167,579473683384;71,819774435736;398;398;0,16185010177263;0,0693643293311271;0,384392784448121;0,384392784448121;0,0693643293311271;0,231214431103757;1
