"BRANCHE";"SS_BRANCHE";"BAT_TYPE";"ID_AGREG";"GESTE";"PERIODE_DETAIL";"PERIODE_SIMPLE";"COD_BRANCHE";"COD_SS_BRANCHE";"COD_BAT_TYPE";"COD_PERIODE_DETAIL";"COD_PERIODE_SIMPLE";"BESOIN";"SURFACE_CHAUFFEE";"ETABLISSEMENTS";"COUT_PLAN_MIN";"COUT_PLAN_MAX";"COUT_FEN_MIN";"COUT_FEN_MAX";"COUT_MUR_MIN";"COUT_MUR_MAX";"COUT_TOIT_MIN";"COUT_TOIT_MAX";"BESOIN_INIT";"COUT_FENMUR_MOY_M2";"COUT_TOIT_MOY_M2";"COUT_FEN_MOY_M2";"COUT_MUR_MOY_M2";"COUT_PLAN_MOY_M2";"COUT_ENS_MOY_M2";"GAIN_TOT";"Smur/Sparois";"Sfen/Sparois";"Stoit/Sparois";"Splancher/Sparois";"REPART_FEN";"REPART_MUR";"REPART_PLAN";"REPART_TOIT";"REPART_PLANTOIT";"REPART_FENMUR";"REPART_ENS";"GAIN_FEN";"GAIN_FENMUR";"GAIN_ENS";"EXIGENCE";"CEE_TOIT";"CEE_PLAN";"CEE_FEN";"CEE_MUR";"CEE_FENMUR";"CEE_ENS"
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101420701";"Etat initial";"1981-1998";"1981-1998";"01";"01";"42";"07";"01";155972715.785483;1928240.74562275;6888;0;0;0;0;0;0;0;0;155972715.785483;0;0;0;0;0;0;0;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101420701";"ENS_MOD";"1981-1998";"1981-1998";"01";"01";"42";"07";"01";82918477.8720592;1928240.74562275;1217154.0139538;0;0;165277777.783041;231388888.896258;0;0;0;0;155972715.785483;0;0;119.9999997;0;0;0;0.468378315691439;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;1;0;0;0;0;0;0;0.468378315691439;0;0;"RT par element";0;0;1717.764327757;0;NA;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101420701";"ENS_BBC";"1981-1998";"1981-1998";"01";"01";"42";"07";"01";28601428.5755568;1928240.74562275;1217154.0139538;0;0;165277777.783041;231388888.896258;54541666.7744568;74375000.1469864;51764962.4308926;59159957.0638772;155972715.785483;158.57142825;52.4863039002707;205.286618593077;65.9849846760786;0;323.757907169426;0.816625437138033;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0.334486368002762;0.334486368002762;0;0.331027263994476;0.331027263994476;0.668972736005524;1;0.273150076486968;0.546300152973937;0.816625437138033;"BBC renovation";516.6666666667;0;1717.764327757;1684.0826742715;3401.8470020285;3918.5136686952
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101420701";"ENS_MAX";"1981-1998";"1981-1998";"01";"01";"42";"07";"01";18503912.0055527;1928240.74562275;1217154.0139538;0;0;264444444.452866;363611111.12269;61979166.7891554;79333333.4901189;59159957.0638772;66554951.6968619;155972715.785483;229.71428522;34.5158932295911;188.5714281;41.14285712;0;264.230178449591;0.88136443023149;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0.334486368002762;0.334486368002762;0;0.331027263994476;0.331027263994476;0.668972736005524;1;0.294804387154955;0.58960877430991;0.88136443023149;"Maximale";516.6666666667;0;1717.764327757;1684.0826742715;3401.8470020285;3918.5136686952
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421102";"Etat initial";"1999-2008";"1999-2008";"01";"01";"42";"11";"02";76473143.1842508;1598106.18670419;5670;0;0;0;0;0;0;0;0;76473143.1842508;0;0;0;0;0;0;0;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421102";"ENS_MOD";"1999-2008";"1999-2008";"01";"01";"42";"11";"02";76473143.1842508;1598106.18670419;959974.845606735;0;0;0;0;0;0;0;0;76473143.1842508;0;0;0;0;0;0;0;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0;0;0;0;0;0;0;0;0;0;"RT par element";0;0;0;0;NA;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421102";"ENS_BBC";"1999-2008";"1999-2008";"01";"01";"42";"11";"02";21743519.4603379;1598106.18670419;959974.845606735;0;0;136980529.94648;191772741.925071;47258282.9234265;63695946.5489661;0;0;76473143.1842508;159.857142535;0;302.648169734993;100.522428000297;0;0;0.715671168269491;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0.5;0.5;0;0;0;1;0;0.357835584134746;0.715671168269491;0;"BBC renovation";0;0;1717.764327757;1684.0826742715;3401.8470020285;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421102";"ENS_MAX";"1999-2008";"1999-2008";"01";"01";"42";"11";"02";12262779.6981732;1598106.18670419;959974.845606735;0;0;219168847.914367;301357165.882254;51367698.8298114;65750654.5021585;48494411.7815665;54556213.2542624;76473143.1842508;229.714285219999;34.1380402054351;188.571428099999;41.1428571199999;0;263.852325425434;0.839645930746853;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0.334486368002762;0.334486368002762;0;0.331027263994476;0.331027263994476;0.668972736005524;1;0.280850117783814;0.561700235567627;0.839645930746853;"Maximale";516.6666666667;0;1717.764327757;1684.0826742715;3401.8470020285;3918.5136686952
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421703";"Etat initial";"Av 1980";"Av 1980";"01";"01";"42";"17";"03";1353616764.81416;6115575.55496122;27935;0;0;0;0;0;0;0;0;1353616764.81416;0;0;0;0;0;0;0;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0;0;0;0;0;0;0;0;0;0;"Etat initial";0;0;0;0;NA;NA
"Bureaux Administration";"Administration";"immeuble peri urbain";"0101421703";"ENS_MOD";"Av 1980";"Av 1980";"01";"01";"42";"17";"03";294741113.035548;6115575.55496122;4178525.15751877;0;0;419353751.291814;629030626.93772;157257657.040209;220160719.856292;44790295.2386174;67185442.8579261;1353616764.81416;138.85714258;10.9859558195503;102.8571426;35.99999998;0;149.84309839955;0.782256602683247;0.334486368002762;0.334486368002762;0.165513631997238;0.165513631997238;0.334486368002762;0.334486368002762;0;0.331027263994476;0.331027263994476;0.668972736005524;1;0.261654169877699;0.523308339755398;0.782256602683247;"RT par element";516.6666666667;0;1717.764327757;1684.0826742715;3401.8470020285;3918.5136686952
