SCENARIO;BRANCHE;SS_BRANCHE;BAT_TYPE;PERIODE_DETAIL;PERIODE_SIMPLE;ENERGIE;BESOIN;SURFACE_CHAUFFEE;ETABLISSEMENTS;COUT_PLAN_MIN;COUT_PLAN_MAX;COUT_FEN_MIN;COUT_FEN_MAX;COUT_MUR_MIN;COUT_MUR_MAX;COUT_TOIT_MIN;COUT_TOIT_MAX
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine collége;1961-1980;Av 1980;Autres;7579047,7322613;112955,212195835;118929,84421288;3953432,42685422;5082984,54881257;12502148,6468582;17190454,3894301;3906921,45214321;5000859,45874331;9036416,9756668;10165969,0976251
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LP;1961-1980;Av 1980;Fioul;905817,238566998;14501,7780615382;22502,0067007933;507562,23215384;652580,012769223;1605090,91563448;2207000,00899741;501590,911135775;642036,366253792;1160142,24492306;1305160,02553844
BBC renovation;Santé Action Sociale;Centre accueil;Centre accueil;1981-1999;1981-1998;Electricité;10903487,8031407;930623,314803153;717973,100319717;11441214,2079887;14710132,5531284;46085197,6467282;57606497,0584103;0;0;0;0
Maximal;Commerce;Commerce de détail non alimentaire;Complexe brico;Av 1980;Av 1980;Electricité;5794386,96834961;592062,2246971;193095,222138173;6907392,62146617;8880933,3704565;15196263,550136;18649959,8115306;15936341,5293483;17613851,1640165;21708948,2388936;23682488,987884
Modeste bati;Habitat Communautaire;Foyer;Foyers;Av 1980;Av 1980;Electricité;58257767,9195564;1331352,99654311;1439462,34341155;12676203,336815;16901604,4490867;83435201,0548811;104294001,318601;48670533,9043022;68138747,4660231;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Grand brico;Av 1980;Av 1980;Electricité;325343202,504802;3891722,37429043;1758617,91508816;0;0;0;0;0;0;330796401,814686;369713625,557591
Modeste bati;Commerce;Process;Grand process;Av 1980;Av 1980;Fioul;88647805,4707883;1422251,15300274;1188452,03872171;0;0;113306008,712185;169959013,068278;14975119,4152318;19253724,9624409;4740837,17667582;9481674,35335164
Modeste bati;Commerce;Process;Grand process;1999-2008;1999-2008;Fioul;27310306,5459264;468840,26839133;370752,970762718;0;0;37350941,4443547;56026412,166532;4936497,32046725;6346925,12631503;1562800,89463776;3125601,78927553
Maximal;Commerce;Process;Grand process;1999-2008;1999-2008;Fioul;7577045,18100159;468840,26839133;370752,970762718;6251203,57855107;9376805,36782661;84039618,2497981;112052824,333064;5641711,22339114;7052139,02923893;2344201,34195665;3907002,23659442
Maximal;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Electricité;23822491,9608331;2384211,85477746;2334855,43925228;0;0;326977624,980608;449594234,348337;76635381,0038434;98093287,6849196;78050280,5865361;87806565,6598531
Maximal;Bureaux Administration;Administration;immeuble peri urbain;Av 1980;Av 1980;Gaz;14622061,5885112;1619252,52733255;1396115,53611193;21553814,143542;27712046,7559826;194310302,79413;277586146,848757;52047402,6353453;66620675,3732421;18474697,8373217;24632930,4497623
Maximal;Bureaux Administration;Bureaux;immeuble peri urbain;1981-1998;1981-1998;Fioul;8844418,20246008;876177,169170193;605102,074802847;0;0;120161440,042937;165221980,059038;28162837,5648244;36048432,0829753;28856939,7899204;32464057,2636604
Modeste bati;Commerce;Petit commerce alimentaire;Petit boulangerie;1981-1998;1981-1998;Fioul;9112012,71363271;120290,099999999;134826,321773354;4811603,99999999;6014504,99999999;24283563,9374999;29395893,1874999;0;0;0;0
Maximal;Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Av 1980;Av 1980;Gaz;10172770,7727922;1218842,27566596;1494491,19248207;13711975,6012421;16759081,290407;305827246,857537;344055652,714729;91056784,0882932;116552683,633015;27423951,2024842;30471056,8916491
BBC renovation;Habitat Communautaire;Maison de pré-retraite;Maison de pré-retraite;1989-1999;1981-1998;Electricité;1939155,65053396;120596,666666666;98892,7783333333;1340846,11111111;1723944,99999999;7557730,48621066;9447163,10776333;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Lycée d’enseignement général et technologique (LEGT);1981-1999;1981-1998;Electricité;5358709,8563973;1008587,81480966;724127,476498043;16034096,432987;20615266,8424119;78340007,4511607;107717510,245346;24481252,3284877;31336002,9804643;36649363,275399;41230533,6848239
Modeste bati;Commerce;Process;Petit process;1999-2008;1999-2008;Electricité;60827498,3564659;1366294,86466475;1199886,96893076;54651794,5865902;68314743,2332378;275820775,804197;333888307,552449;0;0;0;0
BBC renovation;Commerce;Process;Petit process;1999-2008;1999-2008;Fioul;19847779,2218035;1064727,09366642;1242222,84677007;47912719,214989;58559990,1516533;214941782,033909;260192683,514732;1996363,30062454;3194181,28099927;0;0
Modeste bati;Commerce;Commerce de détail non alimentaire;Petit mode;1999-2008;1999-2008;Electricité;6498056,00072668;243908,26959984;216556,62224275;9756330,7839936;12195413,479992;49238981,9254677;59605083,3834609;0;0;0;0
BBC renovation;Café Hôtel Restaurant;Restaurant;Petit restaurant traditionnel;1981-1998;1981-1998;Gaz;2733979,39563938;110915;280130,925;4991175;6100325;19756734,375;23916046,875;1039828,125;1663725;0;0
BBC renovation;Commerce;Grand commerce alimentaire;Superette;Av 1980;Av 1980;Electricité;3143692,21271981;359183,5498081;559932,120559853;16163259,7413645;19755095,2394455;96680238,7096054;117033973,174785;897958,87452025;1436734,1992324;0;0
Modeste bati;Commerce;Grand commerce alimentaire;Supermarché;1981-1998;1981-1998;Fioul;56239487,427377;749843,020605299;451693,58070319;0;0;0;0;0;0;67485871,8544769;74984302,0605299
BBC renovation;Santé Action Sociale;Centre accueil;Centre accueil;2000-2007;1999-2008;Gaz;36229914,5015261;2757020,44267236;4858551,81168566;30733987,1890761;39515126,385955;136529818,236395;170662272,795494;0;0;0;0
Maximal;Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;1961-1980;Av 1980;Electricité;2275082,20319127;28685,6177109629;35554,2401051593;1003996,6198837;1290852,79699333;4082132,14054765;5612931,69325302;1275666,29392114;1632852,85621906;2294849,41687703;2581705,59398666
Modeste bati;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;1961-1980;Av 1980;Urbain;25342511,1935155;104000,573512932;180252,535911259;3120017,20538797;4160022,94051729;7194392,60560044;10072149,6478406;2877757,04224017;4028859,85913625;0;0
Maximal;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;1981-1998;1981-1998;Fioul;824699,563016181;59872,8439893795;43046,0083752937;748410,549867244;823251,604853968;10373524,595797;12102445,3617632;3806138,86451644;4440495,34193584;1496821,09973448;1646503,20970793
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;1999-2008;1999-2008;Fioul;1852493,67956499;30900,8560738195;19123,5163639226;0;0;5353859,43199579;6246169,33732842;0;0;0;0
BBC renovation;Commerce;Grand commerce alimentaire;Superette;1999-2008;1999-2008;Urbain;613187,738227388;43107,9099436;64341,2931422405;1939855,947462;2370935,046898;11603212,4128348;14045993,9734316;107769,774859;172431,6397744;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat college;1961-1980;Av 1980;Fioul;531385,042447287;6199,6013280098;7045,5539280078;61996,0132800977;82661,3510401303;303496,82401232;424895,553617249;121398,728984968;169958,220578955;0;0
BBC renovation;Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;1981-1998;1981-1998;Fioul;2206710,70810554;128034,726485528;117958,382964987;0;0;22183201,8627572;25880402,1732167;6104411,2323787;7460947,06179619;2560694,52971056;2880781,34592438
Maximal;Enseignement Recherche;Enseignement secondaire;Internat LEGT;avant 1960;Av 1980;Urbain;231762,675736866;14217,1414224041;17837,8246629901;165866,649928047;213257,121336061;1078783,68493562;1391978,94830402;347994,735298864;445433,261182546;379123,771264109;426514,242672123
Modeste bati;Enseignement Recherche;Enseignement supérieur et recherche;R&D sciences physiques et naturelles;2000-2007;1999-2008;Fioul;2118297,120372;55363,0495584972;170528,106019904;0;0;0;0;0;0;0;0
Maximal;Enseignement Recherche;Enseignement secondaire;Cantine LEGT;2000-2007;1999-2008;Urbain;1876825,67323947;25703,9184337078;27430,5988978141;899637,145179774;1156676,32951685;2844970,16842207;3911833,98158035;889053,177631898;1137988,06736882;2056313,47469662;2313352,6590337
BBC renovation;Enseignement Recherche;Enseignement secondaire;Lycée professionnel (LP);avant 1960;Av 1980;Electricité;1915967,45657787;318465,136257484;192649,920051315;4413560,54358587;5674577,84175327;13141070,0336775;16233086,5121899;6802436,25272722;9276049,43553712;8827121,08717175;10088138,3853391
Modeste bati;Transport;Transport aérien;nr;1981-1998;1981-1998;Gaz;6155159,85224659;38834,9566979145;57190,7764414308;0;0;0;0;0;0;0;0
Modeste bati;Transport;Transport aérien;nr;Av 1980;Av 1980;Fioul;40564519,5063268;182696,373033296;246294,32402432;0;0;0;0;0;0;0;0
BBC renovation;Sport Loisir Culture;Sport;Vestiaire et rangement;Av 1980;Av 1980;Urbain;7438998,32471857;128648,255;654744,805;0;0;0;0;17183731,1995281;23432360,7266293;9005377,85;10291860,4
Maximal;Sport Loisir Culture;Culture;Petite salle de spectacle;1981-1998;1981-1998;Autres;616470,393001807;48120,4823188;39315,359514686;1924819,292752;2887228,939128;1126019,28625992;1501359,04834656;950860,730619488;1188575,91327436;721807,234782;1203012,05797
Maximal;Sport Loisir Culture;Loisir;nr;1999-2008;1999-2008;Non chauffé;0;0;0;0;0;0;0;0;0;0;0
Maximal;Sport Loisir Culture;Culture;Petit cinéma;1981-1998;1981-1998;Fioul;301933,300559598;36084,0660473703;20605,933912688;1443362,64189481;2165043,96284222;7794158,266232;10392211,0216426;808283,079461096;1010353,84932637;541260,990710555;902101,651184259
BBC renovation;Sport Loisir Culture;Loisir;Vestiaire et rangement;Av 1980;Av 1980;Gaz;1101091,16422546;10538,7490682299;22236,5562880649;0;0;0;0;1407675,76806807;1919557,86554737;737712,434776099;843099,925458399
BBC renovation;Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;1981-1998;1981-1998;Autres;76301,6574526365;1200;714;0;0;66240;99360;7776;9720;0;0
Modeste bati;Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;1999-2008;1999-2008;Urbain;116957,872105167;513;305,235;0;0;0;0;0;0;0;0
BBC renovation;Transport;Transport ferroviaire;nr;1981-1998;1981-1998;Electricité;2120203,20727701;35907,9022268746;35907,9022268746;0;0;0;0;0;0;0;0
Modeste bati;Enseignement Recherche;Enseignement secondaire;Internat college;2000-2007;1999-2008;Autres;369831,306048421;3602,6642353065;3602,6642353065;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement supérieur et recherche;université;1961-1980;Av 1980;Autres;2751336,06779189;272021,784557321;175929,36281552;3173587,48650208;4080326,76835981;19660191,0953943;24029122,4499264;9611648,97997056;13106794,0635962;6347174,97300416;7253914,2548619
Modeste bati;Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Av 1980;Av 1980;Urbain;232568,637035477;2708;1611,26;0;0;0;0;0;0;0;0
Maximal;Commerce;Grand commerce alimentaire;Hypermarché;1999-2008;1999-2008;Urbain;407396,603220329;20967,631096;10860,5309983014;733867,08836;943543,39932;689223,499113841;839054,694573372;526060,390403913;573884,062258814;2516115,73152;2725792,04248
BBC renovation;Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;Av 1980;Av 1980;Fioul;84917,3163719222;2014;1047,28;0;0;0;0;0;0;0;0
BBC renovation;Enseignement Recherche;Enseignement primaire;Cantine préélémentaire;1961-1980;Av 1980;Fioul;14197052,6527132;147843,544688772;424017,954967033;0;0;11834440,9222948;14464316,6828047;5785726,6731219;7889627,28152987;10349048,1282141;11827483,5751018
