"BRANCHE";"BAT_TYPE";"PRODUCTION_CHAUD";"ENERGIE";"CINT";"COUT_VARIABLE"
Commerce;Petit librairie;PAC performant;Electricité;-0.23081;18.34124
Enseignement Recherche;Collège;Autre système centralisé performant;Autres;8.729114;6.783506
Enseignement Recherche;Internat LP;Chaudière gaz;Gaz;5.000003;5.289017
Café Hôtel Restaurant;Petite cantine;Chaudière gaz;Gaz;5;20.80994
Sport Loisir Culture;Petite salle multisport;Chaudière gaz;Gaz;5.00001;11.28557
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Autre système centralisé;Autres;8.18151;12.97741
Café Hôtel Restaurant;Petit restaurant traditionnel;Chaudière condensation gaz;Gaz;8.93464;21.55026
Commerce;Petit mode;PAC;Electricité;-0.89311;15.81582
Habitat Communautaire;Résidentiel;Autre système centralisé;Autres;14.08873;6.708037
Santé Action Sociale;Hopital bloc;Chaudière gaz;Gaz;5.000002;4.621422
Bureaux Administration;immeuble peri urbain;Electrique direct;Electricité;-4.48147;17.97594
Enseignement Recherche;Internat LEGT;Chaudière condensation gaz;Gaz;7.364632;5.235908
Enseignement Recherche;école;Chaudière condensation fioul;Fioul;10.35419;8.605342
Commerce;Grand brico;Chaudière condensation gaz;Gaz;7.863389;7.034891
Sport Loisir Culture;Immeuble péri urbain;Chaudière fioul;Fioul;-3.67129;15.61604
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Autres;14.17443;13.34916
Sport Loisir Culture;Petite salle de spectacle;Chaudière condensation gaz;Gaz;9.36098;8.92277
Commerce;Grand librairie;Electrique direct performant;Electricité;2.484461;9.434979
Bureaux Administration;immeuble rénové;Autre système centralisé;Autres;7.68426;10.8477
Café Hôtel Restaurant;Petit restaurant rapide;Rooftop;Electricité;0.81517;29.51679
Sport Loisir Culture;Piscine;Tube radiant performant;Gaz;7.263178;3.824932
Sport Loisir Culture;Grand bar café tabac;Autre système centralisé performant;Urbain;7.095053;9.907227
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Electrique direct performant;Electricité;1.36216;14.25154
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chaudière condensation fioul;Fioul;4.20056;13.961
Commerce;Entrepôt;Autre système centralisé performant;Autres;8.992653;5.787777
Habitat Communautaire;Résidentiel;Chaudière condensation fioul;Fioul;4.3811;13.09972
Commerce;Complexe brico;Electrique direct performant;Electricité;2.636477;7.767433
Café Hôtel Restaurant;Petit bar café tabac;Chaudière condensation gaz;Gaz;9.26751;13.3209
Enseignement Recherche;R&D en sciences humaines et sociales;PAC;Electricité;2.42341;10.90923
Enseignement Recherche;école;Autre système centralisé;Autres;7.26579;7.59305
Santé Action Sociale;Hopital pavillonnaire;Autre système centralisé performant;Urbain;1.47101;15.67267
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chaudière condensation fioul;Fioul;3.974405;8.270145
Café Hôtel Restaurant;Grand restaurant rapide;Chaudière gaz;Gaz;5;12.10679
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Chaudière condensation gaz;Gaz;7.572289;3.980731
Sport Loisir Culture;Patinoire;PAC performant;Electricité;7.13156;6.34378
Bureaux Administration;plateau mince;Chaudière condensation fioul;Fioul;4.739427;9.935263
Commerce;ZAC Mode;Autre système centralisé;Urbain;6.55922;9.0866
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Electrique direct;Electricité;-2.83195;16.34949
Santé Action Sociale;Garderie;PAC performant;Electricité;5.106389;9.741311
Café Hôtel Restaurant;Grand restaurant traditionnel;Electrique direct performant;Electricité;3.20044;12.15643
Commerce;Petit boulangerie;Autre système centralisé;Urbain;4.83795;13.18519
Bureaux Administration;immeuble rénové;Chaudière condensation fioul;Fioul;3.80771;11.81464
Habitat Communautaire;Résidence universitaire;Chaudière condensation fioul;Fioul;3.960854;7.811836
Commerce;Petit process;Chaudière gaz;Gaz;5;9.42136
Commerce;Superette;Chaudière condensation gaz;Gaz;7.687192;6.871768
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Autre système centralisé performant;Urbain;4.567301;9.163869
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Autre système centralisé;Autres;7.623253;7.401767
Santé Action Sociale;Hopital pavillonnaire;Chaudière condensation fioul;Fioul;0.46758;15.19535
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Autre système centralisé;Urbain;0.33808;11.52173
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Rooftop;Electricité;5.279584;6.866686
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Chaudière gaz;Gaz;5;4.399777
Enseignement Recherche;Elémentaire;Autre système centralisé;Urbain;4.248932;9.408858
Commerce;Supermarché;Chaudière gaz;Gaz;5.000004;6.022316
Enseignement Recherche;Cantine préélémentaire;Electrique direct performant;Electricité;0.03174;27.00262
Sport Loisir Culture;Salle non spécialisée;Autre système centralisé performant;Autres;6.89914;13.119
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Chaudière fioul;Fioul;-1.87724;15.37678
Commerce;Grand Mode;Electrique direct;Electricité;0.402961;9.811719
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Chaudière condensation gaz;Gaz;7.893928;5.346652
Sport Loisir Culture;Petit cinéma;Autre système centralisé performant;Autres;12.69947;12.74378
Habitat Communautaire;Résidence universitaire;Autre système centralisé;Autres;10.1239;4.792238
Café Hôtel Restaurant;Grand restaurant rapide;Electrique direct performant;Electricité;2.13838;18.10216
Habitat Communautaire;Foyers;Electrique direct;Electricité;-1.34229;12.56175
Enseignement Recherche;école;Autre système centralisé performant;Urbain;5.992145;8.272025
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;PAC;Electricité;0.56014;11.58613
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Autre système centralisé performant;Autres;11.73687;7.983603
Sport Loisir Culture;Salle non spécialisée;Tube radiant performant;Gaz;11.32112;5.036226
Commerce;Grand process;Autre système centralisé performant;Urbain;8.977843;9.004417
Sport Loisir Culture;Vestiaire et rangement;Cassette rayonnante performant;Electricité;8.65048;14.45751
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Electrique direct;Electricité;-2.01753;13.26927
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Chaudière gaz;Gaz;4.999996;6.096294
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;PAC performant;Electricité;-4.83703;29.10231
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Electrique direct performant;Electricité;0.87309;17.58016
Santé Action Sociale;Cabinet médical;Electrique direct performant;Electricité;2.447559;9.229301
Santé Action Sociale;Hopital pavillonnaire;Autre système centralisé;Autres;5.76824;13.45232
Bureaux Administration;immeuble résidentiel;Chaudière fioul;Fioul;-2.55417;23.858
Sport Loisir Culture;Patinoire;Rooftop performant;Electricité;10.57288;2.902461
Sport Loisir Culture;Petite salle de spectacle;Cassette rayonnante;Electricité;-5.26212;19.86789
Bureaux Administration;plateau large bureau paysagés;Electrique direct;Electricité;-0.258304;9.414031
Café Hôtel Restaurant;Petit restaurant rapide;PAC;Electricité;17.88355;12.44841
Sport Loisir Culture;Musée;Chaudière fioul;Fioul;-0.50563;11.40966
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Autre système centralisé;Urbain;-0.93825;14.76001
Enseignement Recherche;Cantine collége;Chaudière condensation fioul;Fioul;-3.36951;29.46108
Bureaux Administration;immeuble rénové;Autre système centralisé;Urbain;0.90411;13.23963
Enseignement Recherche;Cantine élémentaire;Chaudière fioul;Fioul;-13.80959;32.1752
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Rooftop;Electricité;3.06925;17.93371
Enseignement Recherche;Cantine LEGT;PAC;Electricité;-2.43352;31.92045
Sport Loisir Culture;Grand bar café tabac;Chaudière condensation fioul;Fioul;2.80519;11.6103
Bureaux Administration;immeuble peri urbain;Chaudière gaz;Gaz;5.000001;8.586429
Enseignement Recherche;Lycée professionnel (LP);Electrique direct;Electricité;1.073663;9.729277
Café Hôtel Restaurant;Petite cantine;Electrique direct;Electricité;13.81962;14.88112
Santé Action Sociale;Centre accueil;Chaudière condensation gaz;Gaz;6.738649;4.554431
Enseignement Recherche;Internat LEGT;Electrique direct performant;Electricité;0.56517;14.08927
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Rooftop performant;Electricité;5.43527;18.83001
Habitat Communautaire;Maison de pré-retraite;PAC performant;Electricité;2.94839;13.48491
Commerce;Grand brico;Electrique direct performant;Electricité;1.80099;13.08533
Sport Loisir Culture;Petit cinéma;Electrique direct;Electricité;-2.06034;18.4353
Sport Loisir Culture;Grande salle multisport;Autre système centralisé performant;Autres;7.00316;4.80358
Sport Loisir Culture;Petite salle de spectacle;Electrique direct performant;Electricité;0.02699;17.34229
Bureaux Administration;immeuble résidentiel;Autre système centralisé;Urbain;1.86081;19.41015
Commerce;ZAC Mode;Autre système centralisé;Autres;9.833582;8.176678
Sport Loisir Culture;Immeuble péri urbain;DRV performant;Electricité;9.1293;6.54782
Enseignement Recherche;Internat LP;Electrique direct performant;Electricité;0.69885;13.45594
Enseignement Recherche;Cantine collége;Autre système centralisé;Autres;2.1851;22.21134
Commerce;Grand librairie;Chaudière condensation gaz;Gaz;7.209047;4.815313
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé;Autres;8.376443;9.851047
Sport Loisir Culture;Piscine;Electrique direct;Electricité;3.176496;7.833804
Commerce;Complexe brico;Chaudière condensation gaz;Gaz;6.909109;3.430251
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;PAC;Electricité;-5.6068;26.60976
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Autre système centralisé;Urbain;0.26102;16.19013
Habitat Communautaire;Résidence universitaire;Autre système centralisé performant;Urbain;8.456433;5.132967
Commerce;Petit boulangerie;Chaudière fioul;Fioul;-2.5746;18.28259
Enseignement Recherche;Cantine LP;PAC;Electricité;-4.33374;30.67276
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chaudière fioul;Fioul;-9.1843;26.69093
Santé Action Sociale;Hopital maison;Autre système centralisé performant;Autres;10.03706;8.841233
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Electrique direct performant;Electricité;2.553902;8.807508
Habitat Communautaire;Résidentiel;Autre système centralisé;Urbain;9.746378;7.458262
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chaudière condensation gaz;Gaz;10.60415;11.20611
Enseignement Recherche;Lycée d’enseignement général et technologique (LEGT);Autre système centralisé performant;Autres;8.950255;7.798795
Café Hôtel Restaurant;Grand bar café tabac;Chaudière condensation fioul;Fioul;3.44697;11.20982
Commerce;Supermarché;Electrique direct performant;Electricité;2.34559;12.06081
Commerce;ZAC Mode;Chaudière condensation fioul;Fioul;2.36783;12.07507
Enseignement Recherche;Cantine LP;Chaudière condensation gaz;Gaz;9.27346;14.16148
Commerce;Hypermarché;Rooftop performant;Electricité;4.5057;11.35857
Bureaux Administration;plateau mince;Autre système centralisé;Autres;7.16625;10.36634
Commerce;Petit process;Electrique direct;Electricité;0.49556;13.70598
Bureaux Administration;plateau large bureaux cloisonnés;Electrique direct;Electricité;-1.4476;11.66292
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;PAC performant;Electricité;-1.27064;27.47712
Commerce;Grand process;Chaudière condensation fioul;Fioul;2.11624;11.46805
Commerce;Grand commerce de gros;Electrique direct;Electricité;-0.682576;10.65176
Enseignement Recherche;Cantine préélémentaire;Chaudière condensation gaz;Gaz;8.63036;13.31659
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Electrique direct performant;Electricité;1.10697;11.59112
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé performant;Urbain;6.11143;12.02287
Commerce;Petit poissonnerie;Chaudière condensation gaz;Gaz;8.015423;9.676707
Bureaux Administration;plateau mince;Autre système centralisé performant;Urbain;2.70912;12.27224
Enseignement Recherche;Cantine collége;Autre système centralisé performant;Urbain;-2.41611;26.16204
Sport Loisir Culture;Musée;Autre système centralisé;Urbain;2.682454;7.925676
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Chaudière gaz;Gaz;4.999996;7.180194
Sport Loisir Culture;Grande salle de spectacle;Tube radiant performant;Gaz;5.73368;3.417524
Santé Action Sociale;Hopital bloc;Electrique direct performant;Electricité;-0.79023;13.81232
Enseignement Recherche;Collège;Autre système centralisé performant;Urbain;5.817728;7.905202
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Electrique direct performant;Electricité;1.48755;11.35814
Sport Loisir Culture;Grand bar café tabac;Autre système centralisé;Autres;8.48489;8.44145
Café Hôtel Restaurant;Grand restaurant rapide;Chaudière condensation gaz;Gaz;9.87388;10.46964
Sport Loisir Culture;Vestiaire et rangement;PAC;Electricité;7.44011;13.4329
Commerce;Superette;Electrique direct performant;Electricité;4.29812;11.82523
Commerce;Petit brico;Chaudière fioul;Fioul;1.00905;12.49167
Enseignement Recherche;R&D sciences physiques et naturelles;Chaudière condensation gaz;Gaz;7.394207;4.659823
Santé Action Sociale;Cabinet médical;Chaudière condensation gaz;Gaz;6.564492;3.456898
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chaudière condensation gaz;Gaz;9.824939;9.805031
Café Hôtel Restaurant;Grande cantine;Autre système centralisé performant;Autres;11.03752;11.48404
Enseignement Recherche;Elémentaire;Autre système centralisé;Autres;7.883114;8.822156
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé performant;Autres;5.992118;7.705192
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Rooftop performant;Electricité;9.01046;17.19602
Café Hôtel Restaurant;Grand restaurant traditionnel;Chaudière gaz;Gaz;4.999995;8.012885
Sport Loisir Culture;Immeuble péri urbain;Autre système centralisé;Urbain;1.36513;11.16796
Enseignement Recherche;R&D en sciences humaines et sociales;PAC performant;Electricité;3.81544;12.03984
Commerce;Petit librairie;Chaudière fioul;Fioul;1.35168;12.37204
Sport Loisir Culture;Petite salle de spectacle;Cassette rayonnante performant;Electricité;0.02699;17.34229
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Rooftop performant;Electricité;7.79514;10.42785
Café Hôtel Restaurant;Petit Hotel sans restaurant Luxe;Autre système centralisé performant;Autres;6.49675;15.05338
Commerce;Entrepôt;Autre système centralisé;Autres;7.10386;5.32495
Enseignement Recherche;Collège;Chaudière condensation fioul;Fioul;4.22467;7.10631
Sport Loisir Culture;Petit cinéma;Autre système centralisé performant;Urbain;7.25589;14.1031
Commerce;Grand librairie;Electrique direct;Electricité;0.296685;9.726335
Café Hôtel Restaurant;Petit bar café tabac;Rooftop;Electricité;8.0825;17.29421
Sport Loisir Culture;Vestiaire et rangement;Cassette rayonnante;Electricité;2.9978;16.43363
Enseignement Recherche;école;Autre système centralisé performant;Autres;10.064;7.606235
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Electrique direct performant;Electricité;0.68616;12.69448
Santé Action Sociale;Centre accueil;Electrique direct performant;Electricité;1.96769;11.07656
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Chaudière condensation fioul;Fioul;3.13604;9.63029
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Autre système centralisé;Urbain;-3.401;24.00896
Enseignement Recherche;Elémentaire;Chaudière condensation fioul;Fioul;2.556056;9.775994
Sport Loisir Culture;Petit cinéma;Chaudière gaz;Gaz;5;10.49688
Bureaux Administration;immeuble peri urbain;Electrique direct performant;Electricité;-0.9769;17.02462
Commerce;Petit poissonnerie;PAC;Electricité;-7.47929;24.04621
Habitat Communautaire;Résidentiel;Chaudière fioul;Fioul;0.91849;13.78107
Commerce;Petit mode;PAC performant;Electricité;-0.52987;18.27607
Sport Loisir Culture;Piscine;Autre système centralisé performant;Urbain;4.978495;9.910985
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chaudière condensation fioul;Fioul;5.298468;9.723122
Commerce;Grand commerce de gros;Autre système centralisé performant;Urbain;7.266707;8.401733
Enseignement Recherche;Internat LP;Chaudière condensation gaz;Gaz;7.287835;4.947945
Santé Action Sociale;Hopital maison;Chaudière gaz;Gaz;5;4.577955
Enseignement Recherche;Collège;Autre système centralisé;Autres;6.328437;6.716073
Commerce;Entrepôt;Chaudière condensation fioul;Fioul;3.796852;6.466248
