"COD_BRANCHE";"COD_BAT_TYPE";"COD_PRODUCTION_CHAUD";"COD_ENERGIE";"ANNEE";"SURFACES";"BESOIN";"CONSOMMATION_EF"
"01";"42";"01";"01";"2010";858788.6762999999;127316266.2541;191866942.37260002
"01";"42";"01";"06";"2010";2739608.860099998;433141237.5175001;639736946.2760999
"01";"42";"03";"03";"2010";4600627.519500001;706722207.2497002;1282327082.9674997
"01";"42";"04";"04";"2010";15236604.784899995;2361137016.840801;3248200154.0939994
"01";"42";"05";"02";"2010";5155929.9946;882880574.3603998;359332758.51539993
"01";"42";"06";"02";"2010";9583299.825699996;1337128089.0501995;1453400132.128
"01";"42";"21";"01";"2010";17573.0911;544125.8123999999;710219.732
"01";"42";"21";"06";"2010";33535.3436;1038374.2945000001;1331566.0835999995
"01";"42";"23";"03";"2010";11056.2964;342342.5181999999;475378.0459
"01";"42";"24";"04";"2010";248103.6976;17760566.9677;18687017.716500003
"01";"42";"25";"02";"2010";136555.2444;16959384.7234;5337671.672300001
"01";"42";"26";"02";"2010";102646.4692;3178302.1610000003;3178302.1001999998
"01";"44";"01";"01";"2010";1295082.3708000001;146650925.66229996;220847376.62260005
"01";"44";"01";"06";"2010";4727400.114100001;553471936.7507;817370012.9016
"01";"44";"03";"03";"2010";7295770.940300001;836954784.0542;1510203440.2175
"01";"44";"04";"04";"2010";26417994.934000008;3094291094.4817996;4229961519.610399
"01";"44";"06";"02";"2010";16423514.483600002;1700131695.8574998;1847969275.6409004
"01";"44";"09";"02";"2010";7525973.414100002;892467202.2791;303055170.01070005
"01";"44";"21";"01";"2010";33791.1308;585406.6736000001;763353.3171
"01";"44";"21";"06";"2010";39290.7753;680683.9998;875729.6019
"01";"44";"23";"03";"2010";23624.4583;409276.4941;565911.1616
"01";"44";"24";"04";"2010";634717.0260000001;49738152.47509999;52098202.5379
"01";"44";"26";"02";"2010";128275.283;2222275.6372;2222275.6327
"01";"44";"29";"02";"2010";227201.1001;19758432.941500004;5814724.6948
"01";"45";"01";"01";"2010";373436.7197;60587267.56970001;90767446.48809998
"01";"45";"01";"06";"2010";2021927.3357;352781190.3284001;520249454.098
"01";"45";"03";"03";"2010";1499478.8151;247786382.45970002;455657148.111
"01";"45";"04";"04";"2010";8187067.322600001;1390002769.9402003;1936746198.9665
"01";"45";"06";"02";"2010";5457114.692299999;908346365.8350999;987333055.2518
