"scenario";"SYSTEME_CHAUD";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"S2 AMS";"nr";23.2266706258;23.186414625;23.1461735434;23.1060389824;23.0659407808;23.0259866475;29.4337432872;28.9838117234;30.5181361418;30.16004002;29.7564706146;34.1035342241;33.5440913105;32.9926478334;32.4791975173;32.2066205255;36.980992985;38.58249248728;39.4312187381;40.4243807012;40.39381458455;40.62332512962;41.4285382141;42.05772213565;42.22743299922;42.43125686674;43.01526141281;43.19650506107;43.47996166092;43.94405606363;43.99530503502;44.01081601792;43.87132719484;59.740310366528;59.786240374005;59.853660146411;60.411679955075;60.284740713626;60.031107573064;56.044061581606;55.867235063357
"S2 AMS";"Autre système centralisé performant";0.006679904;0.818081062;1.302328157;3.207242383;7.44544351619;7.190391569;29.2173266569;28.5651056205;9.9001315083;11.846482435853;12.184843335306;14.4900922030493;14.6197476576418;15.070814540624;17.42175664582;24.261300858748;23.869466614622;23.799317075387;26.743912693886;33.062242585087;34.2673403415201;42.0004851996061;59.207205554428;72.01868091344;85.19431263103;98.1673042633114;113.361272841504;127.06683359962;135.74528675746;145.156261873552;148.355236006578;158.080360661615;167.622480828061;173.507474568984;183.570146870777;190.250800404594;198.128934281486;206.888414518644;214.835782529121;196.204332577111;207.549136664763
"S2 AMS";"Autre système centralisé";76.7688819772;92.402410206;103.8886946705;99.549614558;90.477820452;100.708370231;103.804082452592;113.032777093598;77.742356277863;86.6194217661869;92.300878107524;106.378167213639;116.82566684673;119.274994398209;121.021880096147;115.331873271835;121.341101086017;127.360650086186;130.945651826278;132.902185011572;169.329995597448;183.428801630303;205.01830513344;206.906276799645;217.361030246862;219.852356983198;228.339230465812;230.273938066068;238.036653125496;236.50718018664;243.445063231612;257.040294134095;269.397192857383;408.649901771969;424.854604328388;447.285934890283;479.776677192319;507.130122429336;519.661428656357;452.441146098618;474.215589767399
"S2 AMS";"DRV performant";2.29697381;4.506401977;4.162395325;4.070925962;3.864040172;3.287608102;3.3152525292;3.389428711477;3.530358670991;7.288650946612;7.207765526048;5.2236186464;7.612549949045;8.314952952155;8.163152840733;14.598838769313;17.181442951454;19.399710091341;22.01589534082;24.15335554055;24.751166535316;22.3928981305;24.82139648711;23.0724194757;19.93522971403;19.39585528337;18.21203041091;17.34884702147;15.28141852625;14.37631751079;14.72214633561;14.56623578904;13.96063327025;5.429554740632;5.625588297386;5.103142978738;4.614267587202;4.16849023402;3.807074473355;3.419252478551;3.186465924321
"S2 AMS";"DRV";NA;NA;0.0028514819;0.01730422;NA;NA;0.02100428;0.046197258654;0.080314852;0.2949034192;0.538902839976;0.864460305671;1.3606092693;1.721075629805;2.344209753829;3.014716276971;3.942116209791;8.95222866804;22.190045309;27.38090695992;26.503421305516;24.69717950847;16.39105190102;13.2651085551;13.15633720279;12.60280071059;12.12842789143;11.0576192614;10.94570354922;10.68180407984;10.63581301681;10.67711576691;10.25614559295;4.541857537333;3.893914119857;3.581314866963;3.256546381685;2.9848244656;2.60697916084;2.09562749349;1.84454996055
"S2 AMS";"Cassette rayonnante performant";NA;NA;NA;NA;NA;NA;NA;0.003008123;0.01593342;0.030032665;0.033258844;0.031772742;0.033816378;0.0367730133;0.0467714289;0.12017319336;0.3067140984;0.54379965382;0.74533757062;0.852644137156;0.818257217724;0.822969417849;0.884062193882;0.973655359893;0.85317116131;0.87050347692;0.866563584255;0.861791094127;1.07574426294;0.8153012031;1.51640658729;1.100490917171;0.88123553884;1.23628009464;1.0786732685;1.08334616957;1.47720304556;1.1785006107;1.0976837327;1.2105222667;1.0015580394
"S2 AMS";"Cassette rayonnante";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00184704;0.001197944;0.001491674;0.0006405476;NA;NA;0.09276414;0.028561439;0.061497896188;0.10584138109;0.12176326397;0.12677988529;0.14544462288;0.14168788554;0.15114612048;0.15123713573;0.1586145646;0.1565890979;0.6410614944;0.312643058;0.2661042857;0.42258207364;0.4151225565;0.43208392002;0.43902215589;0.45802367222;0.48546253485;0.677007187;0.554768243
"S2 AMS";"Tube radiant performant";10.79702842;10.419961389;10.210615294;9.983655205;9.859308411;10.16276987;14.5797575478;13.79635066751;12.637738684;11.299172459036;10.22347464781;10.4208780777;9.2684671739;8.05730443851;6.61477789589;5.90097458463;4.50890495556;3.4548077656879;2.9025428654054;2.23738687386;1.66803573612;1.34961647006;1.085027683401;0.937654039512;0.758813161641;0.638670089783;0.708498221324;0.54538101419;0.36884659762;0.49171635894;0.5771907499;0.6446127319;1.3928930789;0.8512802852;0.858038914923;0.888660751;0.710307485;0.698508333;0.8549648479;2.104393941;2.142344121
"S2 AMS";"Tube radiant";1.8130131457;1.5280827426;0.9113129882;1.2773918211;1.6547182662;1.6975311603;1.4436769018;1.388588653;1.3630086503;1.386754512262;1.344109008113;1.14427290478;0.9203470152;0.72371352525;0.638815043494;0.4797655565;0.41113601468;0.36058499822;0.26591088468;0.21191290514;0.257036233399;0.21748654184;0.03566352009;0.02079280761;0.01561354;0.01396524;0.0163669;0.021369347;0.01683345;0.0200490537;0.0366239046;0.047041906;0.107957905;0.122150032;0.1047392924;0.0919427768;0.0915805357;0.0913353984;0.1476545763;0.3279331938;0.2658802813
"S2 AMS";"Rooftop performant";11.82045357405;10.45545061815;9.93392744306;10.08749697759;10.64239446487;11.23284523736;20.44618509129;20.61621399813;21.18326134605;25.012458491862;27.874564523061;35.025167373351;35.829099450111;35.61016456291;40.135465389534;43.255355390103;44.698649996252;48.288515970785;49.994045086783;54.642032794744;84.619167979913;87.625994207088;79.252652150761;81.293682911037;80.786658248502;77.738228533978;78.057528739044;74.777606748168;74.563714583887;74.567540256818;74.415437541871;77.932416012317;71.189583814157;71.660643942074;66.9552500287053;67.5529526777406;68.5271012978166;70.8217550536814;71.2641862784204;64.6447980100002;65.2755358862657
"S2 AMS";"Rooftop";56.0280585259;84.0462762308;94.00858282308;91.78589763197;81.6559692442;76.240152734677;88.36217217847;95.12910316333;147.72802278521;143.344647697625;141.438971968328;151.205964149135;192.534361061829;241.034119011489;243.589915563014;258.61727455018;294.988229097537;294.831814527768;286.288681157156;277.656180971136;232.829511502312;224.022894468567;207.415921453418;193.540990158242;182.945140926478;172.077734801406;156.305078863126;151.625569760143;145.961546410665;140.916057156948;141.357002836331;133.659742585361;129.479311350419;154.730899685914;164.665540418;162.907010098368;162.88674094613;158.551149980559;153.652002762702;131.375357396929;132.986865663808
"S2 AMS";"PAC performant";8.2199034897;10.590563762;13.5019895647;13.1926772423;12.8806424165;13.16368609191;22.567324917605;28.540291096743;31.475960402077;48.590914554721;52.559147045376;56.208507271801;66.89514722798;75.637211724958;84.347282458905;104.663990075723;116.245740659533;119.987782636434;123.722451878906;126.173977933943;132.522533717457;157.965518857972;162.873752782795;173.019366982841;180.723015785218;190.752670364784;212.972453321927;200.214373210823;205.937179893618;217.929783827252;213.718256476449;205.766484789483;241.951020177719;144.465123349409;140.543153362392;135.846593483413;136.846005642522;139.691561762391;134.603609843194;111.640000372918;110.237964212432
"S2 AMS";"PAC";93.0513121335;109.77756412075;129.5819205849;127.3523411464;123.9145272552;117.031117908609;160.09636359747;167.633865284815;178.359008493748;204.15944741891;249.772024691805;310.039043049541;326.64913387988;337.918057629199;353.362433226848;354.681136168648;371.276429373893;389.229919432396;401.566332769203;439.518790898969;464.230453147758;432.743229148464;419.907545989902;413.423663715865;400.121094334446;405.712339087979;401.43588822719;404.379398370147;394.776703755266;389.151187766165;373.154953550849;356.536229935578;324.422294650955;233.898802698662;226.503222329962;229.42212219022;225.688335618252;216.628587467224;204.46012721528;175.726055354521;174.273661500088
