BRANCHE;BAT_TYPE;USAGE;Etat de référence RT2000;2010-2015;2015-2020;2020-2030;2030-2040;2040-2050
Bureaux Administration;immeuble peri urbain;Chauffage;44.23;30.96;15.48;15.48;15.48;15.48
Bureaux Administration;immeuble rénové;Chauffage;24.75;17.32;8.66;8.66;8.66;8.66
Bureaux Administration;immeuble résidentiel;Chauffage;155.94;109.16;54.58;54.58;54.58;54.58
Bureaux Administration;plateau large bureau paysagés;Chauffage;44.01;30.81;15.4;15.4;15.4;15.4
Bureaux Administration;plateau large bureaux cloisonnés;Chauffage;57.93;40.55;20.27;20.27;20.27;20.27
Bureaux Administration;plateau mince;Chauffage;75.47;52.83;26.42;26.42;26.42;26.42
Café Hôtel Restaurant;Grand bar café tabac;Chauffage;87.21;61.05;30.52;30.52;30.52;30.52
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chauffage;63.94;44.76;22.38;22.38;22.38;22.38
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Chauffage;76.73;53.71;26.86;26.86;26.86;26.86
Café Hôtel Restaurant;Grand Hotel avec restaurant Luxe;Chauffage;91.47;64.03;32.02;32.02;32.02;32.02
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Chauffage;74.62;52.24;26.12;26.12;26.12;26.12
Café Hôtel Restaurant;Grand Hotel sans restaurant Haut de gamme;Chauffage;79.62;55.73;27.87;27.87;27.87;27.87
Café Hôtel Restaurant;Grand Hotel sans restaurant Luxe;Chauffage;117.03;81.92;40.96;40.96;40.96;40.96
Café Hôtel Restaurant;Grand restaurant rapide;Chauffage;152.92;107.05;53.52;53.52;53.52;53.52
Café Hôtel Restaurant;Grand restaurant traditionnel;Chauffage;95.96;67.17;33.58;33.58;33.58;33.58
Café Hôtel Restaurant;Grande cantine;Chauffage;80.67;56.47;28.23;28.23;28.23;28.23
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Haut de gamme;Chauffage;117.03;81.92;40.96;40.96;40.96;40.96
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Chauffage;74.78;52.35;26.17;26.17;26.17;26.17
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Chauffage;117.03;81.92;40.96;40.96;40.96;40.96
Café Hôtel Restaurant;Hotel d'affaire sans restaurant Luxe;Chauffage;117.03;81.92;40.96;40.96;40.96;40.96
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Chauffage;129.57;90.7;45.35;45.35;45.35;45.35
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Chauffage;119.58;83.7;41.85;41.85;41.85;41.85
Café Hôtel Restaurant;Moyen Hotel avec restaurant Luxe;Chauffage;106.75;74.73;37.36;37.36;37.36;37.36
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Chauffage;125.69;87.99;43.99;43.99;43.99;43.99
Café Hôtel Restaurant;Moyen Hotel sans restaurant Haut de gamme;Chauffage;115.99;81.19;40.6;40.6;40.6;40.6
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Chauffage;108.6;76.02;38.01;38.01;38.01;38.01
Café Hôtel Restaurant;Petit bar café tabac;Chauffage;124.75;87.32;43.66;43.66;43.66;43.66
Café Hôtel Restaurant;Petit Hotel avec restaurant Bas de gamme;Chauffage;185.93;130.15;65.07;65.07;65.07;65.07
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Chauffage;169.58;118.71;59.35;59.35;59.35;59.35
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Chauffage;156.2;109.34;54.67;54.67;54.67;54.67
Café Hôtel Restaurant;Petit Hotel sans restaurant Bas de gamme;Chauffage;184.69;129.28;64.64;64.64;64.64;64.64
Café Hôtel Restaurant;Petit Hotel sans restaurant Haut de gamme;Chauffage;165.52;115.86;57.93;57.93;57.93;57.93
