ID_AGREG;EXIGENCE;GESTE;GAIN;COUT;CEE
0101420701;BBC renovation;FENBBC;0.127909168;102.8571426;375.5357133
0101420701;RT par element;FENMOD;0.082429222;102.8571426;375.5357133
0101420701;BBC renovation;FEN_MURBBC;0.179072835;136.285714;923.5714273
0101420701;RT par element;FEN_MURMOD;0.115400911;102.8571426;375.5357133
0101420701;BBC renovation;ENSBBC;0.84668007;239.8507481;923.5714273
0101420701;RT par element;ENSMOD;0.491067708;102.8571426;375.5357133
0101421102;BBC renovation;FENBBC;0.100780867;102.8571426;375.5357133
0101421102;RT par element;FENMOD;0;0;0
0101421102;BBC renovation;FEN_MURBBC;0.182546476;137.5714283;923.5714273
0101421102;RT par element;FEN_MURMOD;0;0;0
0101421102;BBC renovation;ENSBBC;0.755215919;213.5714283;923.5714273
0101421102;RT par element;ENSMOD;0;0;0
0101421703;BBC renovation;FENBBC;0.135069679;85.7142855;375.5357133
0101421703;RT par element;FENMOD;0.133330062;85.7142855;375.5357133
0101421703;BBC renovation;FEN_MURBBC;0.189097551;119.1428569;923.5714273
0101421703;RT par element;FEN_MURMOD;0.186662087;116.5714283;375.5357133
0101421703;BBC renovation;ENSBBC;0.894078256;205.9253796;2182.946427
0101421703;RT par element;ENSMOD;0.794306753;125.5568639;1634.910713
0101421904;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0101421904;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0101421904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0101422005;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0101422005;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0101422005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0101422106;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0101422106;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0101422106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0101422207;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0101422207;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0101422207;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0101422308;BBC renovation;ENSBBC;0.380351815;159.5413975;923.5714273
0101422308;BBC renovation;FENBBC;0.124609553;50.83499308;375.5357133
0101422308;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;923.5714273
0101440701;BBC renovation;FENBBC;0.173756475;45;197.15625
0101440701;RT par element;FENMOD;0.13320676;45;197.15625
0101440701;BBC renovation;FEN_MURBBC;0.296328872;55.8;708.65625
0101440701;RT par element;FEN_MURMOD;0.22717432;54.6;197.15625
0101440701;BBC renovation;ENSBBC;0.748305233;136.6440624;2033.65625
0101440701;RT par element;ENSMOD;0.516305273;58.23304677;1522.15625
0101441102;BBC renovation;FENBBC;0;0;0
0101441102;RT par element;FENMOD;0;0;0
0101441102;BBC renovation;FEN_MURBBC;0.33462645;31.2;511.5
0101441102;RT par element;FEN_MURMOD;0;0;0
0101441102;BBC renovation;ENSBBC;0.744806023;125.5917262;511.5
0101441102;RT par element;ENSMOD;0;0;0
0101441703;BBC renovation;FENBBC;0.220017852;45;197.15625
0101441703;RT par element;FENMOD;0.221194504;45;197.15625
0101441703;BBC renovation;FEN_MURBBC;0.375224244;55.8;708.65625
0101441703;RT par element;FEN_MURMOD;0.377230937;54.6;197.15625
0101441703;BBC renovation;ENSBBC;0.94753597;152.2137108;4677.40625
0101441703;RT par element;ENSMOD;0.857343039;73.81290424;2840.90625
0101441904;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0101441904;BBC renovation;FENBBC;0.124609553;50.83499308;0
0101441904;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0101442005;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0101442005;BBC renovation;FENBBC;0.124609553;50.83499308;0
0101442005;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
0101442106;BBC renovation;ENSBBC;0.380351815;159.5413975;511.5
0101442106;BBC renovation;FENBBC;0.124609553;50.83499308;0
0101442106;BBC renovation;FEN_MURBBC;0.192166458;78.23569556;511.5
