BRANCHE;SS_BRANCHE;BAT_TYPE;EQ_CLIM;ID_AGREG;PERIODE;RDT;COUT
Bureaux Administration;Administration;immeuble peri urbain;Climatisé;01014201;0;3.084192272;80.80050725
Bureaux Administration;Administration;immeuble rénové;Climatisé;01014401;0;3.028754929;81.37823454
Bureaux Administration;Administration;plateau large bureaux cloisonnés;Climatisé;01018401;0;3.030641724;110.3744244
Bureaux Administration;Bureaux;immeuble peri urbain;Climatisé;01024201;0;3.068619155;104.1732425
Bureaux Administration;Bureaux;immeuble rénové;Climatisé;01024401;0;3.028059226;104.7547493
Bureaux Administration;Bureaux;immeuble résidentiel;Climatisé;01024501;0;3.050643345;102.2144947
Bureaux Administration;Bureaux;plateau large bureau paysagés;Climatisé;01028301;0;3.056671793;113.3285618
Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;Climatisé;01028401;0;3.049597797;110.8506257
Bureaux Administration;Bureaux;plateau mince;Climatisé;01028501;0;3.058609866;112.0556117
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;Climatisé;02041601;0;3.253807622;143.3496283
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;Climatisé;02043101;0;3.269758119;142.5058594
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;Climatisé;02046201;0;3.270011079;135.9285275
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;Climatisé;02047901;0;3.264691397;141.2747469
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;Climatisé;02182001;0;3.279258693;132.0062908
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Haut de gamme;Climatisé;02182101;0;3.297934658;133.2744289
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Luxe;Climatisé;02182201;0;3.264310907;132.2263216
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Haut de gamme;Climatisé;02183701;0;3.321291002;131.9431818
Café Hôtel Restaurant;Hôtel avec restaurant;Hotel d'affaire avec restaurant Luxe;Climatisé;02183801;0;3.28934291;133.2588692
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Bas de gamme;Climatisé;02185301;0;3.26048166;135.5062013
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Haut de gamme;Climatisé;02185401;0;3.252812359;133.055159
Café Hôtel Restaurant;Hôtel avec restaurant;Moyen Hotel avec restaurant Luxe;Climatisé;02185501;0;3.24970632;131.0756243
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Bas de gamme;Climatisé;02186701;0;3.264358093;128.9338969
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Haut de gamme;Climatisé;02186801;0;3.248261403;133.0690476
Café Hôtel Restaurant;Hôtel avec restaurant;Petit Hotel avec restaurant Luxe;Climatisé;02186901;0;3.242976545;135.8290258
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Bas de gamme;Climatisé;02192301;0;3.292305108;132.7723384
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Haut de gamme;Climatisé;02192401;0;3.319647183;130.4803922
Café Hôtel Restaurant;Hôtel sans restaurant;Grand Hotel sans restaurant Luxe;Climatisé;02192501;0;3.275763903;130.4423077
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Haut de Gamme;Climatisé;02193901;0;3.260598671;132.1071429
Café Hôtel Restaurant;Hôtel sans restaurant;Hotel d'affaire sans restaurant Luxe;Climatisé;02194001;0;3.326398435;153.75
Café Hôtel Restaurant;Hôtel sans restaurant;Moyen Hotel sans restaurant Bas de gamme;Climatisé;02195601;0;3.278962335;129.8553678
