ID_AGREG;ID;BESOIN
06030103;060301031703040204;21684724.56
06030103;060301031202010206;494892.2619
06030104;060301041202030203;1971675.699
04100202;041002020801060202;7683460.625
04100202;041002020801040204;25404930.88
04090301;040903010303040204;57342947.2
04100505;041005050801060202;169387.1338
04090601;040906010303040204;44736009.55
04100405;041004051803040204;1703113.058
04100406;041004061803010201;4773832.289
04090601;040906010801040204;21475761.13
04090601;040906011202060202;1251408.239
04100406;041004061202040204;5709290.056
04100406;041004060801010206;22043966.6
04100505;041005051803060202;120755.0203
04100405;041004050801010206;7994183.395
04100505;041005050303010201;568518.7787
04100505;041005050303090202;158192.6125
04100405;041004050303010201;2239679.298
04090305;040903051202040204;2206993.342
06050701;060507010801040204;34133276.76
06050702;060507020801040204;10883688.03
06050705;060507050801060202;25359364.95
04100802;041008020303090202;60796668.46
06050705;060507051202060202;22353485.62
04090601;040906011202040204;10493531.08
04090601;040906011202010206;9710052.804
04091101;040911010303060202;58908705.07
04091101;040911010303090202;53906389.4
04091105;040911050303040204;162150599
04091101;040911011803010206;6585833.958
04091105;040911050801090202;2104765.691
03060905;030609051102040204;17661370.98
04111005;041110051202040104;37372981.53
04100805;041008051803030203;25205187.87
03060905;030609051703010201;2875001.664
04111005;041110051803060102;5715540.897
05141305;051413051703030203;224062569.9
03121205;031212051703060202;20455365.29
05141304;051413041703040204;175076594.6
05141303;051413030601010201;1351775.644
05141303;051413031202030203;10348346.93
05141303;051413031703060202;51605675.23
04091105;040911050303010201;3531207.955
04091101;040911010801010206;8727572.35
02041605;020416050701090202;740776.6593
02041605;020416051102040104;2292776.419
03161505;031615050701060102;587714.232
02041605;020416050701040204;9004675.697
02041605;020416050701060202;1513023.731
02041605;020416051703010201;3886335.202
03161505;031615050701030103;973721.5048
02041605;020416050701090102;554889.043
06151405;061514051202040204;10392918.64
03061705;030617051102040104;81170377.01
03061705;030617051102040204;199342914.2
03061705;030617051703030203;272359659.4
03061705;030617051703040204;347777199.3
03061705;030617051703010201;33263814.36
02041605;020416050701030203;5997557.136
02041605;020416050701060102;1281303.432
03061705;030617050701010201;18208374
03071905;030719051703060102;22295380.25
02182105;021821051703040104;5572423.18
03071905;030719051703060202;89398984.97
02182005;021820050701100102;1269508.059
02182105;021821050701100102;417731.7838
02182005;021820051102090202;1346375.328
03071905;030719050701100102;10739408.24
02182105;021821051703090102;1142203.334
03071905;030719050701030203;50824136.74
03061705;030617050701010101;8612013.107
03242605;032426051703040104;10584158.07
03242605;032426051102030203;6128561.116
03062605;030626051703030103;17042567.99
03242605;032426051102010101;367363.4988
03242605;032426051102090102;1183433.028
03062605;030626051703010201;3927653.977
03062605;030626051102010201;1096502.972
03242605;032426050701090202;2543370.539
03242605;032426050701010101;224046.6505
02192305;021923051703090102;2048458.171
02192305;021923051102010206;396063.822
