ID_AGREG;ID;BESOIN
06050702;0605070208010202;0
06173604;0617360413030102;133837647.1
01024204;0102420407010202;0
01024505;0102450507010202;0
03066405;0306640507010102;92081489.34
04100406;0410040603030202;0
07299502;0729950207010202;0
04105006;0410500603030202;0
02195605;0219560517030102;32179497.47
07209101;0720910117030102;4488360.781
02192305;0219230507010202;0
07293303;0729330307010102;4097353.068
02195805;0219580517030202;0
01028505;0102850511020202;0
02047901;0204790111020202;0
04090305;0409030518030202;0
08346004;0834600417030102;254548.1208
02185503;0218550307010202;0
06050704;0605070417030202;0
03242803;0324280317030102;315211.7689
07083205;0708320507010102;5156697.799
07298202;0729820207010202;0
01014403;0101440307010102;9205096.893
02047905;0204790511020102;8738577.544
01014206;0101420617030202;0
03069605;0306960517030102;41145335.32
04104806;0410480603030202;0
07084305;0708430507010102;7258342.423
01024203;0102420307010202;0
04111005;0411100503030102;2877113.871
01014404;0101440417030202;0
02192505;0219250517030202;0
06151403;0615140302030202;0
04100805;0410080518030202;0
05215103;0521510316030202;0
01014401;0101440117030202;0
08336004;0833600411020102;20372.4903
06050704;0605070408010202;0
01024402;0102440217030202;0
01014403;0101440311020202;0
01024202;0102420211020202;0
05141305;0514130506010202;0
07201605;0720160511020102;1678923.335
03247604;0324760407010202;0
03121201;0312120107010202;0
03076604;0307660407010202;0
02186705;0218670507010202;0
03066405;0306640507010202;0
01028304;0102830407010202;0
07298106;0729810617030202;0
02046205;0204620517030202;0
04105005;0410500503030202;0
02267705;0226770511020102;2937313.087
05141302;0514130217030202;0
04091105;0409110508010202;0
01014406;0101440617030102;297564.7338
01024405;0102440507010202;0
03076605;0307660507010102;70673912.47
07209102;0720910217030102;7082.319832
05215101;0521510116030102;9051169.88
05141303;0514130312020202;0
07298205;0729820511020202;0
07085901;0708590107010202;0
01014403;0101440317030102;15733428.53
07298201;0729820107010202;0
03169205;0316920517030102;68045054.15
02267805;0226780511020202;0
07084303;0708430317030202;0
05215104;0521510409010102;6358173.51
02182005;0218200517030202;0
04119403;0411940318030102;2308787.75
07081805;0708180517030202;0
03247601;0324760107010202;0
07299105;0729910507010202;0
02262905;0226290517030202;0
05258903;0525890312020202;0
07088004;0708800411020202;0
06173603;0617360313030102;252177188.9
07299103;0729910307010102;354337.1372
02185305;0218530517030202;0
01028305;0102830511020102;301707506.7
05141305;0514130517030202;0
07085903;0708590317030202;0
01014401;0101440107010202;0
04100505;0410050508010202;0
08346001;0834600117030102;365994.1214
04098605;0409860508010202;0
04118703;0411870318030202;0
03242805;0324280517030202;0
07293303;0729330311020102;1591859.46
07134304;0713430407010102;65324.1562
01024401;0102440107010202;0
06151402;0615140214030202;0
02182004;0218200417030102;12062.74668
07293301;0729330111020202;0
07298102;0729810207010102;1588411.178
07296101;0729610111020202;0
07081804;0708180411020202;0
03242605;0324260511020102;7248853.4
06173501;0617350105010102;100687.6946
04091105;0409110503030202;0
05225204;0522520410010102;48101634.52
04105005;0410500508010202;0
04090601;0409060108010202;0
02046205;0204620511020202;0
07299506;0729950611020202;0
07081801;0708180107010102;1257982.729
02197005;0219700517030202;0
07134301;0713430117030102;5158648.316
04111003;0411100303030102;3055327.181
07134301;0713430117030202;0
02193905;0219390517030202;0
02195805;0219580507010202;0
03242605;0324260517030202;0
06050703;0605070308010202;0
08326004;0832600407010102;1362963.58
03060905;0306090507010102;19535359.85
02197205;0219720517030202;0
01028301;0102830117030102;567036.3315
01024404;0102440407010202;0
02046205;0204620517030102;61179453.63
03247605;0324760511020202;0
06173504;0617350402030102;210698451.9
02041605;0204160511020102;5105688.965
07085905;0708590507010102;26924076.97
04100406;0410040618030202;0
01024405;0102440507010102;130409819.1
04090601;0409060118030202;0
03169205;0316920507010202;0
06173504;0617350405010202;0
03242804;0324280411020202;0
08346005;0834600507010102;2578297.029
02185505;0218550517030102;92544343.77
05225203;0522520316030102;927348.2259
02263001;0226300107010202;0
07086501;0708650111020102;406714.4853
07085902;0708590207010202;0
01014405;0101440511020102;700248.2254
01028303;0102830311020102;323138.0301
03121203;0312120307010202;0
03062601;0306260117030202;0
05215101;0521510112020202;0
07298203;0729820311020102;94922.27097
05289003;0528900307010202;0
02197005;0219700511020202;0
02195805;0219580511020102;279348.3618
07299101;0729910117030102;6389345.176
07298206;0729820617030102;128976.3817
02182205;0218220507010102;14058194.23
02195705;0219570511020202;0
03242805;0324280507010102;14407503.33
07084304;0708430411020202;0
01024402;0102440211020202;0
01024405;0102440517030102;187581556.2
05289001;0528900117030202;0
07085901;0708590117030202;0
01014202;0101420217030102;801713.2185
02182105;0218210511020202;0
07088005;0708800507010202;0
07209106;0720910611020202;0
07085901;0708590111020102;11506971.49
01014205;0101420517030102;2477890.098
02262905;0226290507010102;17377863.34
07298102;0729810211020102;2400452.172
07293302;0729330217030102;1073171.247
05225201;0522520110010102;19231243.8
05215104;0521510409010202;0
04091101;0409110112020202;0
05141304;0514130412020202;0
07085905;0708590517030102;81872092.14
01028504;0102850417030202;0
07088005;0708800517030102;21240019.33
07088004;0708800417030202;0
01028404;0102840411020202;0
07298201;0729820117030102;40676802.84
