BRANCHE;BAT_TYPE;PRODUCTION_CHAUD;ENERGIE;COUT;DUREE_VIE;BESOIN_U;RDT;PM_2009;COUT_ENERGIE
Sport Loisir Culture;Petite salle multisport;Rooftop;Electricité;8.758738681;17;99.83514431;2.598429767;0.019065145;0.0774
Sport Loisir Culture;Petite salle de spectacle;Tube radiant;Gaz;10;25;235.5109321;0.8;0.040564329;0.0513
Bureaux Administration;immeuble peri urbain;Autre système centralisé performant;Autres;26.91756478;25;154.2301391;0.764904192;9.994E-05;0.015468227
Bureaux Administration;immeuble peri urbain;Autre système centralisé performant;Urbain;26.629339;25;183.0880401;0.779309582;9.994E-05;0.0616
Bureaux Administration;immeuble peri urbain;Chaudière condensation fioul;Fioul;14.79359919;20;158.4983341;0.720201468;9.994E-05;0.074414716
Bureaux Administration;immeuble peri urbain;Chaudière condensation gaz;Gaz;10.49131027;20;151.47616;0.950520162;9.994E-05;0.0513
Sport Loisir Culture;Petit cinéma;Rooftop;Electricité;9.144339994;17;172.3195585;2.598429767;0.049467324;0.0774
Sport Loisir Culture;Petite salle de spectacle;Rooftop;Electricité;9.905476829;17;181.9742662;2.598429767;0.041423019;0.0774
Sport Loisir Culture;Piscine;Rooftop;Electricité;6.058952136;17;45.03726873;2.751069767;0.01384586;0.0774
Bureaux Administration;immeuble peri urbain;DRV performant;Electricité;32.91208416;17;162.0223914;3.177309767;9.994E-05;0.0774
Café Hôtel Restaurant;Petit Hotel avec restaurant Luxe;Autre système centralisé;Urbain;37.17778419;25;227.9880548;0.7;0.002405174;0.0616
Bureaux Administration;immeuble peri urbain;Electrique direct performant;Electricité;12;13;150.0533578;1;9.994E-05;0.0774
Sport Loisir Culture;Piscine;Autre système centralisé;Urbain;41.67480409;25;60.5724684;1.974287284;0.002409455;0.0616
Sport Loisir Culture;Grande salle de spectacle;Tube radiant;Gaz;10;25;66.84453797;0.8;0.046065096;0.0513
Bureaux Administration;immeuble rénové;Autre système centralisé performant;Autres;20.95197108;25;118.0564324;0.762935764;9.994E-05;0.015468227
Bureaux Administration;immeuble rénové;Autre système centralisé performant;Urbain;19.02370941;25;129.8619577;0.775915156;9.994E-05;0.0616
Bureaux Administration;immeuble rénové;Chaudière condensation fioul;Fioul;10.82802199;20;118.6485177;0.723246621;9.994E-05;0.074414716
Bureaux Administration;immeuble rénové;Chaudière condensation gaz;Gaz;7.645030479;20;114.8398547;0.954692338;9.994E-05;0.0513
Sport Loisir Culture;Salle non spécialisée;Autre système centralisé;Urbain;51.57691026;25;86.42467098;1.991946606;0.00264144;0.0616
Sport Loisir Culture;Grande salle multisport;Autre système centralisé;Urbain;18.28208744;25;21.98064594;2.334352923;0.002857402;0.0616
Café Hôtel Restaurant;Moyen Hotel sans restaurant Luxe;Autre système centralisé;Autres;26.11770114;25;93.07731171;0.84;0.003272187;0.015468227
Bureaux Administration;immeuble rénové;Electrique direct performant;Electricité;12;13;114.9262151;1;9.994E-05;0.0774
Enseignement Recherche;R&D sciences physiques et naturelles;PAC;Electricité;41.74127498;20;70.04374904;2.713175581;0.020316409;0.0774
Bureaux Administration;immeuble rénové;PAC performant;Electricité;56.64252179;20;113.074884;3.397956279;9.994E-05;0.0774
Enseignement Recherche;R&D en sciences humaines et sociales;Chaudière fioul;Fioul;10.3090575;20;50.70053428;0.708387462;0.001107777;0.074414716
Sport Loisir Culture;Petite salle multisport;Autre système centralisé;Urbain;61.21132833;25;118.9556333;1.969054412;0.005163958;0.0616
Bureaux Administration;immeuble résidentiel;Autre système centralisé performant;Autres;30.7164714;25;168.4238532;0.770234755;9.995E-05;0.015468227
Bureaux Administration;immeuble résidentiel;Autre système centralisé performant;Urbain;30.73150997;25;182.5358396;0.782436439;9.995E-05;0.0616
Bureaux Administration;immeuble résidentiel;Chaudière condensation fioul;Fioul;33.00853082;20;166.6586514;0.718621645;9.995E-05;0.074414716
Bureaux Administration;immeuble résidentiel;Chaudière condensation gaz;Gaz;33.11449375;20;169.5993244;0.948575888;9.995E-05;0.0513
Café Hôtel Restaurant;Petit Hotel avec restaurant Haut de gamme;Autre système centralisé;Urbain;40.64385446;25;237.5316642;0.686629245;0.006425098;0.0616
Enseignement Recherche;Cantine préélémentaire;Autre système centralisé;Autres;49.58470014;25;277.2494347;0.776900515;0.00670165;0.015468227
Sport Loisir Culture;Piscine;Tube radiant;Gaz;10;25;86.79300588;0.8;0.019444739;0.0513
Bureaux Administration;immeuble résidentiel;Electrique direct performant;Electricité;12;13;159.7971816;1;9.995E-05;0.0774
Sport Loisir Culture;Grande salle multisport;Rooftop;Electricité;2.619505589;17;21.64719816;2.679567309;0.021185973;0.0774
Santé Action Sociale;Garderie;Autre système centralisé;Autres;12.87680806;25;95.65863979;0.725788208;0.00927046;0.015468227
Bureaux Administration;plateau large bureau paysagés;Autre système centralisé performant;Autres;18.44604112;25;69.94749295;0.770903963;9.994E-05;0.015468227
Bureaux Administration;plateau large bureau paysagés;Autre système centralisé performant;Urbain;19.59213286;25;67.84132092;0.787324315;9.994E-05;0.0616
Bureaux Administration;plateau large bureau paysagés;Chaudière condensation fioul;Fioul;5.240535487;20;74.25193126;0.725216306;9.994E-05;0.074414716
Bureaux Administration;plateau large bureau paysagés;Chaudière condensation gaz;Gaz;3.897488892;20;71.78206613;0.957295666;9.994E-05;0.0513
Café Hôtel Restaurant;Petit restaurant rapide;Autre système centralisé;Autres;73.78;25;124.1601322;0.703169805;0.012263399;0.015468227
Café Hôtel Restaurant;Grand restaurant rapide;Autre système centralisé;Autres;48.75642327;25;141.7056044;0.719009166;0.01319721;0.015468227
Commerce;Grand brico;Autre système centralisé;Urbain;30.34141421;25;111.4002863;1.565145623;0.013275862;0.0616
Bureaux Administration;plateau large bureau paysagés;Electrique direct performant;Electricité;12;13;69.24815047;1;9.994E-05;0.0774
Enseignement Recherche;école;Chaudière fioul;Fioul;11.09251113;20;78.01578098;0.714680607;0.003375073;0.074414716
Bureaux Administration;plateau large bureau paysagés;PAC performant;Electricité;53.28387755;20;72.36895338;3.397956279;9.994E-05;0.0774
Café Hôtel Restaurant;Hotel d'affaire avec restaurant Luxe;Autre système centralisé;Autres;21.56060358;25;71.84783137;0.6275;0.013823228;0.015468227
Santé Action Sociale;Centre accueil;Autre système centralisé;Autres;15.33278633;25;94.73295988;0.723377421;0.014038159;0.015468227
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé performant;Autres;19.93667987;25;87.64848138;0.763741222;9.994E-05;0.015468227
Bureaux Administration;plateau large bureaux cloisonnés;Autre système centralisé performant;Urbain;20.72036855;25;99.67190187;0.78319629;9.994E-05;0.0616
Bureaux Administration;plateau large bureaux cloisonnés;Chaudière condensation fioul;Fioul;5.287163537;20;94.31214895;0.725259074;9.994E-05;0.074414716
Bureaux Administration;plateau large bureaux cloisonnés;Chaudière condensation gaz;Gaz;4.117418495;20;94.10594977;0.95731213;9.994E-05;0.0513
Enseignement Recherche;Cantine élémentaire;Autre système centralisé;Autres;46.11170223;25;263.6117344;0.758511635;0.014724857;0.015468227
Sport Loisir Culture;Patinoire;Tube radiant;Gaz;10;25;58.54157361;0.8;0.038860617;0.0513
Commerce;Hypermarché;Autre système centralisé;Urbain;32.29005253;25;115.5081553;1.536793371;0.015096284;0.0616
Bureaux Administration;plateau large bureaux cloisonnés;Electrique direct performant;Electricité;12;13;84.30010892;1;9.994E-05;0.0774
Sport Loisir Culture;Piscine;PAC;Electricité;25.41927589;20;51.36624388;2.838613953;0.027382221;0.0774
Bureaux Administration;plateau large bureaux cloisonnés;PAC performant;Electricité;58.14448797;20;94.54365804;3.397956279;9.994E-05;0.0774
Sport Loisir Culture;Grande salle de spectacle;Autre système centralisé;Autres;34.85296991;25;57.63321517;2.767449784;0.015320259;0.015468227
Bureaux Administration;plateau mince;Autre système centralisé;Autres;19.51355204;25;97.13568853;0.649001027;0.015810885;0.015468227
Bureaux Administration;plateau mince;Autre système centralisé performant;Autres;24.39194005;25;97.13568853;0.778801232;9.994E-05;0.015468227
Bureaux Administration;plateau mince;Autre système centralisé performant;Urbain;24.86722588;25;105.4664931;0.782857968;9.994E-05;0.0616
Bureaux Administration;plateau mince;Chaudière condensation fioul;Fioul;5.965524318;20;101.9522445;0.725278393;9.994E-05;0.074414716
Bureaux Administration;plateau mince;Chaudière condensation gaz;Gaz;4.573826326;20;105.5361057;0.95736883;9.994E-05;0.0513
Café Hôtel Restaurant;Moyen Hotel avec restaurant Haut de gamme;Autre système centralisé;Urbain;28.73530009;25;165.3954742;0.649588349;0.015948765;0.0616
Enseignement Recherche;R&D en sciences humaines et sociales;PAC;Electricité;43.80325996;20;93.51636003;2.666169767;0.017358261;0.0774
Bureaux Administration;plateau large bureau paysagés;Autre système centralisé;Autres;14.75683289;25;69.94749295;0.64241997;0.016658985;0.015468227
Bureaux Administration;plateau mince;Electrique direct performant;Electricité;12;13;99.56893455;1;9.994E-05;0.0774
Café Hôtel Restaurant;Petit restaurant traditionnel;Autre système centralisé;Autres;73.78;25;114.4330648;0.701480109;0.017674384;0.015468227
Bureaux Administration;plateau mince;PAC performant;Electricité;69.48377231;20;105.1961592;3.397956279;9.994E-05;0.0774
Café Hôtel Restaurant;Moyen Hotel sans restaurant Bas de gamme;Autre système centralisé;Autres;30.87403998;25;133.1849401;0.703613015;0.017732481;0.015468227
Café Hôtel Restaurant;Grand restaurant traditionnel;Autre système centralisé;Autres;34.15114522;25;83.88356219;0.692732828;0.017949803;0.015468227
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé performant;Autres;30.33611105;25;114.3565952;0.849277828;9.993E-05;0.015468227
Café Hôtel Restaurant;Grand bar café tabac;Autre système centralisé performant;Urbain;30.54825182;25;124.0882839;0.807524243;9.993E-05;0.0616
Café Hôtel Restaurant;Grand bar café tabac;Chaudière condensation fioul;Fioul;21.05152192;20;92.67101513;0.754189753;9.993E-05;0.074414716
Café Hôtel Restaurant;Grand bar café tabac;Chaudière condensation gaz;Gaz;14.99977594;20;91.63378722;0.981787082;9.993E-05;0.0513
Enseignement Recherche;Préélémentaire;Autre système centralisé;Autres;20.6024439;25;96.11651225;0.784432749;0.018191507;0.015468227
Café Hôtel Restaurant;Grand Hotel sans restaurant Bas de gamme;Autre système centralisé;Autres;19.32174075;25;76.10339518;0.705404988;0.01823884;0.015468227
Café Hôtel Restaurant;Moyen Hotel avec restaurant Bas de gamme;Autre système centralisé;Autres;30.52582553;25;164.5489645;0.660410745;0.018345479;0.015468227
Café Hôtel Restaurant;Grand bar café tabac;Electrique direct performant;Electricité;12;13;76.72378167;1;9.993E-05;0.0774
Enseignement Recherche;Elémentaire;Autre système centralisé;Autres;22.42419042;25;95.59296476;0.768719094;0.018928708;0.015468227
Café Hôtel Restaurant;Grand bar café tabac;PAC performant;Electricité;78.82256483;20;89.54505975;3.397956279;9.993E-05;0.0774
Commerce;Grand process;Autre système centralisé;Urbain;28.28803588;25;100.6923106;1.603316683;0.019187661;0.0616
Café Hôtel Restaurant;Grand bar café tabac;Rooftop performant;Electricité;39.37740132;17;81.68971161;3.328610233;9.993E-05;0.0774
Bureaux Administration;immeuble rénové;Autre système centralisé;Autres;16.76157686;25;118.0564324;0.635779803;0.020345197;0.015468227
Café Hôtel Restaurant;Grand Hotel avec restaurant Haut de gamme;Autre système centralisé;Autres;17.87381586;25;87.52485835;0.692062597;0.020404214;0.015468227
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Autres;23.61087187;25;84.0981279;0.80649954;9.993E-05;0.015468227
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Autre système centralisé performant;Urbain;23.80388897;25;98.44082597;0.708578579;9.993E-05;0.0616
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation fioul;Fioul;14.75095851;20;74.87636767;0.753837866;9.993E-05;0.074414716
Café Hôtel Restaurant;Grand Hotel avec restaurant Bas de gamme;Chaudière condensation gaz;Gaz;10.75160336;20;74.98391021;0.981434951;9.993E-05;0.0513
Commerce;Supermarché;Autre système centralisé;Urbain;30.17884227;25;100.0940823;1.571368118;0.020606654;0.0616
