ID_AGREG;ID;BESOIN
02182005;02182005170301;20166077.84
02195705;02195705170302;4409906.29
07298101;07298101070104;0
07298206;07298206110203;0
02182205;02182205070101;8527709.358
03242605;03242605110204;475051.8323
01014406;01014406110202;25859.78634
01024401;01024401170304;118533.2277
07299501;07299501170304;0
02182105;02182105070103;239405.8825
01018403;01018403170303;899700.5185
07085902;07085902170301;128067.3304
01024405;01024405070103;976810.1434
07293303;07293303070103;0
06173503;06173503120203;386309.1725
02195705;02195705170301;443161.7415
02195705;02195705070103;180423.5234
04118805;04118805030301;494122.4342
02263001;02263001170302;235399.4778
07134304;07134304170301;49450.63633
02185503;02185503070102;89899.69071
02185405;02185405110204;14270519.93
07084305;07084305170302;4143252.192
02185404;02185404170301;26380.37594
02182205;02182205070102;36615301.34
06050701;06050701080104;5558645.439
07296003;07296003110204;0
02185405;02185405070101;11486034.1
01018406;01018406170302;1569314.21
01014401;01014401110201;807352.0314
04100505;04100505180301;132173.5182
04100505;04100505180304;547017.3048
08306005;08306005170303;0
01014206;01014206170301;605.165365
06050705;06050705120203;514292.915
02182005;02182005170303;1356554.539
06030102;06030102120204;696126.1601
02185503;02185503070104;44815.93321
02197105;02197105170304;147386.9538
06173501;06173501120201;14267.58165
06030105;06030105120204;16125308.07
03060905;03060905070103;0
05258904;05258904080101;1229592.441
07298205;07298205110204;0
01024502;01024502070103;63.93195117
03067303;03067303170304;335.7439159
06030101;06030101080102;1075117.318
07206001;07206001070102;0
04118803;04118803080102;2554922.757
07296003;07296003070101;0
08276005;08276005170302;6835189.439
04100506;04100506030301;3252361.592
04100405;04100405180301;752381.5195
01024203;01024203110204;27910.10203
07296101;07296101110201;0
03242801;03242801170304;49817.23167
03242804;03242804170302;13867.308
01014402;01014402110202;221276.3033
02046205;02046205170304;56493145.28
01028305;01028305110202;7644645.543
01028304;01028304070103;8811.015292
07086505;07086505170304;583163.1616
01024204;01024204070101;126809.6615
02182105;02182105170302;35399086.6
02195605;02195605170301;463381.977
03161505;03161505110202;160454.5191
01028505;01028505070104;6307112.553
06030102;06030102170304;1541674.971
02267705;02267705070101;5157620.952
08276003;08276003070103;0
02262905;02262905070101;10780569.71
07298102;07298102170301;0
01018404;01018404170304;68475.09576
07083205;07083205070102;99676.61563
08346002;08346002110203;0
05225201;05225201100101;10422238.88
01024204;01024204070104;470521.4308
07293302;07293302070103;0
