ID_AGREG;ID;BESOIN
01024401;01024401110202;840692.3356
02182205;02182205070102;19370996.56
02263001;02263001170302;95148.97865
01014406;01014406110202;285403.5286
01024504;01024504070102;609022.8565
02185503;02185503070102;38595.13962
01018406;01018406170302;12752601.06
02195705;02195705170302;14306402.66
06173404;06173404010302;62309850.38
04100802;04100802030302;230237566
04100506;04100506030302;159133.7272
07084305;07084305170302;25335277.94
01024405;01024405110202;237995294
07209101;07209101070102;38894951.9
06151405;06151405050102;8071149.98
08276005;08276005170302;124857784.1
04118803;04118803080102;6019610.287
01014404;01014404170302;503280.5829
02185301;02185301170302;2105.181313
06030101;06030101080102;3703850.455
02182105;02182105170302;16756407.74
01014402;01014402110202;2465698.479
03161505;03161505110202;2740805.801
01028305;01028305110202;53766393.85
07083205;07083205070102;743772.9817
01024502;01024502110202;2952.899624
02183705;02183705170302;4436950.766
01018404;01018404170302;944116.7111
07299506;07299506170302;717082.9652
07081801;07081801070102;404453.6644
03060905;03060905070102;61541482.3
07134302;07134302110202;213072.1055
08356005;08356005070102;6986157.58
05225204;05225204040302;17866724.47
03242804;03242804170302;24437.14286
02182205;02182205110202;12218239.67
04098605;04098605120202;1463586.829
05141305;05141305060102;35280782.39
07298101;07298101110202;91075593.06
08326004;08326004110202;11558908.89
02041605;02041605170302;64868886.27
07085902;07085902170302;1592403.838
04100202;04100202080102;714070.846
03169205;03169205070102;23514369.57
02047903;02047903110202;289564.1281
02262905;02262905170302;67941531.51
07298102;07298102170302;4505782.399
07209102;07209102170302;83191.37026
04090305;04090305180302;34736.5657
02182105;02182105110202;5106774.116
08346004;08346004170302;2715179.955
07298203;07298203170302;772858.9574
04104706;04104706030302;345291.4866
04104706;04104706120202;69721.54069
06151404;06151404020302;8923.580102
01014206;01014206170302;49056.1622
04118703;04118703180302;789787.1242
07293303;07293303070102;1434319.196
01024204;01024204170302;13661138.24
06173504;06173504050102;211953911.5
04119403;04119403080102;86745440.29
03237505;03237505170302;40263112.03
02263005;02263005110202;29805390.31
02185505;02185505170302;51000965.47
01018402;01018402110202;14908038.88
01024404;01024404110202;30389433.01
02183805;02183805170302;35720455.39
02047904;02047904170302;32017.63125
04100505;04100505030302;23386.62086
08356001;08356001170302;2696409.292
04111005;04111005180302;4915899.13
07084302;07084302110202;1387.285089
08326003;08326003170302;9801.852044
07293301;07293301110202;64310326.97
07209105;07209105070102;466830.1126
01024502;01024502170302;20210.42306
03067303;03067303070102;35579.29613
08346005;08346005110202;18957767.25
04105005;04105005080102;16631884.16
03247603;03247603070102;91777.04123
01018401;01018401170302;218448749.4
04100506;04100506120202;29305.57189
07083201;07083201110202;14870843.26
05215103;05215103120202;20083.51241
03066405;03066405170302;368289626
04118803;04118803030302;4622805.622
02197105;02197105170302;656986.3954
03121203;03121203110202;263672.5
04090601;04090601030302;563377.9006
01028404;01028404070102;9854158.457
08336005;08336005110202;1020176.256
02263001;02263001110202;18844.181
08346002;08346002170302;77781.91121
07298105;07298105070102;7283280.397
01014406;01014406170302;1200357.522
05215104;05215104160302;31192589.06
07134304;07134304110202;266956.6188
07088001;07088001070102;8352256.384
02182105;02182105070102;6017811.353
05225202;05225202100102;119062.1691
03069605;03069605110202;78854417.84
02195605;02195605070102;6235890.107
02197005;02197005070102;2628511.714
07086501;07086501170302;90657.77925
08346004;08346004070102;77905.12264
01014403;01014403170302;55832906.75
08276003;08276003170302;7964655.943
03237505;03237505070102;15981005.9
01028505;01028505170302;94969579.86
07298206;07298206170302;239209.3637
05141301;05141301060102;10658129.01
04118805;04118805180302;2677492.046
04100805;04100805120202;15452671.68
07291605;07291605070102;76656.11112
05225202;05225202120202;21401.72537
08276004;08276004110202;8484.652951
07299105;07299105070102;1999568.978
03237505;03237505110202;15251997.49
07085903;07085903110202;2457424.17
06050701;06050701120202;12476770.42
02047901;02047901170302;2910428.887
07293306;07293306170302;908777.6856
07083201;07083201170302;22993720.41
07298201;07298201170302;63898662.29
05215103;05215103090102;68345.23457
04118703;04118703080102;4454211.148
01028303;01028303170302;3887466.008
06173504;06173504020302;209790732.6
05141303;05141303120202;7143127.998
07293303;07293303170302;1707945.139
08346001;08346001170302;3903937.295
06050702;06050702120202;4321766.762
06050701;06050701080102;14271201.64
07291605;07291605110202;40459.53036
05215101;05215101040302;29088385.74
01018401;01018401070102;115673936.2
08346002;08346002110202;31103.44251
04104605;04104605120202;49897.98241
03071904;03071904170302;1395128.192
07299503;07299503110202;321620.7616
08346004;08346004110202;300962.6264
01024504;01024504110202;265717.0408
02182004;02182004170302;15026.70698
08356002;08356002170302;128295.4632
08336004;08336004110202;217306.5632
03066401;03066401170302;3359.743038
07084304;07084304170302;382008.5325
02185405;02185405110202;15303161.03
07299105;07299105170302;1760412.785
04104605;04104605180302;6836.265238
03067405;03067405070102;22759951.24
01024402;01024402170302;1561428.745
04105005;04105005180302;12197915.4
07296101;07296101070102;2765780.217
04090301;04090301120202;248440.8277
03067305;03067305070102;55021228.39
04111005;04111005120202;15893922.8
03071905;03071905110202;140832342.3
04098601;04098601080102;38674145.76
01014201;01014201110202;22339841.43
04100406;04100406030302;468214.6786
02262905;02262905110202;5196896.843
01024201;01024201070102;260866.2156
04098605;04098605030302;6553592.519
03247603;03247603170302;79783.1335
07298205;07298205170302;617360.6975
03076604;03076604170302;23233.25881
05225202;05225202160302;175136.5403
04100805;04100805080102;37903574.79
04100405;04100405030302;84668.05512
01028403;01028403170302;418049.0731
07209106;07209106070102;24711.60665
04100205;04100205080102;200624.8223
06030103;06030103080102;2552362.737
01024204;01024204070102;7325424.256
01028505;01028505110202;41405336.63
02047905;02047905110202;8186203.544
04104905;04104905180302;22250718.09
04104602;04104602180302;4217.748821
01018405;01018405070102;5510565.991
01024403;01024403070102;1566844.27
08306005;08306005110202;9876153.91
01014205;01014205110202;1173532.56
03062705;03062705170302;30570079.4
07293306;07293306070102;808730.5744
05215104;05215104040302;26616345.53
03076605;03076605070102;453954703.9
04098601;04098601180302;12987758.71
07134304;07134304170302;796950.5988
03237305;03237305110202;5017802.946
08346005;08346005070102;27501834.97
07084303;07084303110202;1202081.881
04090605;04090605080102;24804.24759
01014206;01014206110202;9418.684096
01014203;01014203110202;10508102.94
04090301;04090301080102;567473.5589
07291602;07291602070102;3514.224933
01024505;01024505170302;65760556.86
06030102;06030102170302;4257301.14
04098605;04098605080102;4454688.949
01018406;01018406110202;974839.4508
08316005;08316005070102;167589.8367
07085904;07085904110202;135373.459
02047902;02047902070102;22465.31875
03242803;03242803110202;308021.67
02263004;02263004070102;4947.95448
07081805;07081805110202;20745860.22
01028504;01028504170302;3704577.134
02185305;02185305170302;18974316.32
07134302;07134302070102;80035.72853
03242803;03242803170302;2188804.45
07085902;07085902110202;229398.3502
03161505;03161505170302;9551785.824
07081804;07081804070102;23389.32888
02197005;02197005170302;8696517.907
05258903;05258903120202;3670941.901
01028501;01028501170302;54784.51008
07209105;07209105170302;759648.8893
04090605;04090605030302;61306.10822
03237305;03237305070102;5215377.603
01024503;01024503070102;80690.34317
02047901;02047901070102;808896.535
01014402;01014402070102;3108679.892
01028305;01028305170302;129951942.2
07209103;07209103070102;80006.25002
04104605;04104605080102;48722.58703
05215101;05215101120202;1875640.808
02182205;02182205170302;55236897.54
01024401;01024401070102;1419775.05
01014203;01014203170302;32504852.2
07209103;07209103110202;69547.39995
07299501;07299501110202;34019433.31
02262904;02262904170302;10960.08
03067303;03067303170302;63528.3517
08356004;08356004110202;1359997.849
08356001;08356001070102;2209060.004
03242803;03242803070102;2613532.106
03062605;03062605110202;29290349.89
04105006;04105006080102;66057825.75
05289004;05289004110202;4542077.05
05225201;05225201160302;111701258.5
08276005;08276005110202;6203464
07084305;07084305070102;8345851.969
02197105;02197105070102;95432.67944
02195705;02195705110202;2514292.201
05225203;05225203160302;1351725.723
06030105;06030105080102;90664186.14
03236305;03236305110202;21346168.64
07085902;07085902070102;557975.4365
05225201;05225201120202;19481140.18
07209505;07209505110202;646682.9456
04104705;04104705120202;56068.05604
06173501;06173501120202;257426.9122
06151402;06151402050102;225236.9298
07088003;07088003070102;12172.62822
05289003;05289003070102;23996.51833
06151405;06151405140302;997332.8678
02197001;02197001170302;1968.941064
05215101;05215101090102;11558530.61
02185305;02185305110202;3316583.468
02186905;02186905170302;3295155.317
01014204;01014204170302;382193.3232
05225203;05225203120202;281641.4104
01014202;01014202170302;1144036.748
07134301;07134301170302;14919504.93
07085901;07085901110202;2928650.874
06050703;06050703120202;2363015.23
02047903;02047903170302;4081767.084
08306005;08306005170302;107351578.9
02182005;02182005070102;10109131.94
07298101;07298101070102;167726969
01014205;01014205070102;1449425.037
07293305;07293305110202;1286008.277
01018404;01018404070102;622971.2639
