ID_AGREG;ID;BESOIN
04100202;041002021803090202;66599.24733
04100202;041002020801040204;963759.5498
04090301;040903010303040204;1521857.774
04090601;040906010801040204;706427.265
04090601;040906010303040204;1215811.527
04100406;041004061202040204;207250.8776
04100505;041005050303030203;7790.87041
04100505;041005050303010201;10339.82414
04090601;040906011202010206;236687.4828
04100406;041004060801060202;100725.5388
04090301;040903011202060202;67863.36515
06050701;060507010801040204;3393048.005
06050705;060507050801060202;2796171.529
04091101;040911010303060202;291580.5176
04091105;040911050303040204;774728.5481
04091105;040911050303010201;17755.7231
04100802;041008020303090202;747967.3957
05141305;051413051703030203;13105027.69
03121205;031212051703060202;0
05141304;051413041202010206;317371.1321
04091101;040911010303090202;252822.0519
05141304;051413041703040204;9767202.451
02041605;020416050701090102;83482.53894
03161505;031615050701060102;15151.39549
02041605;020416051102040104;356118.9779
06151405;061514051202030203;611899.6324
05141303;051413031202030203;1575698.051
03061705;030617050701010201;486571.8881
03061705;030617051102040104;2265617.596
03061705;030617051703030203;7201774.853
03061705;030617051102040204;5371529.895
03061705;030617051703040204;9113957.696
02041605;020416050701090202;87765.08209
03071905;030719050701030203;2233180.516
02182105;021821051703090102;167483.2182
03071905;030719051703060102;606993.0132
03071905;030719050701100102;500117.1474
03242605;032426051703040104;474250.2928
03062605;030626051703030103;920059.0886
03242605;032426050701090202;120549.2958
03242605;032426051102010201;40176.86256
03242605;032426051102030203;279140.3656
02182205;021822050701030203;1363496.614
03242605;032426050701010101;13276.46831
03062605;030626051703010201;187174.87
03242605;032426051102090102;65051.82636
03242605;032426051102010101;19113.09889
03242805;032428050701040204;1748925.144
03062705;030627051703040204;869895.2851
03242805;032428051102010201;191425.4327
03062705;030627050701030203;219068.9352
02263005;022630050701060102;2820367.715
02263005;022630050701030103;2110005.638
02262905;022629050701010101;32344.85838
02263005;022630051703030203;16771201.03
02263005;022630051703010206;4159410.066
06173504;061735041202040204;78118855.47
06173504;061735040203030103;47073873.35
06173403;061734030103040204;21034706.73
06173504;061735040203030203;46825756.06
01024205;010242050701040204;7273534.156
01024205;010242051703010206;2092978.877
01024205;010242051102050202;459672.0709
03164105;031641051102030203;1012536.993
01014201;010142011102040104;348418.99
01014201;010142010701060202;721311.9604
01014201;010142011102010201;67510.15077
01024205;010242051703010106;1451835.781
01014203;010142030701030103;117426.7799
01014205;010142050701060202;28854.86198
01014203;010142030701050102;96267.15232
01024201;010242011102040104;4977.618959
01014205;010142051102040104;24147.99293
01024204;010242040701040104;145121.5673
01024203;010242031703050202;4312.70074
01014203;010142031703050102;213413.3802
01024201;010242011703030203;6131.951641
01014203;010142031703040104;720340.6292
01014205;010142051703030103;26176.3722
01024204;010242041703040104;304680.7618
01024201;010242011703060202;19731.06566
01014202;010142020701060202;17999.26572
01014205;010142051703060202;88332.27605
01024405;010244051102060202;4443105.532
01024405;010244051703010201;1291775.414
01024404;010244040701060202;834991.6126
01024405;010244051102030203;3066359.906
01014401;010144011703090102;1418389.34
01024405;010244050701060202;5596449.685
01024405;010244051102010101;158065.2455
01024404;010244041102030103;127368.0017
01014401;010144010701060202;1084643.974
01024404;010244040701030203;598786.8046
01014401;010144011102090202;586601.6182
01024401;010244011703010101;743.3221045
01024505;010245050701060202;1417793.098
01024505;010245051703030203;1809719.402
01024505;010245050701010206;345433.0275
01024505;010245051102010206;94869.38973
03236305;032363050701040204;527507.6395
02046205;020462050701090202;156883.848
02046205;020462051703060102;1086698.137
03236305;032363051703030103;372682.7348
02195605;021956051703040104;1693482.972
03236305;032363051703060102;241974.0288
02046205;020462050701030103;288072.0715
03236305;032363051102090202;275819.7539
02185305;021853050701030203;176542.6803
02185305;021853051703040104;1565311.246
02185305;021853050701030103;79190.11576
02185405;021854050701060202;911255.5384
02185405;021854051703100102;1730121.908
05225204;052252040901090102;79797.77627
05225204;052252041001090202;472441.8818
05225204;052252041001060202;2257686.742
05215104;052151040403010101;14880.53937
02185305;021853051703040204;2699484.04
05225201;052252011603030103;1659237.452
05215101;052151011001010101;14529.45574
05225204;052252041603030203;6861487.374
02185505;021855051703060202;2105788.174
05225201;052252011603090102;238964.0145
05225204;052252041603010206;564316.9879
05225201;052252010901060202;1013549.145
04105005;041050050303040204;895653.9805
05225204;052252041001060102;543901.9666
05215101;052151011603010206;132404.4235
03066405;030664051703010101;452359.3285
03066405;030664051703030203;8308441.652
02046205;020462051102040104;402535.2873
02046205;020462051703030203;2220163.344
02046205;020462050701010106;107632.907
03076605;030766051703060102;2034187.102
03076605;030766051102040204;8364930.947
03076605;030766050701010206;669513.5281
03067305;030673050701040104;521176.8781
03067305;030673051703010106;236150.0724
03067305;030673051703060202;1185323.686
03067305;030673051703090202;1571092.666
03067305;030673051703010201;299540.8851
03067305;030673051102040104;504528.5496
03067305;030673050701040204;1684703.778
03237305;032373051703030103;99654.12987
03237305;032373050701040204;121848.1158
02197005;021970050701090202;98909.61063
03237305;032373051102060102;32227.47095
02197005;021970050701100102;82771.42835
02197005;021970051102100102;78195.34937
02197005;021970051102030103;40124.72775
02186805;021868050701030103;50280.06604
02186805;021868051102040104;102353.0735
02186805;021868050701100102;20885.43472
02186705;021867050701100202;37255.21708
03237505;032375051102040204;376755.7999
03237505;032375051102040104;117825.6291
03247605;032476051703030103;1320996.829
03247605;032476051703030203;8563193.751
03247605;032476050701030203;3353060.342
03247605;032476051703010101;206935.6138
03237505;032375051703030103;289191.7469
03237505;032375051102090202;218526.4219
03247605;032476051102040104;594994.5107
03237505;032375050701060102;77010.80574
03237505;032375051102010201;99509.15924
03067405;030674050701030103;213509.4204
03067405;030674051703060202;431334.2667
03067405;030674051102090202;234890.1481
03067405;030674051102090102;162428.5833
03067405;030674050701060102;121536.7385
03067405;030674051703010106;298273.0789
03247605;032476051102010101;100365.383
02267805;022678051703090102;852166.4702
03247605;032476050701010206;403980.4695
02267805;022678050701040204;976384.4404
02267705;022677050701090202;91860.28567
02267705;022677051102100202;59947.84205
02267705;022677051703010106;975279.918
02267705;022677051102090102;41429.91902
02267705;022677050701030203;317827.972
02047905;020479051703100102;820496.7306
02267805;022678051102030103;220295.6336
02047905;020479051703040204;14336140.14
03169205;031692051102060102;83992.61876
03169205;031692050701030203;97944.03472
03069605;030696051102040104;320457.8314
06030103;060301031703040204;985186.7035
03069605;030696051703030203;1360873.748
03069605;030696050701030103;283805.3239
03169205;031692051703040204;1472030.488
03169205;031692051703030103;399665.3107
03169205;031692051102040104;455154.1767
03069605;030696050701040104;364595.1941
02047903;020479031703040204;866677.4091
02047905;020479050701040204;3709517.821
02267805;022678050701010201;128809.1043
02047905;020479050701060102;337562.9572
01018403;010184030701030203;805328.6863
01028505;010285050701090102;6112901.955
02047905;020479051102060102;145591.4777
01018405;010184050701040104;259510.4268
05289004;052890041703030203;3862638.016
05289004;052890040701030203;1372086.871
01028505;010285051102030103;2793834.239
01018401;010184011102060102;877297.3804
03169205;031692051703090102;314131.794
03169205;031692050701060102;78049.25257
03169305;031693051102030103;1304947.923
03169305;031693050701040204;3598241.825
03169205;031692050701010206;127495.1983
03169205;031692051703010101;94938.15512
04119403;041194030303010101;362267.5462
03169305;031693051102100202;800142.6648
02041605;020416050701030203;719343.4989
03061705;030617050701010101;244495.979
04090305;040903051202040204;74561.14576
04100202;041002020801060202;241121.8289
04111005;041110051803060102;295490.8934
04090601;040906011202040204;336568.8905
06050705;060507051202060202;2595517.509
03060905;030609051102040204;921646.4864
04111005;041110051202040104;1168467.837
06173404;061734040103060102;7147799.881
02182005;021820051703010201;234089.6544
02192305;021923051703090102;315469.2582
02182105;021821051703010101;46011.34547
02182105;021821051703040104;753068.7287
02182105;021821051703010206;188739.6579
02182205;021822050701100102;254976.7868
02262905;022629050701060202;814710.9158
02262905;022629050701010206;201480.8357
03062705;030627051703030103;291447.4098
03242805;032428051102030103;220568.2913
02263005;022630051102010101;68759.53748
02183705;021837051703030103;105665.9525
06173504;061735040203010101;4643349.805
01014203;010142030701010201;62654.36373
01024403;010244030701010206;8478.252585
01014401;010144010701040204;1757774.264
01014402;010144021102040204;130824.3428
01024504;010245041102030203;12445.79601
01024501;010245010701040204;5784.737249
05225204;052252041001010201;465937.4459
05225201;052252011202030103;270458.0874
05215101;052151010901040204;1175384.759
05225201;052252011001090202;256357.5154
04105005;041050050303090202;72151.50588
05215101;052151011001010201;74324.03593
05225201;052252011202030203;1199234.911
03076605;030766050701010101;257880.5754
02186705;021867051703010101;59694.07878
02186705;021867050701030103;40692.60423
02197005;021970050701040204;193332.8525
02186805;021868051102040204;171973.1523
02197005;021970050701100202;152741.6426
03237505;032375051703010206;333470.7205
03069605;030696050701060102;113097.3992
01028505;010285051102010206;1476693.246
01028405;010284050701030103;650668.6187
05258903;052589030801090202;126591.8449
01028404;010284041703040204;776205.368
01018403;010184031703090102;10767714.4
01028405;010284050701040104;1578939.809
01018405;010184051703090102;737001.0301
01018403;010184030701010206;484332.3967
05289001;052890010701090202;10133.57209
04118705;041187050801040104;3417.133889
03169205;031692050701010101;33965.7994
03061705;030617051703010201;880359.6087
03071905;030719051703060202;2272443.098
04091101;040911010801010206;87765.28404
06050702;060507020801040204;1107600.185
02041605;020416050701060202;211425.0562
05141303;051413031703060202;3081328.131
02041605;020416050701040204;1100764.633
06173503;061735031202090102;3576710.619
02182005;021820051102030203;451965.9738
02192305;021923051102100102;98194.72483
02192305;021923051703060202;1490935.618
02182205;021822051102060102;341970.576
01024204;010242041102040204;193780.9625
01014205;010142051703050202;15334.59025
01014205;010142050701040204;66383.19498
01024403;010244031703040204;182460.5496
01024504;010245040701010206;7586.391012
05225204;052252041603010101;130849.6816
02185505;021855051703100202;1443142.872
02195605;021956051102090102;100812.9122
02046205;020462051102010206;75798.99873
02186705;021867050701010201;21820.54145
04098601;040986010303010201;84030.0412
02047903;020479030701040104;133633.8983
04100405;041004050303010206;143980.1001
04090601;040906011202060202;40062.97793
01018403;010184031102040204;2524238.837
01018401;010184010701040104;5859077.397
03169305;031693051102010201;358386.7565
06030104;060301041703060202;207521.195
02182005;021820051102090202;161449.3908
02192305;021923051102060202;221146.3992
02182105;021821051102010106;45209.83171
01014204;010142041703040204;20838.61781
01014201;010142011102030103;202810.0178
01014403;010144031102010201;49104.14208
05225201;052252010403040104;315732.3293
05215104;052151041202040204;153837.0333
02185505;021855051102090202;151178.5302
02195705;021957051102040104;155368.4733
02195705;021957050701090102;60024.31494
04118805;041188051803040104;55302.14331
06050703;060507030801030203;279950.9025
04100202;041002021803010206;248338.207
02041605;020416050701060102;199684.2258
02192305;021923051102040204;499084.6653
02183805;021838051703010106;351744.7478
01014402;010144020701060202;63794.48333
02185505;021855051102090102;129227.4791
05215104;052151040403060102;111225.5465
02195805;021958050701040104;2928.829807
02195805;021958051102100102;8931.93207
02197005;021970051102010101;6764.803622
