"scenario";"SYSTEME_CHAUD";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"AME";"nr";24.8663218104;24.8232095471;24.7801580611;24.7371669607;24.6942463387;24.6513635612;30.1930361599;29.9756891891;31.0128252773;31.3143725388;31.2798635118;36.1179320825;35.549361692;35.0895958805;34.8406771136;34.3524250153;33.849947893;33.6426824346;33.0428406519;32.6616431205;32.30581293716;31.6991123899;31.1994169144;30.79326017985;29.98258601803;36.83623646811;36.61647324304;36.498561148;36.40692631036;36.30816718078;36.31455924324;36.239883658325;36.119564017252;35.799826124048;35.684008311478;35.519004144195;32.514835117908;32.362001515851;32.408222139718;32.36779164154;32.281446023565
"AME";"Autre système centralisé performant";2.5644072151;2.632112307;2.6423361795;2.5520563947;2.441802309;2.7933833295478;3.200906554599;3.016334677493;2.691210604791;2.619645254007;2.538695563427;3.695030014646;4.033103420186;5.064117469275;6.138674012705;6.39366327541;6.5607192235;6.00749206282;5.94903401956;6.19651784756;7.53305497693;7.60861727189;9.67614434222;17.46847421433;23.2091792003;13.28916442277;11.33888302387;10.08763711134;10.18463817624;11.10356030471;11.6042076706896;8.907956288993;9.15010662345;8.141350040706;8.25669644742;8.36495921335;9.56715619921;9.69363190455;10.214659679731;10.18642805482;10.505252398496
"AME";"Autre système centralisé";138.1308728663;164.8516501032;179.2324288322;170.28528186;156.422564339;176.472012893874;171.538731847243;177.63322732857;168.394234216587;170.306776534638;169.058491257934;219.914929436028;217.907275488486;215.407595213956;212.20349999411;213.07778261901;214.70019878269;216.60117400438;221.01970853777;226.24445992481;227.80009390341;225.81675269094;224.23875611475;222.98966289144;219.64323191548;267.653086569117;264.74630509687;265.8742962735;263.83846705707;269.064197054;268.962171586043;237.590424831225;232.698556555115;226.942694229999;224.251728503271;219.960330926713;208.384023930019;206.54318085455;203.917083367238;200.668080688531;198.571385550128
"AME";"DRV performant";NA;0.004301155;0.002804968;0.002817157;0.002819902;0.002362836;0.012967321;0.145627602;0.1689641146;0.2242364893;0.455422104;0.418558394;0.438116464;0.440726038;0.473650299;0.52826868;0.54954276;0.71023812;0.713723427;0.707244594;0.718708958;0.692570795;0.690402672;0.778179928;1.3568415137;1.394728563;1.435194783;1.663792976;1.523577683;1.341114231;1.2638931443;1.169859887;1.068991134;1.313348714;1.255065518;1.315921942;1.245056873;1.215805342;1.265644673;1.238622612;1.133835156
"AME";"DRV";1.18846018;1.37180417;1.7524525129;2.0892802299;2.1582451448;0.983083813638;4.109531068063;8.101938876853;10.381937421285;13.687060422613;14.825407368442;14.84101060973;16.11217749109;16.29081743553;16.73241201033;16.91430028459;17.29927278185;17.48800299804;17.8794384079;17.42845941233;17.5308859613;17.196981379;16.7325662343;16.0408266715;15.3488628327;14.8490919104;14.6528069046;14.4796502075;14.538138983;14.5530779222;14.36690939178;14.12249151866;14.2417203915556;14.3908067836926;14.178717221051;14.0422344284706;13.5454078659379;13.5040185494101;13.12296700282;13.07863627523;12.6799712868867
"AME";"Cassette rayonnante performant";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00071639;NA;0.005454554;0.0304457341;0.0480354814;0.0669968384;0.090565948;0.1283881863;0.1651661798;0.1613054698;0.1570665444;0.1961043563;0.2339489349;0.2263515926;0.1905769911;0.1896178421;0.2159960782;0.2098869101;0.2146760191;0.3418110927;0.4600826102;0.2791628119;0.220282581;0.237326547;0.228243868;0.226107055;0.22910777;0.222158505;0.212663876;0.208175419
"AME";"Cassette rayonnante";0.0256056146;0.0366180477;0.0609183564;0.0691438875;0.0703369658;0.0774368462;0.0842778732;0.091899397;0.127542332;0.146516743;0.1547367;0.187599373;0.215912316;0.232017164;0.457355015;0.565924328;0.53711465824;0.5123958557;0.4584602117;0.45377040023;0.4901173243;0.47608496944;0.45353315953;0.45247065267;0.38448941234;0.36157316597;0.40737443968;0.41741004366;0.2477090749;0.2057956716;0.4075599043;0.5424030723;0.3484291559;0.29576596661;0.3029205246;0.2995023313;0.2736537858;0.2743948494;0.2565688588;0.2417673578;0.246902726
"AME";"Tube radiant performant";5.434782161;5.549351763;5.217798699;5.498368411;5.567031085;5.54425036;9.360992622;8.438216693;8.0357603456;7.4828723597;6.6565982025;8.156755388;7.2811018028;6.8863514367;5.2417698083;4.8759512604;4.3022405277;4.0283671156;3.56982871265;3.3079190659;3.10973301192;3.08514816718;3.023140964788;2.92530348657;2.96043880653;3.90715724564;3.95556170475;3.95475696714;4.00305685027;4.08617545298;4.07471055133;3.57434759562;3.79377805435;3.83360880329;3.9076200527;4.02536337967;3.82405402107;3.95582315038;4.02312798742;4.07022772828;4.08348365079
"AME";"Tube radiant";1.7979293919;1.438526612;1.1842119213;1.2065820127;1.3311126824;1.471436496;1.1147577265;1.0657437051;1.0130964663;0.9577856585;0.8861529341;1.9216029491;1.7740302818;1.6299153492;1.4953672335;1.3808469258;1.1946754529;0.9789241243;0.753093218;0.6675292345;0.5962072372;0.6174782312;0.6070262871;0.5996132977;0.5994471121;0.9732821171;0.98410235058;1.0001749101;1.0064731844;1.0076517297;1.059199362;1.483134777201;1.468712560399;1.480829873;1.4852376745;1.489667709798;1.1269475484;1.1078577364;1.1049793189;1.1139546359;1.1461927282
"AME";"Rooftop performant";4.98003396159;5.2376685247;5.359406047;5.4445980669;5.5780964848;5.5844882749;10.585220445;10.4689452141;9.6684516897;9.4722134689;9.2977353269;11.5371500702;11.1402971908;10.6073181129;10.1723652061;9.8007675661;9.2943192221;8.9062708235;8.47358158522;8.12886077976;8.164972787864;8.226408106399;8.879655620382;9.74276640901;12.52301849718;8.190271232381;7.59131064779;7.01074373372;7.09120137314;7.49052378394;7.6093522288092;6.22258381871;6.25038316026;6.35436965783;6.29902085652;6.31895215995;6.232518322451;6.19056687799;6.23082682696;6.17036617486;6.20190011356
