usage;energie;Conso;scenario;Conso_cum
Autres usages;Autres;1,7662877065066;AME;1,7662877065066
Autres usages;Electricité;78,9664617121603;AME;80,7327494186669
Autres usages;Fioul;2,265432290472;AME;82,9981817091389
Autres usages;Gaz;5,3038553736519;AME;88,3020370827908
Autres usages;Urbain;0;AME;88,3020370827908
Cuisson;Autres;0,5977492583891;AME;0,5977492583891
Cuisson;Electricité;16,7073051623742;AME;17,3050544207633
Cuisson;Fioul;0,0204802231771;AME;17,3255346439404
Cuisson;Gaz;1,6539925264936;AME;18,979527170434
Cuisson;Urbain;0;AME;18,979527170434
ECS;Autres;0,1506673150155;AME;0,1506673150155
ECS;Electricité;5,9894902469176;AME;6,1401575619331
ECS;Fioul;0,4416209869471;AME;6,5817785488802
ECS;Gaz;12,8121844923073;AME;19,3939630411875
ECS;Urbain;1,4480208807559;AME;20,8419839219434
Chauffage;Autres;7,5154493870736;AME;7,5154493870736
Chauffage;Electricité;18,8534850969051;AME;26,3689344839787
Chauffage;Fioul;0,0189170410628;AME;26,3878515250415
Chauffage;Gaz;19,9594866141051;AME;46,3473381391466
Chauffage;Urbain;1,3136410231627;AME;47,6609791623093
