"scenario";"annee";"surface";"surface_lag";"raccordement"
"S1";"2009";58867122.3569;0;58867122.3569
"S1";"2010";57480692.5819;58867122.3569;-1386429.775
"S1";"2011";55940728.1238;57480692.5819;-1539964.45810001
"S1";"2012";54846998.2449;55940728.1238;-1093729.87889999
"S1";"2013";53967817.4953;54846998.2449;-879180.749600008
"S1";"2014";52282457.3399;53967817.4953;-1685360.15539999
"S1";"2015";50705880.4711;52282457.3399;-1576576.8688
"S1";"2016";49553032.4445;50705880.4711;-1152848.0266
"S1";"2017";48624546.3056;49553032.4445;-928486.138899997
"S1";"2018";48414417.1188;48624546.3056;-210129.186800003
"S1";"2019";48681390.4244;48414417.1188;266973.305599995
"S1";"2020";49591978.2832;48681390.4244;910587.858800009
"S1";"2021";48744791.7295;49591978.2832;-847186.553700007
"S1";"2022";48022456.9396;48744791.7295;-722334.789899997
"S1";"2023";47601838.4374;48022456.9396;-420618.5022
"S1";"2024";47443467.922;47601838.4374;-158370.5154
"S1";"2025";47496990.7167;47443467.922;53522.7947000042
"S1";"2026";47679427.217;47496990.7167;182436.500299998
"S1";"2027";47986721.3715;47679427.217;307294.1545
"S1";"2028";48307431.377;47986721.3715;320710.005499996
"S1";"2029";48624576.8541;48307431.377;317145.4771
"S1";"2030";49147564.5846;48624576.8541;522987.730500005
"S1";"2031";49221387.806;49147564.5846;73823.2213999927
"S1";"2032";48895412.0866;49221387.806;-325975.719399996
"S1";"2033";48683399.2287;48895412.0866;-212012.857900001
"S1";"2034";48823008.02;48683399.2287;139608.791299999
"S1";"2035";50587951.1943;48823008.02;1764943.1743
"S1";"2036";51932115.4848;50587951.1943;1344164.2905
"S1";"2037";52659465.6227;51932115.4848;727350.137900002
"S1";"2038";53016482.6963;52659465.6227;357017.073600002
"S1";"2039";53685800.0105;53016482.6963;669317.314199999
"S1";"2040";54072977.1598;53685800.0105;387177.149300002
"S1";"2041";54087625.7358;54072977.1598;14648.576000005
"S1";"2042";53954232.4468;54087625.7358;-133393.289000005
"S1";"2043";53290404.9555;53954232.4468;-663827.491300002
"S1";"2044";52244003.2196;53290404.9555;-1046401.7359
"S1";"2045";50576513.0119;52244003.2196;-1667490.2077
"S1";"2046";50225445.8285;50576513.0119;-351067.183399998
