"scenario";"SYSTEME_CHAUD";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050"
"S2";"nr";24.8663218104;24.8232095471;24.7801580611;24.7371669607;24.6942463387;24.6513635612;30.1930361599;29.9763295001;30.4368607251;30.789762937;30.7559434297;36.0720137942;35.5103595339;35.0541044761;34.8153505083;34.3345667384;33.8419891639;33.6451421647;33.2125195845;32.7095143759;32.40267978866;31.80187753638;31.345018486;30.86397699945;30.12628594474;37.02092544561;36.7990264306;36.6964621315;36.6022226078;36.50068158178;36.4606484351;37.122922876125;37.034893975052;36.624781374058;36.511308561698;36.370757357595;33.312211384608;33.176235647101;33.384925859148;33.35092682183;33.260202498853
"S2";"Autre système centralisé performant";2.5644072151;2.632112307;2.6423361795;2.5520563947;2.441802309;2.7933833295478;3.200906554599;3.017779331693;2.139811600091;1.883728305677;1.899754265256;3.080089021846;4.138174534932;4.32627953922;5.084108761651;4.811710620366;5.0750959505;4.73764622242;4.72179048646;4.87810748236;6.55293810294;7.36871769352;10.75426686035;18.57050447463;25.6113438914;17.63916200121;15.53010060217;13.73660090314;13.93399942205;15.02287992691;15.5943123830956;13.732793228253;13.58208667454;12.947208270344;12.065501953635;11.8841574289377;11.840472169644;11.773217170192;22.613438910021;15.662890559124;15.54466797232
"S2";"Autre système centralisé";138.1308728663;164.8516501032;179.2324288322;170.28528186;156.422564339;176.472012893874;171.538731847243;178.46019193157;132.122417241847;133.737568477754;133.864839918484;220.715224119408;217.981757954228;216.398318327571;214.061459842329;214.707950929517;216.39710337264;219.30421930825;226.25937056156;230.83110140958;230.94883197827;231.3635968524;230.96121159602;228.67847121954;226.40352316416;275.527364087342;279.03688271;275.7362177491;275.39965548156;275.43937674086;277.370715498631;241.963253062775;238.614550546271;235.222840138009;233.899590676283;230.863004727939;215.396524483257;213.064569940915;225.362388228922;215.811980424294;213.965497939854
"S2";"DRV performant";NA;0.004301155;0.002804968;0.002817157;0.002819902;0.002362836;0.012967321;0.146527158;0.167345368;0.3150805618;0.401206135;0.354866464;0.375454928;0.3763281137;0.3976625825;0.4091697111;0.561928281;0.5784684087;0.6069290397;0.6061945436;0.619137727;0.616506744;0.6105116391;0.7218965175;1.4495237743;1.607573022;1.643033274;1.659887486;1.660356454;1.491113202;1.416343875;1.543303943;1.384926796;1.558170575;1.492747662;1.41209701;1.317612224;1.25116046;1.360258706;1.231647139;1.147497799
"S2";"DRV";1.18846018;1.37180417;1.7524525129;2.0892802299;2.1582451448;0.983083813638;4.109531068063;8.120852809653;13.062272158754;15.751284817133;17.272089075004;15.37391561533;15.76688678869;16.180338026216;16.633638406051;17.09225916589;17.44554210908;17.58810949206;18.26821281904;17.61958434397;17.77660542281;17.6341771758;17.0676783915;16.3503436767;15.54032819766;15.00849024233;14.77888789;14.5493637851;14.609067993;14.5583916833;14.31329966643;14.00358871308;14.1264640343556;14.8567271707426;14.632939227679;14.6875672010806;13.6228527856479;13.3578529560641;13.681354607956;13.4113729105858;13.1629933429445
"S2";"Cassette rayonnante performant";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.0007173949;NA;0.005242558;0.0328255748;0.053131517;0.0735119092;0.0912998789;0.1307460614;0.1563614423;0.1539648908;0.1504203358;0.2036879843;0.2306744953;0.2082635147;0.1874026754;0.1882973056;0.2161816499;0.2097402571;0.2125600978;0.3392328817;0.4539429999;0.277241987;0.208348225;0.228771581;0.211205844;0.239765401;0.246553271;0.305818722;0.276957148;0.25832035
"S2";"Cassette rayonnante";0.0256056146;0.0366180477;0.0609183564;0.0691438875;0.0703369658;0.0774368462;0.0842778732;0.091259378;0.1218394002;0.140898554;0.153673876;0.186139944;0.216719238;0.432375906;0.4309338772;0.497753266;0.470567186;0.44656573807;0.39765911871;0.39384789447;0.4244638925;0.42406410027;0.37980079657;0.37839074688;0.32417048238;0.34950521099;0.3944854595;0.40358584967;0.2260799474;0.1964683056;0.3829736601;0.5340693393;0.3447347846;0.29239471635;0.29817024195;0.2803061428;0.2604939709;0.2723210278;0.3402510425;0.3120051492;0.2910609
"S2";"Tube radiant performant";5.434782161;5.549351763;5.217798699;5.498368411;5.567031085;5.54425036;9.360992622;8.436820911;8.4975321731;7.9841150716;7.1232593411;8.0954773293;7.1893400374;6.0273059784;5.1124594016;4.7980951009;4.2112370851;3.7717862013;3.435665419227;3.2321987594;3.03773924511;3.00994469272;2.954435892888;2.849027511638;2.87614035074;3.83248863164;3.87297388225;3.87394022753;3.91664141333;3.9899087195;3.9877777969;3.53200151148;3.792296473;3.83541473391;3.92267226564;4.04316936464;3.8142496887;3.920291371499;4.17975138994;4.06149772463;4.19834459959
"S2";"Tube radiant";1.7979293919;1.438526612;1.1842119213;1.2065820127;1.3311126824;1.471436496;1.1147577265;1.0626223244;0.68910649825;0.66176719165;0.62329538748;1.5413780361;1.3856079943;1.3087213187;1.2032551527;1.1073157808;1.0150003427;0.8271396635;0.7018051228;0.62149721262;0.577414408;0.5905317421;0.5847571924;0.5679898442;0.5687565634;0.9188192619;0.92844297154;0.9463525443;0.9489392744;0.9478066366;0.9981089939;1.4845235088;1.457292714402;1.472772046001;1.486607414001;1.497252730599;1.1331538951;1.1078264169;1.2600901833;1.1128829233;1.206739888401
"S2";"Rooftop performant";4.98003396159;5.2376685247;5.359406047;5.4445980669;5.5780964848;5.5844882749;10.585220445;10.5285041069;12.8694682687;12.5786337505;12.0472432631;11.6263226986;11.3487049375;10.7498019982;10.32360276776;9.94213467746;9.45950175256;9.05531703717;8.60959199402;8.42334345416;8.553110000064;8.724967267499;9.347219022182;10.59861483601;13.42430459729;8.795581260281;8.01012685279;7.19754330332;7.35087215484;7.79343191034;8.1321620404692;6.52712156131;6.56421057521;6.47898446353;6.43965915425;6.46538706162;6.393186688411;6.42064670905;6.86324379442;6.51996665425;6.735222989181
"S2";"Rooftop";133.66603222311;158.49367948636;193.33421337889;186.29541234326;163.98723782326;144.51405356374;203.18699539468;208.85701785688;219.88057466997;221.03429259473;222.3586404408;223.2941651034;219.7388354499;219.5159264188;216.0787176412;209.3924427665;204.3172495019;198.58288899521;192.71950067077;186.02956125773;178.22485368534;170.78212196386;163.9058066328;154.53617090222;145.14009499689;201.83048556175;207.5607970882;216.58593860449;213.76607369157;208.4419105005;204.82508418687;175.075963609536;177.501885659335;175.941383549364;175.633538261068;176.510628693707;180.422172276891;179.40974124911;179.65731306145;178.50295048913;176.90344317943
