usage;energie;Conso;scenario;Conso_cum
Autres usages;Autres;0,4613393164201;AMS3;0,4613393164201
Autres usages;Electricité;59,1162244442231;AMS3;59,5775637606432
Autres usages;Fioul;0,7013127398187;AMS3;60,2788765004619
Autres usages;Gaz;0,9526469051681;AMS3;61,23152340563
Autres usages;Urbain;0;AMS3;61,23152340563
Cuisson;Autres;0,2384320247301;AMS3;0,2384320247301
Cuisson;Electricité;12,139093722674;AMS3;12,3775257474041
Cuisson;Fioul;0;AMS3;12,3775257474041
Cuisson;Gaz;1,350868072736;AMS3;13,7283938201401
Cuisson;Urbain;0;AMS3;13,7283938201401
ECS;Autres;3,3230107511964;AMS3;3,3230107511964
ECS;Electricité;4,7907846127;AMS3;8,1137953638964
ECS;Fioul;0,006107592673;AMS3;8,1199029565694
ECS;Gaz;1,689494832574;AMS3;9,8093977891434
ECS;Urbain;0,8946934460707;AMS3;10,7040912352141
Chauffage;Autres;7,1721240943851;AMS3;7,1721240943851
Chauffage;Electricité;15,5440025433456;AMS3;22,7161266377307
Chauffage;Fioul;0,0099083878958;AMS3;22,7260350256265
Chauffage;Gaz;1,6243612661704;AMS3;24,3503962917969
Chauffage;Urbain;12,0940616509414;AMS3;36,4444579427383
