"scenario";"BRANCHE";"usage";"2015";"2020";"2025";"2030";"2050"
"AMS3";"Bureaux Administration";"Autre";24.5738969095326;24.4729556350783;23.5478289364033;22.6691474689928;19.5481692103432
"AMS3";"Bureaux Administration";"Auxiliaires";4.51760025520905;3.81211989670838;3.04357165833174;2.10321257172036;0.981717413728482
"AMS3";"Bureaux Administration";"Bureautique";38.8485916416554;40.6974903775561;36.6259329905955;33.0016852537787;24.6652520970532
"AMS3";"Bureaux Administration";"Chauffage";109.898197749636;94.7704249986654;80.7861506031336;63.5019812146161;35.4786964559997
"AMS3";"Bureaux Administration";"Climatisation";36.4143039346921;38.3795984307802;39.9656892865035;41.552221183798;45.7854190015197
"AMS3";"Bureaux Administration";"Cuisson";3.97989732832647;3.8895966866932;3.69739444185051;3.51656158593511;2.80349660166675
"AMS3";"Bureaux Administration";"ECS";5.51790431993093;5.35345565400175;5.18640513309631;5.05615895879701;4.42524033708241
"AMS3";"Bureaux Administration";"Eclairage";19.5866962272934;17.5306560863251;14.0141287942108;10.4677026215476;6.50737759583077
"AMS3";"Bureaux Administration";"Froid_alimentaire";0.611386018977146;0.580073173241694;0.551275408959372;0.524216576047859;0.436979941821245
"AMS3";"Bureaux Administration";"Process";0.520433374089882;0.518295747487282;0.498703072450705;0.48009414845388;0.413997207627239
"AMS3";"Bureaux Administration";"Ventilation";4.00265527093403;4.029439982104;4.05724067419986;4.14117688338147;4.07551145920685
"AMS3";"Café Hôtel Restaurant";"Autre";7.460797186128;7.42194643340174;7.14881600734849;6.88794752150717;5.93489626189816
"AMS3";"Café Hôtel Restaurant";"Auxiliaires";12.133469888708;14.2227071245758;16.117780153179;17.3996606229697;14.0411787127621
"AMS3";"Café Hôtel Restaurant";"Bureautique";3.17143825222856;3.31962697406202;2.99007504884955;2.69550880541621;2.01124696980496
"AMS3";"Café Hôtel Restaurant";"Chauffage";109.710054361448;100.946916291509;95.8518253974993;90.6314410604663;68.1294638737427
"AMS3";"Café Hôtel Restaurant";"Climatisation";29.7153186595494;32.2343087933096;33.6586639831016;35.0209013498503;38.9840071762432
