BRANCHE;SS_BRANCHE;BAT_TYPE;S batiment moy;;;CEE_TOIT;CEE_FEN;CEE_PLAN;CEE_MUR;CEE_ITE;CEE_ITI;CEE_TOIT_Elec;CEE_FEN_Elec;CEE_PLAN_Elec;CEE_MUR_Elec;CEE_ITE_Elec;CEE_ITI_Elec
Bureaux Administration;Administration;immeuble peri urbain;238;<5000m2;bureaux;516,6666666667;1717,764327757;1033,3333333333;1684,0826742715;2500;2500;333,3333333333;1111,4945650192;650;1077,8129115338;1600;1600
Bureaux Administration;Administration;immeuble rénové;352;<5000m2;bureaux;258,3333333333;1198,524661255;516,6666666667;1175,024177701;2500;2500;166,6666666667;775,5159572826;325;752,0154737286;1600;1600
Bureaux Administration;Administration;plateau large bureaux cloisonnés;7386;5000<S<10000;bureaux;129,1666666667;616,7049043699;258,3333333333;604,6126513431;2500;2500;83,3333333333;399,0443498864;162,5;386,9520968596;1600;1600
Bureaux Administration;Bureaux;immeuble peri urbain;238;<5000m2;bureaux;516,6666666667;1717,764327757;1033,3333333333;1684,0826742715;2500;2500;333,3333333333;1111,4945650192;650;1077,8129115338;1600;1600
Bureaux Administration;Bureaux;immeuble rénové;352;<5000m2;bureaux;258,3333333333;1198,524661255;516,6666666667;1175,024177701;2500;2500;166,6666666667;775,5159572826;325;752,0154737286;1600;1600
Bureaux Administration;Bureaux;immeuble résidentiel;40;<5000m2;bureaux;516,6666666667;2514,0465389487;1033,3333333333;2464,7515087733;2500;2500;333,3333333333;1626,7359957904;650;1577,4409656149;1600;1600
Bureaux Administration;Bureaux;plateau large bureau paysagés;5598;5000<S<10000;bureaux;129,1666666667;708,3788838516;258,3333333333;694,4891018153;2500;2500;83,3333333333;458,3628071981;162,5;444,4730251618;1600;1600
Bureaux Administration;Bureaux;plateau large bureaux cloisonnés;7386;5000<S<10000;bureaux;129,1666666667;616,7049043699;258,3333333333;604,6126513431;2500;2500;83,3333333333;399,0443498864;162,5;386,9520968596;1600;1600
Bureaux Administration;Bureaux;plateau mince;5627;5000<S<10000;bureaux;129,1666666667;706,5511315613;258,3333333333;692,6971878052;2500;2500;83,3333333333;457,1801439514;162,5;443,3262001953;1600;1600
Café Hôtel Restaurant;Café, cantine, traiteur;Grand bar café tabac;490;<5000m2;restauration;620;861,9588133538;1240;845,0576601508;3000;3000;400;557,7380556995;780;540,8369024965;1920;1920
Café Hôtel Restaurant;Café, cantine, traiteur;Grande cantine;499;<5000m2;restauration;620;854,1502686078;1240;837,4022241253;3000;3000;400;552,6854679227;780;535,9374234402;1920;1920
Café Hôtel Restaurant;Café, cantine, traiteur;Petit bar café tabac;79;<5000m2;restauration;620;2146,6982831752;1240;2104,6061599757;3000;3000;400;1389,040065584;780;1346,9479423844;1920;1920
Café Hôtel Restaurant;Café, cantine, traiteur;Petite cantine;398;<5000m2;restauration;620;956,4076000783;1240;937,6545098806;3000;3000;400;618,8519765212;780;600,0988863236;1920;1920
Café Hôtel Restaurant;Hôtel avec restaurant;Grand Hotel avec restaurant Bas de gamme;1398;<5000m2;hotellerie;310;962,2428735197;620;943,3753661958;3000;3000;200;622,6277416892;390;603,7602343653;1920;1920
