annee;prix_elec;prix_gaz;prix_fioul;prix_urbain;prix_autres;CCE
2009;0,09407;0,03301;0,06179;0,06140;0,04526;0,00000
2010;0,09847;0,03867;0,07639;0,05910;0,05095;0,00000
2011;0,10212;0,04434;0,09466;0,06820;0,05263;0,00000
2012;0,10577;0,05001;0,10114;0,07060;0,05474;0,00000
2013;0,10943;0,05001;0,09725;0,07020;0,05768;0,00000
2014;0,11308;0,04751;0,09137;0,07940;0,06084;7,00000
2015;0,11873;0,04551;0,06681;0,08035;0,06000;14,50000
2016;0,12321;0,04795;0,07087;0,08132;0,06072;22,00000
2017;0,12410;0,04872;0,07299;0,08229;0,06145;30,50000
2018;0,12500;0,04951;0,07520;0,08328;0,06219;37,34759
2019;0,12591;0,05032;0,07751;0,08428;0,06293;45,73254
2020;0,12683;0,05115;0,07992;0,08529;0,06369;56,00000
2021;0,12776;0,05199;0,08245;0,08631;0,06445;59,34296
2022;0,12870;0,05286;0,08509;0,08735;0,06523;62,88549
2023;0,12964;0,05375;0,08785;0,08840;0,06601;66,63948
2024;0,13060;0,05467;0,09073;0,08946;0,06680;70,61758
2025;0,13156;0,05561;0,09375;0,09053;0,06760;74,83315
2026;0,13254;0,05657;0,09690;0,09162;0,06841;79,30037
2027;0,13352;0,05755;0,10019;0,09272;0,06923;84,03427
2028;0,13452;0,05856;0,10364;0,09383;0,07006;89,05075
2029;0,13552;0,05959;0,10724;0,09496;0,07091;94,36671
2030;0,13654;0,06065;0,11101;0,09610;0,07176;100,00000
2031;0,13654;0,06110;0,11187;0,09725;0,07262;104,53947
2032;0,13654;0,06154;0,11275;0,09842;0,07349;109,28502
2033;0,13654;0,06200;0,11363;0,09960;0,07437;114,24598
2034;0,13654;0,06245;0,11452;0,10079;0,07526;119,43215
2035;0,13654;0,06291;0,11542;0,10200;0,07617;124,85374
2036;0,13654;0,06338;0,11633;0,10323;0,07708;130,52145
2037;0,13654;0,06385;0,11725;0,10447;0,07801;136,44644
2038;0,13654;0,06432;0,11818;0,10572;0,07894;142,64039
2039;0,13654;0,06480;0,11912;0,10699;0,07989;149,11551
2040;0,13654;0,06528;0,12006;0,10827;0,08085;155,88457
2041;0,13654;0,06577;0,12102;0,10957;0,08182;162,96091
2042;0,13654;0,06626;0,12199;0,11089;0,08280;170,35848
2043;0,13654;0,06676;0,12296;0,11222;0,08379;178,09186
2044;0,13654;0,06727;0,12395;0,11356;0,08480;186,17630
2045;0,13654;0,06777;0,12494;0,11493;0,08582;194,62772
2046;0,13654;0,06829;0,12595;0,11630;0,08685;203,46280
2047;0,13654;0,06881;0,12696;0,11770;0,08789;212,69894
2048;0,13654;0,06933;0,12799;0,11911;0,08894;222,35436
2049;0,13654;0,06986;0,12902;0,12054;0,09001;232,44808
2050;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2051;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2052;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2053;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2054;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2055;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2056;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2057;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2058;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2059;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2060;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2061;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2062;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2063;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2064;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2065;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2066;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2067;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2068;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2069;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
2070;0,13654;0,07039;0,13007;0,12199;0,09109;243,00000
